;sma1;sma2;output
0;1;2;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   97.159091
Equity Final [$]               131873071.8701
Equity Peak [$]                194260996.4061
Return [%]                          31.873072
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                   77.495527
Volatility (Ann.) [%]           473108.582662
Sharpe Ratio                         0.000164
Sortino Ratio                        0.437914
Calmar Ratio                         0.902775
Max. Drawdown [%]                   -85.84149
Avg. Drawdown [%]                  -38.086734
Max. Drawdown Duration      987 days 00:00:00
Avg. Drawdown Duration      198 days 00:00:00
# Trades                                   90
Win Rate [%]                             30.0
Best Trade [%]                     127.856547
Worst Trade [%]                    -53.275079
Avg. Trade [%]                       0.307884
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        1.498774
Expectancy [%]                       3.195413
SQN                                  0.229371
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
1;1;3;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   97.159091
Equity Final [$]               180257953.6672
Equity Peak [$]                953433054.8572
Return [%]                          80.257954
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                  239.383064
Volatility (Ann.) [%]           793872.751966
Sharpe Ratio                         0.000302
Sortino Ratio                        1.425971
Calmar Ratio                         2.892711
Max. Drawdown [%]                  -82.753873
Avg. Drawdown [%]                  -33.890448
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   67
Win Rate [%]                        28.358209
Best Trade [%]                     254.501028
Worst Trade [%]                    -25.674381
Avg. Trade [%]                       0.837794
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        1.714199
Expectancy [%]                       4.744348
SQN                                    0.1892
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
2;1;4;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   96.590909
Equity Final [$]                442252062.512
Equity Peak [$]                 1441558800.73
Return [%]                         342.252063
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                 2082.887019
Volatility (Ann.) [%]          4695824.501857
Sharpe Ratio                         0.000444
Sortino Ratio                       12.611616
Calmar Ratio                        29.272129
Max. Drawdown [%]                  -71.155981
Avg. Drawdown [%]                  -35.057134
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      142 days 00:00:00
# Trades                                   54
Win Rate [%]                        33.333333
Best Trade [%]                     254.501028
Worst Trade [%]                    -25.430121
Avg. Trade [%]                       2.791416
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.157081
Expectancy [%]                       7.405181
SQN                                  0.575441
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;1;5;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   96.590909
Equity Final [$]              1635351794.1807
Equity Peak [$]               3498393613.2787
Return [%]                        1535.351794
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                32774.875688
Volatility (Ann.) [%]         54698333.962675
Sharpe Ratio                         0.000599
Sortino Ratio                      203.839294
Calmar Ratio                       477.804163
Max. Drawdown [%]                  -68.594789
Avg. Drawdown [%]                  -28.165592
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration       93 days 00:00:00
# Trades                                   38
Win Rate [%]                        44.736842
Best Trade [%]                      334.62433
Worst Trade [%]                    -31.929371
Avg. Trade [%]                       7.630941
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        3.969191
Expectancy [%]                      15.003091
SQN                                  1.223903
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   94.886364
Equity Final [$]              1588328379.3061
Equity Peak [$]               2550985685.9561
Return [%]                        1488.328379
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                30844.709404
Volatility (Ann.) [%]         48900123.499653
Sharpe Ratio                         0.000631
Sortino Ratio                      193.444114
Calmar Ratio                       449.665491
Max. Drawdown [%]                  -68.594789
Avg. Drawdown [%]                  -24.420187
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   33
Win Rate [%]                        48.484848
Best Trade [%]                     254.501028
Worst Trade [%]                    -37.852826
Avg. Trade [%]                       8.641117
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                        3.829174
Expectancy [%]                      15.682903
SQN                                  1.592602
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   94.886364
Equity Final [$]               888799654.3161
Equity Peak [$]               2309428568.8081
Return [%]                         788.799654
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                 9183.032236
Volatility (Ann.) [%]         15174260.689586
Sharpe Ratio                         0.000605
Sortino Ratio                       57.127036
Calmar Ratio                       130.723878
Max. Drawdown [%]                   -70.24755
Avg. Drawdown [%]                  -25.967648
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration       93 days 00:00:00
# Trades                                   35
Win Rate [%]                        51.428571
Best Trade [%]                     254.501028
Worst Trade [%]                    -37.852826
Avg. Trade [%]                       6.349025
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        3.126437
Expectancy [%]                      12.378289
SQN                                  0.904426
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;8;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   94.886364
Equity Final [$]               1166208048.366
Equity Peak [$]                 1617138853.38
Return [%]                        1066.208048
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                16206.022065
Volatility (Ann.) [%]         24955247.051004
Sharpe Ratio                         0.000649
Sortino Ratio                       104.99615
Calmar Ratio                       287.976796
Max. Drawdown [%]                  -56.275444
Avg. Drawdown [%]                  -24.013979
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      102 days 00:00:00
# Trades                                   29
Win Rate [%]                        51.724138
Best Trade [%]                     305.522067
Worst Trade [%]                    -33.022314
Avg. Trade [%]                        8.83921
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        4.068299
Expectancy [%]                      16.951982
SQN                                  1.630781
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;9;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   77.840909
Equity Final [$]              1272126544.9181
Equity Peak [$]               2229893597.9721
Return [%]                        1172.126545
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                19427.437454
Volatility (Ann.) [%]         25633270.534679
Sharpe Ratio                         0.000758
Sortino Ratio                      135.348091
Calmar Ratio                       288.089137
Max. Drawdown [%]                  -67.435509
Avg. Drawdown [%]                  -29.700306
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   24
Win Rate [%]                        41.666667
Best Trade [%]                     798.142792
Worst Trade [%]                    -22.359059
Avg. Trade [%]                      11.178829
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        8.213202
Expectancy [%]                      36.741323
SQN                                  1.168361
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   77.840909
Equity Final [$]               693163407.8917
Equity Peak [$]               1651583552.2867
Return [%]                         593.163408
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                 5443.428286
Volatility (Ann.) [%]          8582617.133655
Sharpe Ratio                         0.000634
Sortino Ratio                       35.121965
Calmar Ratio                        79.937152
Max. Drawdown [%]                   -68.09635
Avg. Drawdown [%]                  -35.859527
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   20
Win Rate [%]                             40.0
Best Trade [%]                      744.70124
Worst Trade [%]                    -26.714494
Avg. Trade [%]                      10.164529
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                        6.625403
Expectancy [%]                      38.037404
SQN                                  0.917257
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;11;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   77.272727
Equity Final [$]               605219196.7239
Equity Peak [$]               1442041025.1909
Return [%]                         505.219197
Buy & Hold Return [%]              284.342587
Return (Ann.) [%]                  4083.89045
Volatility (Ann.) [%]           6459448.14188
Sharpe Ratio                         0.000632
Sortino Ratio                       26.245874
Calmar Ratio                        59.384431
Max. Drawdown [%]                  -68.770389
Avg. Drawdown [%]                  -41.175683
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      152 days 00:00:00
# Trades                                   18
Win Rate [%]                        38.888889
Best Trade [%]                      744.70124
Worst Trade [%]                    -26.714494
Avg. Trade [%]                      10.519674
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          53 days 00:00:00
Profit Factor                        6.512032
Expectancy [%]                      41.460291
SQN                                  0.891398
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
