;sma1;sma2;output
0;1;3;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     98.1735
Equity Final [$]                  2.51473e+08
Equity Peak [$]                   7.20375e+08
Return [%]                            151.473
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     365.035
Volatility (Ann.) [%]                 16150.8
Sharpe Ratio                        0.0226017
Sortino Ratio                          2.0622
Calmar Ratio                          4.49185
Max. Drawdown [%]                     -81.266
Avg. Drawdown [%]                    -31.9085
Max. Drawdown Duration      973 days 00:00:00
Avg. Drawdown Duration      206 days 00:00:00
# Trades                                   72
Win Rate [%]                          41.6667
Best Trade [%]                        279.151
Worst Trade [%]                      -65.5832
Avg. Trade [%]                        1.28902
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                          1.8299
Expectancy [%]                        5.96598
SQN                                  0.314193
_strategy                            SmaCross
_equity_curve                             ...
_trades                         Size  Entr...
dtype: object"
1;1;4;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     96.8037
Equity Final [$]                  1.19003e+09
Equity Peak [$]                   3.08094e+09
Return [%]                            1090.03
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     6102.93
Volatility (Ann.) [%]                  184298
Sharpe Ratio                        0.0331144
Sortino Ratio                          40.804
Calmar Ratio                          78.4048
Max. Drawdown [%]                    -77.8388
Avg. Drawdown [%]                    -25.8092
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      107 days 00:00:00
# Trades                                   57
Win Rate [%]                          36.8421
Best Trade [%]                        279.151
Worst Trade [%]                      -34.3749
Avg. Trade [%]                        4.44062
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                          2.5822
Expectancy [%]                         11.007
SQN                                  0.550429
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
2;1;5;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     96.8037
Equity Final [$]                  1.11839e+09
Equity Peak [$]                   1.53517e+09
Return [%]                            1018.39
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     5493.16
Volatility (Ann.) [%]                  177229
Sharpe Ratio                        0.0309946
Sortino Ratio                         35.6147
Calmar Ratio                          79.4283
Max. Drawdown [%]                    -69.1587
Avg. Drawdown [%]                    -26.0944
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      155 days 00:00:00
# Trades                                   45
Win Rate [%]                          37.7778
Best Trade [%]                        279.151
Worst Trade [%]                      -23.8523
Avg. Trade [%]                        5.51206
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                         2.68632
Expectancy [%]                        11.6298
SQN                                   1.02434
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
3;1;6;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                      96.347
Equity Final [$]                  3.15932e+09
Equity Peak [$]                    5.8694e+09
Return [%]                            3059.32
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     31473.4
Volatility (Ann.) [%]                  881719
Sharpe Ratio                        0.0356955
Sortino Ratio                         212.522
Calmar Ratio                           455.09
Max. Drawdown [%]                    -69.1587
Avg. Drawdown [%]                    -24.8105
Max. Drawdown Duration      315 days 00:00:00
Avg. Drawdown Duration       89 days 00:00:00
# Trades                                   35
Win Rate [%]                          42.8571
Best Trade [%]                        279.151
Worst Trade [%]                      -23.8523
Avg. Trade [%]                        10.3686
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         3.97716
Expectancy [%]                        18.1713
SQN                                  0.820213
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
4;1;7;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     95.4338
Equity Final [$]                  2.46897e+09
Equity Peak [$]                    4.2287e+09
Return [%]                            2368.97
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     20834.4
Volatility (Ann.) [%]                  519826
Sharpe Ratio                        0.0400796
Sortino Ratio                         144.206
Calmar Ratio                          301.255
Max. Drawdown [%]                    -69.1587
Avg. Drawdown [%]                    -23.4811
Max. Drawdown Duration      399 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   34
Win Rate [%]                          38.2353
Best Trade [%]                        279.151
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        9.88954
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                          3.9486
Expectancy [%]                        18.6942
SQN                                  0.889628
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
5;1;8;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     95.4338
Equity Final [$]                  1.95192e+09
Equity Peak [$]                   4.81175e+09
Return [%]                            1851.92
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     14050.4
Volatility (Ann.) [%]                  337344
Sharpe Ratio                        0.0416501
Sortino Ratio                         97.3599
Calmar Ratio                          203.162
Max. Drawdown [%]                    -69.1587
Avg. Drawdown [%]                    -19.7293
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration       88 days 00:00:00
# Trades                                   30
Win Rate [%]                               40
Best Trade [%]                         275.19
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        10.4118
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                         4.10086
Expectancy [%]                        20.3614
SQN                                  0.625813
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
6;1;9;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     95.4338
Equity Final [$]                  2.50933e+09
Equity Peak [$]                   6.15147e+09
Return [%]                            2409.33
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     21407.8
Volatility (Ann.) [%]                  467250
Sharpe Ratio                        0.0458167
Sortino Ratio                         153.678
Calmar Ratio                          325.771
Max. Drawdown [%]                    -65.7142
Avg. Drawdown [%]                    -20.7057
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   30
Win Rate [%]                               40
Best Trade [%]                         275.19
Worst Trade [%]                      -29.3466
Avg. Trade [%]                        11.3402
Max. Trade Duration         224 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                         4.35502
Expectancy [%]                        21.4565
SQN                                  0.795487
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
7;1;10;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     94.0639
Equity Final [$]                  3.70155e+08
Equity Peak [$]                   9.07414e+08
Return [%]                            270.155
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     785.741
Volatility (Ann.) [%]                 24164.5
Sharpe Ratio                        0.0325164
Sortino Ratio                         5.01689
Calmar Ratio                          8.73629
Max. Drawdown [%]                    -89.9399
Avg. Drawdown [%]                    -39.8753
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      233 days 00:00:00
# Trades                                   25
Win Rate [%]                               36
Best Trade [%]                        416.602
Worst Trade [%]                      -59.4169
Avg. Trade [%]                        5.37446
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                         2.94039
Expectancy [%]                        23.0664
SQN                                   0.47792
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
8;1;11;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     94.0639
Equity Final [$]                  3.48463e+08
Equity Peak [$]                   6.75092e+08
Return [%]                            248.463
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     700.928
Volatility (Ann.) [%]                 21725.8
Sharpe Ratio                        0.0322625
Sortino Ratio                         4.48497
Calmar Ratio                          7.72534
Max. Drawdown [%]                     -90.731
Avg. Drawdown [%]                    -46.9291
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      282 days 00:00:00
# Trades                                   27
Win Rate [%]                          29.6296
Best Trade [%]                        416.602
Worst Trade [%]                      -59.4169
Avg. Trade [%]                        4.73213
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          54 days 00:00:00
Profit Factor                         2.84115
Expectancy [%]                        21.3564
SQN                                   0.54437
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
9;1;12;"Start                     2017-08-20 23:59...
End                       2021-10-24 23:59...
Duration                   1526 days 00:00:00
Exposure Time [%]                     93.6073
Equity Final [$]                  6.98473e+08
Equity Peak [$]                   1.35318e+09
Return [%]                            598.473
Buy & Hold Return [%]                 1228.26
Return (Ann.) [%]                     2452.21
Volatility (Ann.) [%]                 59793.3
Sharpe Ratio                        0.0410114
Sortino Ratio                         16.4579
Calmar Ratio                          28.7144
Max. Drawdown [%]                    -85.4001
Avg. Drawdown [%]                    -38.5731
Max. Drawdown Duration      602 days 00:00:00
Avg. Drawdown Duration      194 days 00:00:00
# Trades                                   21
Win Rate [%]                          38.0952
Best Trade [%]                        416.602
Worst Trade [%]                      -59.4169
Avg. Trade [%]                        9.69773
Max. Trade Duration         245 days 00:00:00
Avg. Trade Duration          68 days 00:00:00
Profit Factor                         3.51791
Expectancy [%]                        29.4537
SQN                                  0.785108
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
