;sma1;sma2;output
0;1;2;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     77.7273
Equity Final [$]                  8.10592e+08
Equity Peak [$]                   9.06216e+08
Return [%]                            710.592
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     3119.48
Volatility (Ann.) [%]                 25299.4
Sharpe Ratio                         0.123303
Sortino Ratio                         26.3891
Calmar Ratio                          41.4281
Max. Drawdown [%]                    -75.2987
Avg. Drawdown [%]                    -22.1693
Max. Drawdown Duration      945 days 00:00:00
Avg. Drawdown Duration      161 days 00:00:00
# Trades                                   53
Win Rate [%]                           45.283
Best Trade [%]                        93.1515
Worst Trade [%]                      -34.3749
Avg. Trade [%]                        4.02728
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                         2.32516
Expectancy [%]                        6.97205
SQN                                   1.43238
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
1;1;3;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     71.8182
Equity Final [$]                  1.41389e+09
Equity Peak [$]                   2.04795e+09
Return [%]                            1313.89
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     8002.98
Volatility (Ann.) [%]                 76295.6
Sharpe Ratio                         0.104894
Sortino Ratio                         63.2691
Calmar Ratio                          106.402
Max. Drawdown [%]                    -75.2144
Avg. Drawdown [%]                    -24.5959
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      155 days 00:00:00
# Trades                                   36
Win Rate [%]                          47.2222
Best Trade [%]                        279.151
Worst Trade [%]                      -34.3749
Avg. Trade [%]                        7.63562
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                         3.42351
Expectancy [%]                        14.1961
SQN                                   1.36854
_strategy                            SmaCross
_equity_curve                             ...
_trades                         Size  Entr...
dtype: object"
2;1;4;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     68.1818
Equity Final [$]                  2.13616e+09
Equity Peak [$]                   2.82401e+09
Return [%]                            2036.16
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     15968.8
Volatility (Ann.) [%]                  194750
Sharpe Ratio                        0.0819963
Sortino Ratio                         131.695
Calmar Ratio                          234.591
Max. Drawdown [%]                    -68.0707
Avg. Drawdown [%]                    -21.8567
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      139 days 00:00:00
# Trades                                   29
Win Rate [%]                          41.3793
Best Trade [%]                        279.151
Worst Trade [%]                      -34.3749
Avg. Trade [%]                        11.1346
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                         4.41894
Expectancy [%]                        22.1242
SQN                                   1.46452
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
3;1;5;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     64.5455
Equity Final [$]                  1.90792e+09
Equity Peak [$]                   1.92099e+09
Return [%]                            1807.92
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     13221.9
Volatility (Ann.) [%]                  177866
Sharpe Ratio                         0.074336
Sortino Ratio                         103.946
Calmar Ratio                          177.354
Max. Drawdown [%]                    -74.5509
Avg. Drawdown [%]                    -20.7186
Max. Drawdown Duration     1043 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   23
Win Rate [%]                          47.8261
Best Trade [%]                        279.151
Worst Trade [%]                      -23.8523
Avg. Trade [%]                         13.678
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         4.99997
Expectancy [%]                        23.5306
SQN                                   1.86213
_strategy                            SmaCross
_equity_curve                             ...
_trades                         Size  Entr...
dtype: object"
4;1;6;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     61.3636
Equity Final [$]                  3.10404e+09
Equity Peak [$]                   3.60529e+09
Return [%]                            3004.04
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     29770.5
Volatility (Ann.) [%]                  382275
Sharpe Ratio                        0.0778773
Sortino Ratio                         240.335
Calmar Ratio                          518.528
Max. Drawdown [%]                    -57.4135
Avg. Drawdown [%]                    -21.0611
Max. Drawdown Duration      525 days 00:00:00
Avg. Drawdown Duration      116 days 00:00:00
# Trades                                   18
Win Rate [%]                          55.5556
Best Trade [%]                        279.151
Worst Trade [%]                      -23.8523
Avg. Trade [%]                        21.0277
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                          7.5864
Expectancy [%]                        33.4166
SQN                                   1.78226
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
5;1;7;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     60.9091
Equity Final [$]                  2.99996e+09
Equity Peak [$]                   3.35556e+09
Return [%]                            2899.96
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     28127.3
Volatility (Ann.) [%]                  348723
Sharpe Ratio                         0.080658
Sortino Ratio                         230.585
Calmar Ratio                          474.534
Max. Drawdown [%]                    -59.2734
Avg. Drawdown [%]                    -21.9322
Max. Drawdown Duration      525 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   17
Win Rate [%]                          47.0588
Best Trade [%]                        279.151
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        22.1488
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                         7.37468
Expectancy [%]                        36.7139
SQN                                   1.81462
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
6;1;8;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     58.6364
Equity Final [$]                  2.97865e+09
Equity Peak [$]                   3.89849e+09
Return [%]                            2878.65
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     27795.4
Volatility (Ann.) [%]                  336256
Sharpe Ratio                        0.0826615
Sortino Ratio                         229.786
Calmar Ratio                          486.821
Max. Drawdown [%]                    -57.0957
Avg. Drawdown [%]                    -21.0297
Max. Drawdown Duration      525 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   15
Win Rate [%]                          53.3333
Best Trade [%]                         275.19
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        25.3915
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          54 days 00:00:00
Profit Factor                         8.98462
Expectancy [%]                        41.3657
SQN                                   1.79622
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
7;1;9;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                          60
Equity Final [$]                  3.19308e+09
Equity Peak [$]                   4.51653e+09
Return [%]                            3093.08
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     31205.5
Volatility (Ann.) [%]                  389973
Sharpe Ratio                        0.0800196
Sortino Ratio                          257.15
Calmar Ratio                          534.458
Max. Drawdown [%]                    -58.3872
Avg. Drawdown [%]                     -20.128
Max. Drawdown Duration      525 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   15
Win Rate [%]                          53.3333
Best Trade [%]                         275.19
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        25.9739
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                         7.95901
Expectancy [%]                        42.4781
SQN                                   1.96854
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
8;1;10;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     59.0909
Equity Final [$]                  1.42019e+09
Equity Peak [$]                   2.00883e+09
Return [%]                            1320.19
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     8062.97
Volatility (Ann.) [%]                  121770
Sharpe Ratio                        0.0662147
Sortino Ratio                         60.9039
Calmar Ratio                          106.926
Max. Drawdown [%]                    -75.4069
Avg. Drawdown [%]                    -24.9616
Max. Drawdown Duration     1085 days 00:00:00
Avg. Drawdown Duration      195 days 00:00:00
# Trades                                   13
Win Rate [%]                          46.1538
Best Trade [%]                        416.602
Worst Trade [%]                      -25.8106
Avg. Trade [%]                        22.6428
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          63 days 00:00:00
Profit Factor                         5.81462
Expectancy [%]                        50.1699
SQN                                   1.43988
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
9;1;11;"Start                     2017-08-20 20:59...
End                       2021-10-31 20:59...
Duration                   1533 days 00:00:00
Exposure Time [%]                     60.4545
Equity Final [$]                  1.38551e+09
Equity Peak [$]                   1.75428e+09
Return [%]                            1285.51
Buy & Hold Return [%]                 1307.39
Return (Ann.) [%]                     7734.93
Volatility (Ann.) [%]                  118744
Sharpe Ratio                        0.0651394
Sortino Ratio                         58.2551
Calmar Ratio                           98.505
Max. Drawdown [%]                    -78.5232
Avg. Drawdown [%]                    -25.4068
Max. Drawdown Duration     1092 days 00:00:00
Avg. Drawdown Duration      196 days 00:00:00
# Trades                                   14
Win Rate [%]                          35.7143
Best Trade [%]                        416.602
Worst Trade [%]                      -25.9155
Avg. Trade [%]                        20.6545
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          60 days 00:00:00
Profit Factor                         5.49098
Expectancy [%]                        46.9683
SQN                                   1.40067
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
