;sma1;sma2;output
0;1;2;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   74.561404
Equity Final [$]             915498012.335725
Equity Peak [$]              926938774.151045
Return [%]                         815.498012
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                119847.39393
Volatility (Ann.) [%]          1974893.950223
Sharpe Ratio                         0.060685
Sortino Ratio                     1244.108629
Calmar Ratio                      2723.863341
Max. Drawdown [%]                  -43.999048
Avg. Drawdown [%]                   -19.97144
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      100 days 00:00:00
# Trades                                   26
Win Rate [%]                        38.461538
Best Trade [%]                     317.063157
Worst Trade [%]                     -15.72511
Avg. Trade [%]                        8.81225
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        5.215057
Expectancy [%]                      17.710708
SQN                                  1.134274
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   65.789474
Equity Final [$]            1079122091.518513
Equity Peak [$]             1126857391.521033
Return [%]                         979.122092
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]               202966.494346
Volatility (Ann.) [%]          4869916.406875
Sharpe Ratio                         0.041678
Sortino Ratio                     1924.330637
Calmar Ratio                      5228.195398
Max. Drawdown [%]                   -38.82152
Avg. Drawdown [%]                  -16.611742
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       74 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                     317.063157
Worst Trade [%]                    -31.074297
Avg. Trade [%]                      15.895008
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        6.937052
Expectancy [%]                      30.603064
SQN                                  1.530357
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   63.157895
Equity Final [$]              468055152.55225
Equity Peak [$]               744605215.21705
Return [%]                         368.055153
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                 13899.94912
Volatility (Ann.) [%]           447021.904877
Sharpe Ratio                         0.031095
Sortino Ratio                      111.112863
Calmar Ratio                       356.546141
Max. Drawdown [%]                  -38.984994
Avg. Drawdown [%]                  -24.596459
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       84 days 00:00:00
# Trades                                   14
Win Rate [%]                             50.0
Best Trade [%]                     224.646782
Worst Trade [%]                    -31.074297
Avg. Trade [%]                      11.655047
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        5.190168
Expectancy [%]                      22.282364
SQN                                  1.145303
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;6;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   61.403509
Equity Final [$]             188276973.287028
Equity Peak [$]              308092733.569161
Return [%]                          88.276973
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                  658.286224
Volatility (Ann.) [%]            29179.210871
Sharpe Ratio                          0.02256
Sortino Ratio                        4.669801
Calmar Ratio                        12.596867
Max. Drawdown [%]                  -52.257932
Avg. Drawdown [%]                  -32.708739
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   14
Win Rate [%]                        21.428571
Best Trade [%]                     224.646782
Worst Trade [%]                    -31.074297
Avg. Trade [%]                        4.62329
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        2.724639
Expectancy [%]                       15.85319
SQN                                   0.48231
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
4;1;7;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]             165211600.230285
Equity Peak [$]              269951048.834292
Return [%]                            65.2116
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                  399.013446
Volatility (Ann.) [%]            18753.711175
Sharpe Ratio                         0.021277
Sortino Ratio                        2.831301
Calmar Ratio                         7.756052
Max. Drawdown [%]                  -51.445429
Avg. Drawdown [%]                  -50.622062
Max. Drawdown Duration      434 days 00:00:00
Avg. Drawdown Duration      347 days 00:00:00
# Trades                                   13
Win Rate [%]                        23.076923
Best Trade [%]                     224.646782
Worst Trade [%]                    -31.074297
Avg. Trade [%]                        3.93752
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        2.540812
Expectancy [%]                      15.037132
SQN                                  0.406704
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
5;1;8;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]             188892999.544733
Equity Peak [$]              375853480.792042
Return [%]                             88.893
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                  666.258581
Volatility (Ann.) [%]            36369.619321
Sharpe Ratio                         0.018319
Sortino Ratio                        4.510437
Calmar Ratio                        11.191782
Max. Drawdown [%]                  -59.531054
Avg. Drawdown [%]                  -36.047212
Max. Drawdown Duration      434 days 00:00:00
Avg. Drawdown Duration      174 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                     244.185485
Worst Trade [%]                    -31.074297
Avg. Trade [%]                        6.36974
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        2.819413
Expectancy [%]                      22.062806
SQN                                  0.490267
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;2;3;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   63.157895
Equity Final [$]            1065069575.881047
Equity Peak [$]             1250903903.863983
Return [%]                         965.069576
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]               194620.623068
Volatility (Ann.) [%]          6630544.862954
Sharpe Ratio                         0.029352
Sortino Ratio                     1652.149478
Calmar Ratio                      3689.748496
Max. Drawdown [%]                  -52.746311
Avg. Drawdown [%]                  -19.300719
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       65 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                     317.063157
Worst Trade [%]                    -31.074297
Avg. Trade [%]                      15.800102
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        5.736821
Expectancy [%]                      30.691622
SQN                                   1.21977
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
7;2;4;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   64.912281
Equity Final [$]              295750361.75469
Equity Peak [$]              830790362.344221
Return [%]                         195.750362
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                 3119.490109
Volatility (Ann.) [%]           183533.803596
Sharpe Ratio                         0.016997
Sortino Ratio                       20.537438
Calmar Ratio                        44.715273
Max. Drawdown [%]                  -69.763413
Avg. Drawdown [%]                  -22.399319
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       61 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                     224.646782
Worst Trade [%]                    -54.157014
Avg. Trade [%]                       8.698868
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        3.690701
Expectancy [%]                      21.817402
SQN                                  0.379719
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
8;2;5;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                    58.77193
Equity Final [$]             146581756.832341
Equity Peak [$]              384809734.603949
Return [%]                          46.581757
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                  240.210036
Volatility (Ann.) [%]            17512.714472
Sharpe Ratio                         0.013716
Sortino Ratio                        1.537025
Calmar Ratio                         3.549099
Max. Drawdown [%]                  -67.681974
Avg. Drawdown [%]                  -44.452831
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      170 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     224.646782
Worst Trade [%]                    -54.157014
Avg. Trade [%]                       3.537619
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                        2.485254
Expectancy [%]                      18.330506
SQN                                  0.178776
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;2;6;"Start                     2019-09-01 20:59...
End                       2021-10-31 20:59...
Duration                    791 days 00:00:00
Exposure Time [%]                   59.649123
Equity Final [$]             190283927.923595
Equity Peak [$]              463615222.619663
Return [%]                          90.283928
Buy & Hold Return [%]              682.854985
Return (Ann.) [%]                  684.471055
Volatility (Ann.) [%]            42343.324402
Sharpe Ratio                         0.016165
Sortino Ratio                        4.403374
Calmar Ratio                         10.32849
Max. Drawdown [%]                  -66.270196
Avg. Drawdown [%]                  -33.677471
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       96 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     300.374351
Worst Trade [%]                    -38.198738
Avg. Trade [%]                       6.023025
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                        3.000972
Expectancy [%]                      25.915248
SQN                                  0.290798
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
