;sma1;sma2;output
0;1;2;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                    77.04918
Equity Final [$]              875793995.95944
Equity Peak [$]               875793995.95944
Return [%]                         775.793996
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                 65890.47955
Volatility (Ann.) [%]         25534539.402713
Sharpe Ratio                          0.00258
Sortino Ratio                      425.087523
Calmar Ratio                      1116.215076
Max. Drawdown [%]                  -59.030272
Avg. Drawdown [%]                  -29.973984
Max. Drawdown Duration      546 days 00:00:00
Avg. Drawdown Duration      132 days 00:00:00
# Trades                                   29
Win Rate [%]                        48.275862
Best Trade [%]                     253.673986
Worst Trade [%]                    -36.863824
Avg. Trade [%]                       7.701429
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                         3.43838
Expectancy [%]                       14.49675
SQN                                  1.471158
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;3;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   66.393443
Equity Final [$]              204218785.74827
Equity Peak [$]               402398963.09686
Return [%]                         104.218786
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                  746.730689
Volatility (Ann.) [%]           302630.049938
Sharpe Ratio                         0.002467
Sortino Ratio                        4.625877
Calmar Ratio                        11.204402
Max. Drawdown [%]                  -66.646189
Avg. Drawdown [%]                  -63.274964
Max. Drawdown Duration      567 days 00:00:00
Avg. Drawdown Duration      385 days 00:00:00
# Trades                                   23
Win Rate [%]                        34.782609
Best Trade [%]                     253.673986
Worst Trade [%]                    -29.111638
Avg. Trade [%]                       3.153133
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        2.339299
Expectancy [%]                      10.330256
SQN                                  0.468311
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   59.016393
Equity Final [$]              369231214.68617
Equity Peak [$]               703774024.33451
Return [%]                         269.231215
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                 4880.182296
Volatility (Ann.) [%]          1576570.014707
Sharpe Ratio                         0.003095
Sortino Ratio                       30.658203
Calmar Ratio                         75.28197
Max. Drawdown [%]                   -64.82538
Avg. Drawdown [%]                  -33.732671
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      122 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                     164.400338
Worst Trade [%]                    -29.070632
Avg. Trade [%]                       8.506599
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        3.500208
Expectancy [%]                        13.9971
SQN                                  1.116358
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;5;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   57.377049
Equity Final [$]              192728822.87264
Equity Peak [$]               573516090.81792
Return [%]                          92.728823
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                  612.039978
Volatility (Ann.) [%]           169062.330606
Sharpe Ratio                          0.00362
Sortino Ratio                        3.892432
Calmar Ratio                         8.282251
Max. Drawdown [%]                  -73.897783
Avg. Drawdown [%]                  -40.333924
Max. Drawdown Duration      490 days 00:00:00
Avg. Drawdown Duration      182 days 00:00:00
# Trades                                   15
Win Rate [%]                        33.333333
Best Trade [%]                     164.400338
Worst Trade [%]                    -36.874362
Avg. Trade [%]                       4.471167
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        2.286775
Expectancy [%]                      12.574293
SQN                                  0.432492
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   57.377049
Equity Final [$]              251161231.28418
Equity Peak [$]               747397329.56703
Return [%]                         151.161231
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                 1472.459651
Volatility (Ann.) [%]           393705.136847
Sharpe Ratio                          0.00374
Sortino Ratio                        9.366261
Calmar Ratio                        19.925627
Max. Drawdown [%]                  -73.897783
Avg. Drawdown [%]                  -46.491793
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      182 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                     164.400338
Worst Trade [%]                    -36.874362
Avg. Trade [%]                       6.799211
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        2.626385
Expectancy [%]                      15.203386
SQN                                   0.54624
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;7;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   58.196721
Equity Final [$]              219768736.12499
Equity Peak [$]               736308465.84859
Return [%]                         119.768736
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                  954.616915
Volatility (Ann.) [%]           276676.399066
Sharpe Ratio                          0.00345
Sortino Ratio                        6.026318
Calmar Ratio                        12.918072
Max. Drawdown [%]                  -73.897783
Avg. Drawdown [%]                  -52.233539
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      243 days 00:00:00
# Trades                                   15
Win Rate [%]                        33.333333
Best Trade [%]                     496.285714
Worst Trade [%]                    -36.874362
Avg. Trade [%]                       5.389593
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                        4.063118
Expectancy [%]                      28.079254
SQN                                  0.364139
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   59.016393
Equity Final [$]               454620491.1698
Equity Peak [$]              1318504219.86649
Return [%]                         354.620491
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                 9180.181174
Volatility (Ann.) [%]          3354715.847313
Sharpe Ratio                         0.002737
Sortino Ratio                       56.833753
Calmar Ratio                       131.433796
Max. Drawdown [%]                  -69.846428
Avg. Drawdown [%]                  -38.757761
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      146 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                     750.948509
Worst Trade [%]                    -36.874362
Avg. Trade [%]                      16.349602
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                        7.272623
Expectancy [%]                      72.894657
SQN                                  0.563798
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;10;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   54.918033
Equity Final [$]              304718592.07419
Equity Peak [$]              1257715104.30484
Return [%]                         204.718592
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                 2703.693109
Volatility (Ann.) [%]           790249.797903
Sharpe Ratio                         0.003421
Sortino Ratio                       16.918894
Calmar Ratio                        35.681932
Max. Drawdown [%]                   -75.77205
Avg. Drawdown [%]                  -38.448331
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      143 days 00:00:00
# Trades                                   10
Win Rate [%]                             20.0
Best Trade [%]                     826.253687
Worst Trade [%]                    -36.874362
Avg. Trade [%]                      11.786638
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        6.659066
Expectancy [%]                      74.502388
SQN                                  0.333635
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;3;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   66.393443
Equity Final [$]              111659622.65351
Equity Peak [$]               379740813.28987
Return [%]                          11.659623
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                    39.08999
Volatility (Ann.) [%]            25013.776098
Sharpe Ratio                         0.001563
Sortino Ratio                        0.242112
Calmar Ratio                         0.499287
Max. Drawdown [%]                  -78.291652
Avg. Drawdown [%]                  -34.963582
Max. Drawdown Duration      308 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   23
Win Rate [%]                        43.478261
Best Trade [%]                       89.55495
Worst Trade [%]                    -28.956522
Avg. Trade [%]                       0.480651
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        1.426624
Expectancy [%]                        3.08559
SQN                                  0.092807
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;2;4;"Start                     2019-07-07 20:59...
End                       2021-10-31 20:59...
Duration                    847 days 00:00:00
Exposure Time [%]                   62.295082
Equity Final [$]              102150176.31202
Equity Peak [$]               414662190.21594
Return [%]                           2.150176
Buy & Hold Return [%]               78.784314
Return (Ann.) [%]                    6.571636
Volatility (Ann.) [%]            10195.669187
Sharpe Ratio                         0.000645
Sortino Ratio                        0.040244
Calmar Ratio                         0.080663
Max. Drawdown [%]                  -81.470109
Avg. Drawdown [%]                  -41.017022
Max. Drawdown Duration      490 days 00:00:00
Avg. Drawdown Duration      186 days 00:00:00
# Trades                                   17
Win Rate [%]                        52.941176
Best Trade [%]                       89.55495
Worst Trade [%]                    -52.312856
Avg. Trade [%]                       0.125219
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        1.511749
Expectancy [%]                       4.914726
SQN                                  0.014509
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
