;sma1;sma2;output
0;1;2;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   75.177305
Equity Final [$]            3696706413.076063
Equity Peak [$]             5103996965.197044
Return [%]                        3596.706413
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]              1144168.889157
Volatility (Ann.) [%]     268101459080.430939
Sharpe Ratio                         0.000004
Sortino Ratio                     9242.705059
Calmar Ratio                     22605.542845
Max. Drawdown [%]                  -50.614528
Avg. Drawdown [%]                  -32.555885
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      128 days 00:00:00
# Trades                                   34
Win Rate [%]                        32.352941
Best Trade [%]                     550.942836
Worst Trade [%]                    -23.445269
Avg. Trade [%]                       11.06053
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        6.673405
Expectancy [%]                      26.354077
SQN                                  0.966861
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
1;1;3;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   65.957447
Equity Final [$]            1820532291.754871
Equity Peak [$]             3029073641.172971
Return [%]                        1720.532292
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               182800.832299
Volatility (Ann.) [%]       6359742161.770357
Sharpe Ratio                         0.000029
Sortino Ratio                     1430.577788
Calmar Ratio                      3324.515648
Max. Drawdown [%]                  -54.985704
Avg. Drawdown [%]                  -26.510457
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   23
Win Rate [%]                        47.826087
Best Trade [%]                     224.022866
Worst Trade [%]                    -24.975849
Avg. Trade [%]                      13.446535
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        5.253352
Expectancy [%]                      22.443446
SQN                                   0.96696
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
2;1;4;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   57.446809
Equity Final [$]            4596458656.803635
Equity Peak [$]             5840425889.150234
Return [%]                        4496.458657
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]              2011012.441501
Volatility (Ann.) [%]     446218935425.613037
Sharpe Ratio                         0.000005
Sortino Ratio                     16270.17257
Calmar Ratio                     37824.791232
Max. Drawdown [%]                  -53.166518
Avg. Drawdown [%]                  -30.543451
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   17
Win Rate [%]                        41.176471
Best Trade [%]                         2032.5
Worst Trade [%]                    -22.514549
Avg. Trade [%]                      24.935162
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                       29.077601
Expectancy [%]                     126.352094
SQN                                   1.29403
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
3;1;5;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                    52.48227
Equity Final [$]            2645190273.440625
Equity Peak [$]             3837260510.023051
Return [%]                        2545.190273
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               481012.487514
Volatility (Ann.) [%]     142019725788.131012
Sharpe Ratio                         0.000003
Sortino Ratio                     3540.303197
Calmar Ratio                      8393.032128
Max. Drawdown [%]                  -57.310931
Avg. Drawdown [%]                  -44.397824
Max. Drawdown Duration      588 days 00:00:00
Avg. Drawdown Duration      214 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                       1368.625
Worst Trade [%]                    -22.514549
Avg. Trade [%]                      24.402888
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                       20.907496
Expectancy [%]                      97.685834
SQN                                  1.429092
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
4;1;6;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   53.900709
Equity Final [$]            3879160089.598538
Equity Peak [$]             5627325933.156893
Return [%]                         3779.16009
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]              1296153.071186
Volatility (Ann.) [%]     389364461509.190063
Sharpe Ratio                         0.000003
Sortino Ratio                     9535.933303
Calmar Ratio                     22357.887301
Max. Drawdown [%]                  -57.972967
Avg. Drawdown [%]                  -44.884339
Max. Drawdown Duration      581 days 00:00:00
Avg. Drawdown Duration      212 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                    1461.951609
Worst Trade [%]                    -22.514549
Avg. Trade [%]                      32.498387
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                       26.109894
Expectancy [%]                     122.831099
SQN                                  1.453587
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
5;2;3;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   65.248227
Equity Final [$]            1639687800.590223
Equity Peak [$]             2926989299.231103
Return [%]                        1539.687801
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               139406.520346
Volatility (Ann.) [%]       4758996290.780822
Sharpe Ratio                         0.000029
Sortino Ratio                     1090.503166
Calmar Ratio                      2444.298569
Max. Drawdown [%]                  -57.033344
Avg. Drawdown [%]                  -28.709853
Max. Drawdown Duration      434 days 00:00:00
Avg. Drawdown Duration      130 days 00:00:00
# Trades                                   24
Win Rate [%]                        54.166667
Best Trade [%]                     303.270407
Worst Trade [%]                    -27.560621
Avg. Trade [%]                      12.360858
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        5.948826
Expectancy [%]                      22.652693
SQN                                  0.897142
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
6;2;4;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   59.574468
Equity Final [$]              2504017300.5642
Equity Peak [$]             3550414546.667189
Return [%]                        2404.017301
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               417332.235349
Volatility (Ann.) [%]      135360677881.35231
Sharpe Ratio                         0.000003
Sortino Ratio                      3069.14626
Calmar Ratio                      5750.731778
Max. Drawdown [%]                  -72.570283
Avg. Drawdown [%]                  -54.179314
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      285 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                         2032.5
Worst Trade [%]                    -31.538462
Avg. Trade [%]                      22.296727
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                       17.975959
Expectancy [%]                       131.1252
SQN                                   1.03443
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
7;2;5;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   53.900709
Equity Final [$]            1456366357.603105
Equity Peak [$]             2761910926.517836
Return [%]                        1356.366358
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               102536.876008
Volatility (Ann.) [%]      25197152567.463421
Sharpe Ratio                         0.000004
Sortino Ratio                      739.762042
Calmar Ratio                      1559.891231
Max. Drawdown [%]                   -65.73335
Avg. Drawdown [%]                  -48.694419
Max. Drawdown Duration      588 days 00:00:00
Avg. Drawdown Duration      216 days 00:00:00
# Trades                                   14
Win Rate [%]                        57.142857
Best Trade [%]                     815.887122
Worst Trade [%]                    -24.098034
Avg. Trade [%]                      21.085115
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                       10.360301
Expectancy [%]                       64.65514
SQN                                  1.145787
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
8;2;6;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                    48.22695
Equity Final [$]            1975466506.647392
Equity Peak [$]             3028526342.877114
Return [%]                        1875.466507
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]               225863.612608
Volatility (Ann.) [%]      45096507596.556763
Sharpe Ratio                         0.000005
Sortino Ratio                     1741.248546
Calmar Ratio                      3970.945336
Max. Drawdown [%]                  -56.879054
Avg. Drawdown [%]                  -43.979299
Max. Drawdown Duration      581 days 00:00:00
Avg. Drawdown Duration      214 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                     815.887122
Worst Trade [%]                    -24.098034
Avg. Trade [%]                      34.761851
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                       20.616568
Expectancy [%]                      92.455388
SQN                                  1.468222
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;3;4;"Start                     2019-02-24 20:59...
End                       2021-10-31 20:59...
Duration                    980 days 00:00:00
Exposure Time [%]                   63.829787
Equity Final [$]             718911650.069183
Equity Peak [$]             2257137697.694211
Return [%]                          618.91165
Buy & Hold Return [%]               758.84022
Return (Ann.) [%]                16405.748186
Volatility (Ann.) [%]       7999225093.861657
Sharpe Ratio                         0.000002
Sortino Ratio                      103.618734
Calmar Ratio                       205.608572
Max. Drawdown [%]                  -79.791168
Avg. Drawdown [%]                   -35.03073
Max. Drawdown Duration      630 days 00:00:00
Avg. Drawdown Duration      154 days 00:00:00
# Trades                                   19
Win Rate [%]                        36.842105
Best Trade [%]                       1368.625
Worst Trade [%]                     -48.31316
Avg. Trade [%]                      10.687752
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                        8.696321
Expectancy [%]                      71.517681
SQN                                  0.544037
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
