;sma1;sma2;output
0;1;3;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   97.727273
Equity Final [$]               166579127.1484
Equity Peak [$]                524454913.6118
Return [%]                          66.579127
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  188.144853
Volatility (Ann.) [%]            42843.654542
Sharpe Ratio                         0.004391
Sortino Ratio                        1.044374
Calmar Ratio                         2.691047
Max. Drawdown [%]                   -69.91512
Avg. Drawdown [%]                  -50.667366
Max. Drawdown Duration      532 days 00:00:00
Avg. Drawdown Duration      294 days 00:00:00
# Trades                                   58
Win Rate [%]                        34.482759
Best Trade [%]                     187.407407
Worst Trade [%]                    -40.156183
Avg. Trade [%]                       0.817987
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        1.717205
Expectancy [%]                       5.680597
SQN                                   0.15906
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;4;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                       93.75
Equity Final [$]               230925048.6114
Equity Peak [$]                898309238.7715
Return [%]                         130.925049
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                   467.26943
Volatility (Ann.) [%]            64563.359053
Sharpe Ratio                         0.007237
Sortino Ratio                        2.706549
Calmar Ratio                         6.254187
Max. Drawdown [%]                  -74.713062
Avg. Drawdown [%]                  -47.010688
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration      186 days 00:00:00
# Trades                                   46
Win Rate [%]                        34.782609
Best Trade [%]                     186.729663
Worst Trade [%]                    -40.156183
Avg. Trade [%]                        1.83605
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        1.852068
Expectancy [%]                       7.137123
SQN                                  0.220215
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;5;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                       93.75
Equity Final [$]               539035853.2285
Equity Peak [$]               1040726784.0695
Return [%]                         439.035853
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 3190.601153
Volatility (Ann.) [%]            342267.25183
Sharpe Ratio                         0.009322
Sortino Ratio                       19.351889
Calmar Ratio                        57.641779
Max. Drawdown [%]                  -55.352233
Avg. Drawdown [%]                  -30.082043
Max. Drawdown Duration      301 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   37
Win Rate [%]                        35.135135
Best Trade [%]                     383.668858
Worst Trade [%]                    -32.549532
Avg. Trade [%]                       4.658246
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        2.660368
Expectancy [%]                      14.887615
SQN                                  0.466808
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;6;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   93.181818
Equity Final [$]                604107620.153
Equity Peak [$]               1212928203.1425
Return [%]                          504.10762
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 4067.969876
Volatility (Ann.) [%]           483536.971288
Sharpe Ratio                         0.008413
Sortino Ratio                       23.918401
Calmar Ratio                        54.449713
Max. Drawdown [%]                  -74.710585
Avg. Drawdown [%]                  -27.783275
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration       78 days 00:00:00
# Trades                                   27
Win Rate [%]                        44.444444
Best Trade [%]                     256.039441
Worst Trade [%]                    -44.703439
Avg. Trade [%]                       6.888298
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                         2.60904
Expectancy [%]                       17.24092
SQN                                  0.617753
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;7;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   89.204545
Equity Final [$]              1326066422.5048
Equity Peak [$]                2662478185.311
Return [%]                        1226.066423
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                21183.708893
Volatility (Ann.) [%]          1901798.431234
Sharpe Ratio                         0.011139
Sortino Ratio                      133.976997
Calmar Ratio                       283.543611
Max. Drawdown [%]                  -74.710584
Avg. Drawdown [%]                  -25.089997
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   23
Win Rate [%]                        47.826087
Best Trade [%]                     344.752374
Worst Trade [%]                    -44.703439
Avg. Trade [%]                        11.8941
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                        3.567371
Expectancy [%]                      26.087458
SQN                                  0.665769
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;8;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   89.204545
Equity Final [$]              1990942440.8003
Equity Peak [$]               2311390698.3192
Return [%]                        1890.942441
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                49339.105994
Volatility (Ann.) [%]          3909378.292746
Sharpe Ratio                         0.012621
Sortino Ratio                      323.959592
Calmar Ratio                       696.427246
Max. Drawdown [%]                  -70.846031
Avg. Drawdown [%]                  -29.885685
Max. Drawdown Duration      301 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   23
Win Rate [%]                        47.826087
Best Trade [%]                     344.752374
Worst Trade [%]                    -44.703439
Avg. Trade [%]                      13.888747
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                         4.22532
Expectancy [%]                      27.500831
SQN                                  1.091685
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;9;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   79.545455
Equity Final [$]               474539723.4078
Equity Peak [$]                550918340.7091
Return [%]                         374.539723
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 2426.370823
Volatility (Ann.) [%]           195082.987511
Sharpe Ratio                         0.012438
Sortino Ratio                       14.815245
Calmar Ratio                        28.053058
Max. Drawdown [%]                  -86.492203
Avg. Drawdown [%]                   -42.51351
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      191 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                     344.752374
Worst Trade [%]                    -58.779841
Avg. Trade [%]                       8.540869
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                        3.402544
Expectancy [%]                      24.651213
SQN                                    0.8461
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;10;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   79.545455
Equity Final [$]               474539723.4078
Equity Peak [$]                550918340.7091
Return [%]                         374.539723
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 2426.370823
Volatility (Ann.) [%]           195082.987511
Sharpe Ratio                         0.012438
Sortino Ratio                       14.815245
Calmar Ratio                        28.053058
Max. Drawdown [%]                  -86.492203
Avg. Drawdown [%]                   -42.51351
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      191 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                     344.752374
Worst Trade [%]                    -58.779841
Avg. Trade [%]                       8.540869
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                        3.402544
Expectancy [%]                      24.651213
SQN                                    0.8461
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;1;11;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   79.545455
Equity Final [$]               499023530.4035
Equity Peak [$]                579342890.3872
Return [%]                          399.02353
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 2704.192389
Volatility (Ann.) [%]           212458.287418
Sharpe Ratio                         0.012728
Sortino Ratio                       16.562127
Calmar Ratio                        31.265158
Max. Drawdown [%]                  -86.492203
Avg. Drawdown [%]                  -30.391623
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      135 days 00:00:00
# Trades                                   17
Win Rate [%]                        47.058824
Best Trade [%]                     324.908066
Worst Trade [%]                    -58.779841
Avg. Trade [%]                       9.917272
Max. Trade Duration         224 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                        3.497655
Expectancy [%]                      26.936728
SQN                                  0.853963
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;1;12;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   79.545455
Equity Final [$]               419246940.1941
Equity Peak [$]                530370327.9808
Return [%]                          319.24694
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  1853.96911
Volatility (Ann.) [%]           151561.806575
Sharpe Ratio                         0.012232
Sortino Ratio                       11.304988
Calmar Ratio                        21.435101
Max. Drawdown [%]                  -86.492203
Avg. Drawdown [%]                  -42.046163
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      192 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                     324.908066
Worst Trade [%]                    -58.779841
Avg. Trade [%]                      10.026676
Max. Trade Duration         224 days 00:00:00
Avg. Trade Duration          65 days 00:00:00
Profit Factor                         3.47145
Expectancy [%]                       28.70441
SQN                                  0.773437
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
10;1;13;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   79.545455
Equity Final [$]               552131535.8708
Equity Peak [$]                698476615.6204
Return [%]                         452.131536
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 3358.558037
Volatility (Ann.) [%]           261299.550885
Sharpe Ratio                         0.012853
Sortino Ratio                       20.746155
Calmar Ratio                        40.091808
Max. Drawdown [%]                  -83.771677
Avg. Drawdown [%]                  -39.888894
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      159 days 00:00:00
# Trades                                   17
Win Rate [%]                        52.941176
Best Trade [%]                     305.237316
Worst Trade [%]                    -58.779841
Avg. Trade [%]                      10.573119
Max. Trade Duration         224 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                         3.60039
Expectancy [%]                      26.591483
SQN                                  0.867399
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
11;1;14;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   78.977273
Equity Final [$]               482114795.0267
Equity Peak [$]                782097859.2023
Return [%]                         382.114795
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 2510.723603
Volatility (Ann.) [%]           195857.170605
Sharpe Ratio                         0.012819
Sortino Ratio                       15.612558
Calmar Ratio                        29.920225
Max. Drawdown [%]                  -83.913927
Avg. Drawdown [%]                    -23.1393
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      103 days 00:00:00
# Trades                                   17
Win Rate [%]                        47.058824
Best Trade [%]                     305.237316
Worst Trade [%]                    -58.779841
Avg. Trade [%]                       9.694618
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          57 days 00:00:00
Profit Factor                        3.600964
Expectancy [%]                      24.846418
SQN                                  0.702031
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
12;1;15;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   78.409091
Equity Final [$]               972977258.8885
Equity Peak [$]               1080419534.3985
Return [%]                         872.977259
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                11099.283466
Volatility (Ann.) [%]           758805.357803
Sharpe Ratio                         0.014627
Sortino Ratio                       75.328218
Calmar Ratio                       130.445543
Max. Drawdown [%]                  -85.087487
Avg. Drawdown [%]                  -15.033551
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration       58 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                     365.887304
Worst Trade [%]                    -58.779841
Avg. Trade [%]                      16.378703
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          64 days 00:00:00
Profit Factor                        5.947046
Expectancy [%]                      34.379327
SQN                                  1.674982
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
13;1;16;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   78.409091
Equity Final [$]               340310607.2392
Equity Peak [$]                838226060.2582
Return [%]                         240.310607
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                 1167.760539
Volatility (Ann.) [%]           105663.467352
Sharpe Ratio                         0.011052
Sortino Ratio                        7.132574
Calmar Ratio                        14.058566
Max. Drawdown [%]                  -83.063986
Avg. Drawdown [%]                  -24.561013
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                     128.454524
Worst Trade [%]                    -29.119931
Avg. Trade [%]                       9.878697
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          74 days 00:00:00
Profit Factor                        2.982748
Expectancy [%]                      16.749529
SQN                                  0.907144
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
14;1;17;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   78.409091
Equity Final [$]               754577151.3187
Equity Peak [$]               1858614509.1327
Return [%]                         654.577151
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  6510.55137
Volatility (Ann.) [%]           507370.952611
Sharpe Ratio                         0.012832
Sortino Ratio                       41.158875
Calmar Ratio                        88.306873
Max. Drawdown [%]                   -73.72644
Avg. Drawdown [%]                  -23.070348
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration       82 days 00:00:00
# Trades                                   11
Win Rate [%]                        63.636364
Best Trade [%]                     128.454524
Worst Trade [%]                    -28.953024
Avg. Trade [%]                      20.168666
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          88 days 00:00:00
Profit Factor                        5.977275
Expectancy [%]                      26.823693
SQN                                  1.264136
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
15;1;18;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   77.840909
Equity Final [$]               193459506.9184
Equity Peak [$]                830452290.3642
Return [%]                          93.459507
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  292.960356
Volatility (Ann.) [%]            32371.124906
Sharpe Ratio                          0.00905
Sortino Ratio                        1.745646
Calmar Ratio                         3.510503
Max. Drawdown [%]                  -83.452529
Avg. Drawdown [%]                  -24.402527
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     100.718981
Worst Trade [%]                    -51.959881
Avg. Trade [%]                        6.18267
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          87 days 00:00:00
Profit Factor                        2.452459
Expectancy [%]                      14.451831
SQN                                  0.349544
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
16;1;20;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   77.840909
Equity Final [$]               140843227.6377
Equity Peak [$]                604589469.9597
Return [%]                          40.843228
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  103.450198
Volatility (Ann.) [%]            17609.010966
Sharpe Ratio                         0.005875
Sortino Ratio                        0.605782
Calmar Ratio                         1.239629
Max. Drawdown [%]                  -83.452529
Avg. Drawdown [%]                  -43.776714
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     100.718981
Worst Trade [%]                    -51.959881
Avg. Trade [%]                       3.162403
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          87 days 00:00:00
Profit Factor                        1.970659
Expectancy [%]                      11.175188
SQN                                  0.212118
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
17;1;42;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   71.022727
Equity Final [$]               103359807.4409
Equity Peak [$]                 328574696.761
Return [%]                           3.359807
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                    7.093584
Volatility (Ann.) [%]             4031.288157
Sharpe Ratio                          0.00176
Sortino Ratio                        0.043277
Calmar Ratio                         0.089068
Max. Drawdown [%]                  -79.642607
Avg. Drawdown [%]                   -27.21772
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration       91 days 00:00:00
# Trades                                   13
Win Rate [%]                        30.769231
Best Trade [%]                     150.731332
Worst Trade [%]                    -40.648615
Avg. Trade [%]                       0.254523
Max. Trade Duration         238 days 00:00:00
Avg. Trade Duration          67 days 00:00:00
Profit Factor                        1.697758
Expectancy [%]                       8.258459
SQN                                  0.031801
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
18;1;43;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   71.022727
Equity Final [$]               103359807.4409
Equity Peak [$]                 328574696.761
Return [%]                           3.359807
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                    7.093584
Volatility (Ann.) [%]             4031.288157
Sharpe Ratio                          0.00176
Sortino Ratio                        0.043277
Calmar Ratio                         0.089068
Max. Drawdown [%]                  -79.642607
Avg. Drawdown [%]                   -27.21772
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration       91 days 00:00:00
# Trades                                   13
Win Rate [%]                        30.769231
Best Trade [%]                     150.731332
Worst Trade [%]                    -40.648615
Avg. Trade [%]                       0.254523
Max. Trade Duration         238 days 00:00:00
Avg. Trade Duration          67 days 00:00:00
Profit Factor                        1.697758
Expectancy [%]                       8.258459
SQN                                  0.031801
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
19;2;3;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   97.727273
Equity Final [$]               285634538.2507
Equity Peak [$]                517488184.8313
Return [%]                         185.634538
Buy & Hold Return [%]                1.941013
Return (Ann.) [%]                  781.635923
Volatility (Ann.) [%]           132129.420531
Sharpe Ratio                         0.005916
Sortino Ratio                        4.466515
Calmar Ratio                        10.427727
Max. Drawdown [%]                   -74.95746
Avg. Drawdown [%]                  -34.552307
Max. Drawdown Duration      574 days 00:00:00
Avg. Drawdown Duration      145 days 00:00:00
# Trades                                   62
Win Rate [%]                        37.096774
Best Trade [%]                     387.977052
Worst Trade [%]                    -39.444148
Avg. Trade [%]                        1.70722
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                         2.12002
Expectancy [%]                       8.659514
SQN                                   0.40192
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
