;sma1;sma2;output
0;1;3;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     63.6872
Equity Final [$]                  2.56471e+08
Equity Peak [$]                   5.93298e+08
Return [%]                            156.471
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     582.454
Volatility (Ann.) [%]                 11627.5
Sharpe Ratio                        0.0500926
Sortino Ratio                         5.41438
Calmar Ratio                           9.9971
Max. Drawdown [%]                    -58.2623
Avg. Drawdown [%]                    -23.2772
Max. Drawdown Duration      518 days 00:00:00
Avg. Drawdown Duration      128 days 00:00:00
# Trades                                   32
Win Rate [%]                            31.25
Best Trade [%]                        101.326
Worst Trade [%]                      -22.0481
Avg. Trade [%]                        2.87672
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         1.98117
Expectancy [%]                        5.59631
SQN                                  0.598875
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;4;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     60.3352
Equity Final [$]                  1.80298e+08
Equity Peak [$]                   9.97014e+08
Return [%]                            80.2982
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     232.655
Volatility (Ann.) [%]                 8369.99
Sharpe Ratio                        0.0277963
Sortino Ratio                         1.76428
Calmar Ratio                          2.83965
Max. Drawdown [%]                    -81.9306
Avg. Drawdown [%]                    -23.8847
Max. Drawdown Duration      574 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   22
Win Rate [%]                          36.3636
Best Trade [%]                        193.748
Worst Trade [%]                      -55.5871
Avg. Trade [%]                         2.7155
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                         2.08944
Expectancy [%]                        10.2728
SQN                                  0.127119
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;5;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     56.4246
Equity Final [$]                  4.39127e+08
Equity Peak [$]                   9.71496e+08
Return [%]                            339.127
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     1943.19
Volatility (Ann.) [%]                 37055.6
Sharpe Ratio                        0.0524399
Sortino Ratio                          17.963
Calmar Ratio                          35.4371
Max. Drawdown [%]                     -54.835
Avg. Drawdown [%]                    -24.3846
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration      120 days 00:00:00
# Trades                                   18
Win Rate [%]                          38.8889
Best Trade [%]                        284.005
Worst Trade [%]                      -34.6585
Avg. Trade [%]                         8.5674
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                         3.85861
Expectancy [%]                        18.6869
SQN                                  0.574955
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;6;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     55.3073
Equity Final [$]                  5.04922e+08
Equity Peak [$]                   7.46615e+08
Return [%]                            404.922
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     2616.12
Volatility (Ann.) [%]                 76301.8
Sharpe Ratio                        0.0342865
Sortino Ratio                         24.2369
Calmar Ratio                          52.5089
Max. Drawdown [%]                    -49.8224
Avg. Drawdown [%]                    -28.4925
Max. Drawdown Duration      637 days 00:00:00
Avg. Drawdown Duration      159 days 00:00:00
# Trades                                   15
Win Rate [%]                               40
Best Trade [%]                        284.005
Worst Trade [%]                      -22.5901
Avg. Trade [%]                        11.1447
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                          4.7668
Expectancy [%]                        22.2913
SQN                                    1.2967
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;7;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     54.7486
Equity Final [$]                  2.17383e+08
Equity Peak [$]                   5.71057e+08
Return [%]                            117.383
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     387.123
Volatility (Ann.) [%]                 19828.5
Sharpe Ratio                        0.0195236
Sortino Ratio                         2.87537
Calmar Ratio                          5.58621
Max. Drawdown [%]                    -69.2998
Avg. Drawdown [%]                    -34.2341
Max. Drawdown Duration      497 days 00:00:00
Avg. Drawdown Duration      182 days 00:00:00
# Trades                                   14
Win Rate [%]                          42.8571
Best Trade [%]                        284.005
Worst Trade [%]                      -55.5871
Avg. Trade [%]                         5.4445
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         3.16818
Expectancy [%]                        18.9621
SQN                                  0.284808
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;8;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                      52.514
Equity Final [$]                  2.59281e+08
Equity Peak [$]                   5.46637e+08
Return [%]                            159.281
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     597.786
Volatility (Ann.) [%]                 29093.5
Sharpe Ratio                         0.020547
Sortino Ratio                         4.45561
Calmar Ratio                          9.68121
Max. Drawdown [%]                     -61.747
Avg. Drawdown [%]                    -28.1151
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration      144 days 00:00:00
# Trades                                   12
Win Rate [%]                               50
Best Trade [%]                        112.506
Worst Trade [%]                      -22.0481
Avg. Trade [%]                        7.95431
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                         3.36626
Expectancy [%]                        11.8827
SQN                                   1.07379
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;9;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                      49.162
Equity Final [$]                  3.12249e+08
Equity Peak [$]                   6.85638e+08
Return [%]                            212.249
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     919.386
Volatility (Ann.) [%]                 44583.7
Sharpe Ratio                        0.0206216
Sortino Ratio                         6.88952
Calmar Ratio                          14.8896
Max. Drawdown [%]                     -61.747
Avg. Drawdown [%]                    -32.2245
Max. Drawdown Duration      581 days 00:00:00
Avg. Drawdown Duration      199 days 00:00:00
# Trades                                   11
Win Rate [%]                          36.3636
Best Trade [%]                        192.804
Worst Trade [%]                      -24.7434
Avg. Trade [%]                        10.9059
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                         4.13142
Expectancy [%]                        20.3879
SQN                                    1.0476
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;10;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     49.7207
Equity Final [$]                  1.94227e+08
Equity Peak [$]                   5.68809e+08
Return [%]                            94.2271
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     287.163
Volatility (Ann.) [%]                   15837
Sharpe Ratio                        0.0181324
Sortino Ratio                         2.13682
Calmar Ratio                          4.27131
Max. Drawdown [%]                    -67.2308
Avg. Drawdown [%]                    -35.3389
Max. Drawdown Duration      588 days 00:00:00
Avg. Drawdown Duration      201 days 00:00:00
# Trades                                   11
Win Rate [%]                          27.2727
Best Trade [%]                        192.804
Worst Trade [%]                      -24.7434
Avg. Trade [%]                         6.2209
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          50 days 00:00:00
Profit Factor                          3.0751
Expectancy [%]                        15.6605
SQN                                  0.605264
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;1;22;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     45.2514
Equity Final [$]                  1.25137e+08
Equity Peak [$]                   4.72742e+08
Return [%]                            25.1368
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     57.9714
Volatility (Ann.) [%]                 3924.79
Sharpe Ratio                        0.0147706
Sortino Ratio                        0.436523
Calmar Ratio                         0.772901
Max. Drawdown [%]                    -75.0049
Avg. Drawdown [%]                    -29.4984
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   11
Win Rate [%]                          36.3636
Best Trade [%]                        192.804
Worst Trade [%]                      -34.6585
Avg. Trade [%]                        2.05944
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                         2.28506
Expectancy [%]                        11.1854
SQN                                  0.173692
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;1;24;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     45.2514
Equity Final [$]                  1.37267e+08
Equity Peak [$]                   5.95066e+08
Return [%]                            37.2667
Buy & Hold Return [%]                -25.1926
Return (Ann.) [%]                     90.7699
Volatility (Ann.) [%]                    4751
Sharpe Ratio                        0.0191054
Sortino Ratio                        0.682075
Calmar Ratio                          1.16047
Max. Drawdown [%]                    -78.2182
Avg. Drawdown [%]                    -27.9623
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   10
Win Rate [%]                               40
Best Trade [%]                        192.804
Worst Trade [%]                      -34.6585
Avg. Trade [%]                        3.21825
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          50 days 00:00:00
Profit Factor                          2.5043
Expectancy [%]                        12.9425
SQN                                  0.209581
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
