;sma1;sma2;output
0;1;2;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     77.8325
Equity Final [$]                  1.94902e+08
Equity Peak [$]                   2.35942e+08
Return [%]                            94.9025
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     231.971
Volatility (Ann.) [%]                 3515.91
Sharpe Ratio                        0.0659775
Sortino Ratio                         1.81918
Calmar Ratio                          3.59546
Max. Drawdown [%]                    -64.5178
Avg. Drawdown [%]                    -35.7604
Max. Drawdown Duration      602 days 00:00:00
Avg. Drawdown Duration      224 days 00:00:00
# Trades                                   51
Win Rate [%]                          47.0588
Best Trade [%]                        62.7741
Worst Trade [%]                      -28.1438
Avg. Trade [%]                        1.31709
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                         1.52651
Expectancy [%]                        3.26654
SQN                                  0.675712
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
1;1;3;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     65.0246
Equity Final [$]                   6.4607e+08
Equity Peak [$]                    7.8451e+08
Return [%]                             546.07
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     2763.57
Volatility (Ann.) [%]                 22629.2
Sharpe Ratio                         0.122124
Sortino Ratio                         25.1989
Calmar Ratio                          53.4126
Max. Drawdown [%]                      -51.74
Avg. Drawdown [%]                    -21.8153
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration      110 days 00:00:00
# Trades                                   31
Win Rate [%]                          41.9355
Best Trade [%]                        142.699
Worst Trade [%]                      -23.4792
Avg. Trade [%]                        6.20331
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         3.11004
Expectancy [%]                        9.58607
SQN                                   1.31392
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
2;1;4;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     59.1133
Equity Final [$]                  3.54662e+08
Equity Peak [$]                   7.30553e+08
Return [%]                            254.662
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     874.055
Volatility (Ann.) [%]                 10901.8
Sharpe Ratio                        0.0801754
Sortino Ratio                         6.72674
Calmar Ratio                          13.1069
Max. Drawdown [%]                    -66.6865
Avg. Drawdown [%]                    -27.3033
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration      116 days 00:00:00
# Trades                                   24
Win Rate [%]                          45.8333
Best Trade [%]                        142.699
Worst Trade [%]                      -46.9851
Avg. Trade [%]                        5.41659
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                         2.66403
Expectancy [%]                        11.2829
SQN                                  0.609225
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
3;1;5;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     57.1429
Equity Final [$]                  2.00946e+08
Equity Peak [$]                   3.84668e+08
Return [%]                            100.946
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     250.707
Volatility (Ann.) [%]                 4074.76
Sharpe Ratio                        0.0615269
Sortino Ratio                         1.86732
Calmar Ratio                          3.96171
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -33.0656
Max. Drawdown Duration      553 days 00:00:00
Avg. Drawdown Duration      162 days 00:00:00
# Trades                                   24
Win Rate [%]                          41.6667
Best Trade [%]                        142.699
Worst Trade [%]                      -46.9851
Avg. Trade [%]                        2.95046
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                         2.16167
Expectancy [%]                        8.41708
SQN                                  0.473693
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
4;1;6;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                      55.665
Equity Final [$]                  2.11051e+08
Equity Peak [$]                   4.24814e+08
Return [%]                            111.051
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     283.053
Volatility (Ann.) [%]                 4592.47
Sharpe Ratio                        0.0616342
Sortino Ratio                         2.10574
Calmar Ratio                          4.47284
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -36.3003
Max. Drawdown Duration      560 days 00:00:00
Avg. Drawdown Duration      186 days 00:00:00
# Trades                                   21
Win Rate [%]                          42.8571
Best Trade [%]                        139.691
Worst Trade [%]                      -29.5293
Avg. Trade [%]                        3.62083
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         2.26387
Expectancy [%]                        9.25852
SQN                                  0.637312
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
5;1;7;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                      55.665
Equity Final [$]                  2.70208e+08
Equity Peak [$]                   5.67117e+08
Return [%]                            170.208
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     497.318
Volatility (Ann.) [%]                 6327.35
Sharpe Ratio                        0.0785983
Sortino Ratio                         3.87547
Calmar Ratio                          7.85869
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -31.2106
Max. Drawdown Duration      546 days 00:00:00
Avg. Drawdown Duration      161 days 00:00:00
# Trades                                   21
Win Rate [%]                          33.3333
Best Trade [%]                        128.175
Worst Trade [%]                      -31.0762
Avg. Trade [%]                        4.84725
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         2.59416
Expectancy [%]                        10.4319
SQN                                  0.757387
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
6;1;8;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     52.2167
Equity Final [$]                  2.19589e+08
Equity Peak [$]                   4.91688e+08
Return [%]                            119.589
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     311.365
Volatility (Ann.) [%]                  4565.3
Sharpe Ratio                        0.0682025
Sortino Ratio                         2.36653
Calmar Ratio                          4.92023
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                     -34.657
Max. Drawdown Duration      560 days 00:00:00
Avg. Drawdown Duration      183 days 00:00:00
# Trades                                   17
Win Rate [%]                          35.2941
Best Trade [%]                        178.305
Worst Trade [%]                      -31.0762
Avg. Trade [%]                        4.73571
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         2.69858
Expectancy [%]                        12.6236
SQN                                  0.591626
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
7;1;9;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     52.2167
Equity Final [$]                   2.2022e+08
Equity Peak [$]                   5.74576e+08
Return [%]                             120.22
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     313.493
Volatility (Ann.) [%]                 4785.44
Sharpe Ratio                        0.0655097
Sortino Ratio                         2.35813
Calmar Ratio                          4.95385
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -34.6341
Max. Drawdown Duration      560 days 00:00:00
Avg. Drawdown Duration      183 days 00:00:00
# Trades                                   16
Win Rate [%]                            31.25
Best Trade [%]                        180.928
Worst Trade [%]                      -31.0762
Avg. Trade [%]                        5.05787
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                         2.97997
Expectancy [%]                        15.6019
SQN                                  0.469124
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
8;1;10;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     48.7685
Equity Final [$]                   3.5719e+08
Equity Peak [$]                   9.31942e+08
Return [%]                             257.19
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                     886.572
Volatility (Ann.) [%]                 10674.3
Sharpe Ratio                        0.0830567
Sortino Ratio                         6.92368
Calmar Ratio                          14.0097
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -30.6776
Max. Drawdown Duration      546 days 00:00:00
Avg. Drawdown Duration      159 days 00:00:00
# Trades                                   12
Win Rate [%]                          41.6667
Best Trade [%]                        178.305
Worst Trade [%]                      -22.6952
Avg. Trade [%]                        11.1924
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          51 days 00:00:00
Profit Factor                         4.62054
Expectancy [%]                        22.0078
SQN                                   1.14398
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
9;1;11;"Start                     2017-12-17 20:59...
End                       2021-10-31 20:59...
Duration                   1414 days 00:00:00
Exposure Time [%]                     49.7537
Equity Final [$]                  3.70198e+08
Equity Peak [$]                    8.9599e+08
Return [%]                            270.198
Buy & Hold Return [%]                -37.3475
Return (Ann.) [%]                      952.11
Volatility (Ann.) [%]                 11382.1
Sharpe Ratio                          0.08365
Sortino Ratio                         7.43536
Calmar Ratio                          15.0454
Max. Drawdown [%]                    -63.2826
Avg. Drawdown [%]                    -30.9386
Max. Drawdown Duration      546 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   13
Win Rate [%]                          38.4615
Best Trade [%]                        178.305
Worst Trade [%]                      -22.6952
Avg. Trade [%]                        10.5925
Max. Trade Duration         210 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                         4.50109
Expectancy [%]                        20.6495
SQN                                   1.22079
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
