;sma1;sma2;output
0;1;2;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   74.782609
Equity Final [$]            3185388357.178799
Equity Peak [$]             5646521627.940799
Return [%]                        3085.388357
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]              5900643.149344
Volatility (Ann.) [%]     5696904625066.54...
Sharpe Ratio                         0.000001
Sortino Ratio                     52435.74467
Calmar Ratio                    135321.589688
Max. Drawdown [%]                  -43.604595
Avg. Drawdown [%]                  -22.538324
Max. Drawdown Duration      294 days 00:00:00
Avg. Drawdown Duration       99 days 00:00:00
# Trades                                   25
Win Rate [%]                             52.0
Best Trade [%]                    1014.360562
Worst Trade [%]                    -23.083265
Avg. Trade [%]                      14.848809
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                       14.043868
Expectancy [%]                      46.624477
SQN                                  0.747433
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   68.695652
Equity Final [$]               436306002.2652
Equity Peak [$]               1010418432.5417
Return [%]                         336.306002
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                10631.034608
Volatility (Ann.) [%]       2010113706.750148
Sharpe Ratio                         0.000005
Sortino Ratio                       90.673855
Calmar Ratio                       156.017226
Max. Drawdown [%]                  -68.140133
Avg. Drawdown [%]                  -47.812697
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      236 days 00:00:00
# Trades                                   20
Win Rate [%]                             40.0
Best Trade [%]                     453.216196
Worst Trade [%]                    -29.758851
Avg. Trade [%]                       7.506219
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        4.359173
Expectancy [%]                      23.305517
SQN                                  0.623779
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   67.826087
Equity Final [$]               396297316.5171
Equity Peak [$]                638145069.6441
Return [%]                         296.297317
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                  7808.00745
Volatility (Ann.) [%]       2271192510.092375
Sharpe Ratio                         0.000003
Sortino Ratio                        62.01952
Calmar Ratio                       127.427051
Max. Drawdown [%]                  -61.274332
Avg. Drawdown [%]                  -58.091661
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      357 days 00:00:00
# Trades                                   17
Win Rate [%]                        35.294118
Best Trade [%]                     453.216196
Worst Trade [%]                    -35.069266
Avg. Trade [%]                       8.437055
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        4.538188
Expectancy [%]                      26.846582
SQN                                  0.891741
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   66.956522
Equity Final [$]               519895310.6977
Equity Peak [$]                882738976.8697
Return [%]                         419.895311
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                18617.800487
Volatility (Ann.) [%]       8457470594.868578
Sharpe Ratio                         0.000002
Sortino Ratio                      139.214407
Calmar Ratio                       288.732375
Max. Drawdown [%]                  -64.481167
Avg. Drawdown [%]                  -53.499875
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      238 days 00:00:00
# Trades                                   15
Win Rate [%]                        33.333333
Best Trade [%]                    1072.159275
Worst Trade [%]                    -35.069266
Avg. Trade [%]                      11.616327
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        8.359297
Expectancy [%]                      68.607439
SQN                                  0.902767
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   66.086957
Equity Final [$]               583176612.7018
Equity Peak [$]                965155097.1318
Return [%]                         483.176613
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                26851.498877
Volatility (Ann.) [%]       11821084453.56736
Sharpe Ratio                         0.000002
Sortino Ratio                      201.370945
Calmar Ratio                       428.340929
Max. Drawdown [%]                  -62.687213
Avg. Drawdown [%]                  -52.266101
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      238 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     946.908385
Worst Trade [%]                    -35.069266
Avg. Trade [%]                      17.113602
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         8.61064
Expectancy [%]                      83.903624
SQN                                   1.04651
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   62.608696
Equity Final [$]                699647630.003
Equity Peak [$]               1091436121.6468
Return [%]                          599.64763
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                47936.753018
Volatility (Ann.) [%]      18462961233.029903
Sharpe Ratio                         0.000003
Sortino Ratio                      368.324323
Calmar Ratio                       895.101247
Max. Drawdown [%]                   -53.55456
Avg. Drawdown [%]                  -46.307023
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      224 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     946.908385
Worst Trade [%]                    -33.670449
Avg. Trade [%]                      19.068357
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          39 days 00:00:00
Profit Factor                       11.870016
Expectancy [%]                      84.160449
SQN                                  1.159152
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;8;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   62.608696
Equity Final [$]               593729537.7632
Equity Peak [$]                893315720.1932
Return [%]                         493.729538
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                28430.088819
Volatility (Ann.) [%]      13423702399.027977
Sharpe Ratio                         0.000002
Sortino Ratio                      208.885313
Calmar Ratio                       462.895907
Max. Drawdown [%]                  -61.417888
Avg. Drawdown [%]                  -45.818565
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      170 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                     999.546779
Worst Trade [%]                    -33.670449
Avg. Trade [%]                       19.19195
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                       11.785008
Expectancy [%]                      95.597837
SQN                                  1.127329
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;2;3;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   73.043478
Equity Final [$]               155505070.4917
Equity Peak [$]                479420712.1011
Return [%]                           55.50507
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                  306.050961
Volatility (Ann.) [%]         95063467.225039
Sharpe Ratio                         0.000003
Sortino Ratio                        2.339233
Calmar Ratio                         4.289694
Max. Drawdown [%]                  -71.345642
Avg. Drawdown [%]                  -69.570682
Max. Drawdown Duration      525 days 00:00:00
Avg. Drawdown Duration      368 days 00:00:00
# Trades                                   21
Win Rate [%]                        33.333333
Best Trade [%]                     453.216196
Worst Trade [%]                    -35.069266
Avg. Trade [%]                       2.000241
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        2.907039
Expectancy [%]                      17.087169
SQN                                   0.21721
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;4;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   68.695652
Equity Final [$]               160419042.7096
Equity Peak [$]                640388251.5359
Return [%]                          60.419043
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                  348.192354
Volatility (Ann.) [%]        212734133.921447
Sharpe Ratio                         0.000002
Sortino Ratio                        2.319672
Calmar Ratio                         4.349736
Max. Drawdown [%]                  -80.049072
Avg. Drawdown [%]                   -56.87039
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      241 days 00:00:00
# Trades                                   17
Win Rate [%]                        29.411765
Best Trade [%]                     453.216196
Worst Trade [%]                    -46.838703
Avg. Trade [%]                       2.819119
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        3.016262
Expectancy [%]                      22.153411
SQN                                  0.178651
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;5;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   68.695652
Equity Final [$]               123603054.5277
Equity Peak [$]                427192492.1462
Return [%]                          23.603055
Buy & Hold Return [%]              831.856422
Return (Ann.) [%]                   95.926278
Volatility (Ann.) [%]         109361520.73179
Sharpe Ratio                         0.000001
Sortino Ratio                        0.619452
Calmar Ratio                         1.246507
Max. Drawdown [%]                  -76.956092
Avg. Drawdown [%]                  -73.000613
Max. Drawdown Duration      539 days 00:00:00
Avg. Drawdown Duration      375 days 00:00:00
# Trades                                   14
Win Rate [%]                        28.571429
Best Trade [%]                     394.102368
Worst Trade [%]                    -46.838703
Avg. Trade [%]                       1.525121
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                        2.738275
Expectancy [%]                      21.307152
SQN                                  0.117036
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
