;sma1;sma2;output
0;1;2;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   73.333333
Equity Final [$]               464303300.7556
Equity Peak [$]                1214884068.602
Return [%]                         364.303301
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 6250.887478
Volatility (Ann.) [%]           844256.096735
Sharpe Ratio                         0.007404
Sortino Ratio                       45.263468
Calmar Ratio                        88.500555
Max. Drawdown [%]                  -70.631054
Avg. Drawdown [%]                   -27.01824
Max. Drawdown Duration      322 days 00:00:00
Avg. Drawdown Duration      108 days 00:00:00
# Trades                                   34
Win Rate [%]                        35.294118
Best Trade [%]                     202.348723
Worst Trade [%]                    -44.909509
Avg. Trade [%]                       4.453219
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        2.553015
Expectancy [%]                       9.193639
SQN                                   0.58866
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   61.481481
Equity Final [$]               892798214.3335
Equity Peak [$]               2520727753.5553
Return [%]                         792.798214
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 37101.05476
Volatility (Ann.) [%]          4360112.855739
Sharpe Ratio                         0.008509
Sortino Ratio                      281.745245
Calmar Ratio                       533.755714
Max. Drawdown [%]                  -69.509429
Avg. Drawdown [%]                  -16.810575
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       66 days 00:00:00
# Trades                                   19
Win Rate [%]                        47.368421
Best Trade [%]                     343.729269
Worst Trade [%]                    -43.046508
Avg. Trade [%]                      12.212089
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        4.626008
Expectancy [%]                      24.812245
SQN                                  0.597905
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   58.518519
Equity Final [$]               516224173.5936
Equity Peak [$]               1229518303.4872
Return [%]                         416.224174
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 8358.700612
Volatility (Ann.) [%]           962206.606594
Sharpe Ratio                         0.008687
Sortino Ratio                       60.409982
Calmar Ratio                       122.893011
Max. Drawdown [%]                  -68.016078
Avg. Drawdown [%]                  -25.848291
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       95 days 00:00:00
# Trades                                   16
Win Rate [%]                             50.0
Best Trade [%]                     343.729269
Worst Trade [%]                    -44.909509
Avg. Trade [%]                       10.42977
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        4.964096
Expectancy [%]                      24.191095
SQN                                  0.636517
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   57.037037
Equity Final [$]                625904925.348
Equity Peak [$]               1065771815.4739
Return [%]                         525.904925
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                  14140.4144
Volatility (Ann.) [%]          2295320.238166
Sharpe Ratio                         0.006161
Sortino Ratio                        97.18017
Calmar Ratio                       285.979698
Max. Drawdown [%]                  -49.445518
Avg. Drawdown [%]                  -26.561637
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration      108 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                      508.64212
Worst Trade [%]                    -20.756675
Avg. Trade [%]                      16.513352
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                        8.696092
Expectancy [%]                      44.391375
SQN                                  1.232884
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   55.555556
Equity Final [$]               597393632.4038
Equity Peak [$]               1017223654.5424
Return [%]                         497.393632
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 12453.89899
Volatility (Ann.) [%]          1942265.541501
Sharpe Ratio                         0.006412
Sortino Ratio                       86.768586
Calmar Ratio                       251.871139
Max. Drawdown [%]                  -49.445518
Avg. Drawdown [%]                  -25.248029
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       88 days 00:00:00
# Trades                                   13
Win Rate [%]                        38.461538
Best Trade [%]                     494.805347
Worst Trade [%]                    -20.756675
Avg. Trade [%]                      14.739341
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        8.239515
Expectancy [%]                      39.746427
SQN                                  1.222185
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                    50.37037
Equity Final [$]               627481968.7649
Equity Peak [$]                999898011.9449
Return [%]                         527.481969
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                14237.632852
Volatility (Ann.) [%]          2155745.871534
Sharpe Ratio                         0.006605
Sortino Ratio                        99.94258
Calmar Ratio                       287.945871
Max. Drawdown [%]                  -49.445518
Avg. Drawdown [%]                  -21.978926
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       80 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     486.972326
Worst Trade [%]                    -20.756675
Avg. Trade [%]                      17.591656
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                         8.48807
Expectancy [%]                      46.259214
SQN                                  1.248557
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;8;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   51.111111
Equity Final [$]               445438538.8947
Equity Peak [$]                709810213.9844
Return [%]                         345.438539
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 5577.144496
Volatility (Ann.) [%]           863458.897611
Sharpe Ratio                         0.006459
Sortino Ratio                       38.812771
Calmar Ratio                       112.793731
Max. Drawdown [%]                  -49.445518
Avg. Drawdown [%]                  -26.647772
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      113 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     432.059099
Worst Trade [%]                    -20.756675
Avg. Trade [%]                      13.985081
Max. Trade Duration         126 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                        5.930256
Expectancy [%]                      39.165001
SQN                                  1.150734
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;3;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   63.703704
Equity Final [$]              1523537880.7325
Equity Peak [$]               1523537880.7325
Return [%]                        1423.537881
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]               157691.909392
Volatility (Ann.) [%]         22027963.719005
Sharpe Ratio                         0.007159
Sortino Ratio                     1252.096626
Calmar Ratio                      3788.059051
Max. Drawdown [%]                  -41.628683
Avg. Drawdown [%]                  -15.081364
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   22
Win Rate [%]                             50.0
Best Trade [%]                     206.804124
Worst Trade [%]                    -22.593422
Avg. Trade [%]                      13.179053
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        4.991573
Expectancy [%]                      20.321714
SQN                                  1.716028
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;4;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   58.518519
Equity Final [$]               473944744.2268
Equity Peak [$]                778428933.4065
Return [%]                         373.944744
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 6613.786345
Volatility (Ann.) [%]          1133214.293604
Sharpe Ratio                         0.005836
Sortino Ratio                       44.917022
Calmar Ratio                       127.888674
Max. Drawdown [%]                  -51.715184
Avg. Drawdown [%]                  -26.352517
Max. Drawdown Duration      385 days 00:00:00
Avg. Drawdown Duration      123 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                     365.307037
Worst Trade [%]                    -39.249208
Avg. Trade [%]                       9.841575
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        4.091969
Expectancy [%]                         26.084
SQN                                  0.664686
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;5;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   56.296296
Equity Final [$]                336766081.349
Equity Peak [$]                557609521.7391
Return [%]                         236.766081
Buy & Hold Return [%]              300.640569
Return (Ann.) [%]                 2565.260084
Volatility (Ann.) [%]           319605.858528
Sharpe Ratio                         0.008026
Sortino Ratio                       17.607953
Calmar Ratio                        51.880538
Max. Drawdown [%]                  -49.445518
Avg. Drawdown [%]                  -25.678939
Max. Drawdown Duration      385 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     203.538012
Worst Trade [%]                    -20.756675
Avg. Trade [%]                       9.790236
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        4.118532
Expectancy [%]                      18.273421
SQN                                  1.171397
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
