;sma1;sma2;output
0;1;2;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   97.076023
Equity Final [$]            1685778039.201699
Equity Peak [$]               2523697669.0073
Return [%]                        1585.778039
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                41453.635291
Volatility (Ann.) [%]          2474871.457424
Sharpe Ratio                          0.01675
Sortino Ratio                      251.810957
Calmar Ratio                       566.097876
Max. Drawdown [%]                  -73.226975
Avg. Drawdown [%]                  -23.595291
Max. Drawdown Duration      462 days 00:00:00
Avg. Drawdown Duration       85 days 00:00:00
# Trades                                   72
Win Rate [%]                        40.277778
Best Trade [%]                     130.954505
Worst Trade [%]                    -33.502592
Avg. Trade [%]                       3.988318
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        2.282822
Expectancy [%]                       7.058785
SQN                                  1.312231
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   96.491228
Equity Final [$]               498639250.3845
Equity Peak [$]               1150273229.1017
Return [%]                          398.63925
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                 2986.222558
Volatility (Ann.) [%]           207270.165022
Sharpe Ratio                         0.014407
Sortino Ratio                       17.711672
Calmar Ratio                        38.691496
Max. Drawdown [%]                  -77.180334
Avg. Drawdown [%]                  -21.812216
Max. Drawdown Duration      315 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   51
Win Rate [%]                        47.058824
Best Trade [%]                     130.954505
Worst Trade [%]                    -44.686099
Avg. Trade [%]                       3.218966
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        1.969203
Expectancy [%]                       7.148561
SQN                                  0.487963
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   96.491228
Equity Final [$]               584184592.1825
Equity Peak [$]                977581637.1604
Return [%]                         484.184592
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                 4227.164706
Volatility (Ann.) [%]           218060.839541
Sharpe Ratio                         0.019385
Sortino Ratio                       25.636728
Calmar Ratio                        54.769972
Max. Drawdown [%]                  -77.180334
Avg. Drawdown [%]                  -25.433107
Max. Drawdown Duration      315 days 00:00:00
Avg. Drawdown Duration       87 days 00:00:00
# Trades                                   39
Win Rate [%]                        51.282051
Best Trade [%]                     130.954505
Worst Trade [%]                    -44.686099
Avg. Trade [%]                       4.629736
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        2.176158
Expectancy [%]                        9.79088
SQN                                  0.680448
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;5;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   96.491228
Equity Final [$]               202608361.1484
Equity Peak [$]                336982494.0427
Return [%]                         102.608361
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                  351.399464
Volatility (Ann.) [%]            28991.585952
Sharpe Ratio                         0.012121
Sortino Ratio                        2.038439
Calmar Ratio                          4.56123
Max. Drawdown [%]                  -77.040509
Avg. Drawdown [%]                  -43.693474
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      143 days 00:00:00
# Trades                                   37
Win Rate [%]                        40.540541
Best Trade [%]                     107.002676
Worst Trade [%]                    -44.686099
Avg. Trade [%]                       1.926717
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          32 days 00:00:00
Profit Factor                        1.743164
Expectancy [%]                       6.932633
SQN                                  0.466512
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]               479594335.0283
Equity Peak [$]                977480530.6803
Return [%]                         379.594335
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                  2740.06081
Volatility (Ann.) [%]           136040.848167
Sharpe Ratio                         0.020141
Sortino Ratio                       17.488897
Calmar Ratio                        35.566494
Max. Drawdown [%]                  -77.040509
Avg. Drawdown [%]                  -43.387348
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   29
Win Rate [%]                        37.931034
Best Trade [%]                      228.54512
Worst Trade [%]                    -44.686099
Avg. Trade [%]                       5.554904
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                        2.629823
Expectancy [%]                      13.632317
SQN                                  0.675366
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]                663700862.931
Equity Peak [$]               1129174410.6369
Return [%]                         563.700863
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                 5582.016015
Volatility (Ann.) [%]           258546.017089
Sharpe Ratio                          0.02159
Sortino Ratio                       36.429346
Calmar Ratio                        84.544916
Max. Drawdown [%]                  -66.024266
Avg. Drawdown [%]                  -43.141933
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      187 days 00:00:00
# Trades                                   27
Win Rate [%]                        37.037037
Best Trade [%]                      228.54512
Worst Trade [%]                    -33.502592
Avg. Trade [%]                        7.26139
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                         2.92146
Expectancy [%]                      15.800007
SQN                                  0.882064
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]                486317120.008
Equity Peak [$]               1084481605.5011
Return [%]                          386.31712
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                  2825.71357
Volatility (Ann.) [%]           126895.194416
Sharpe Ratio                         0.022268
Sortino Ratio                       18.434135
Calmar Ratio                        42.798107
Max. Drawdown [%]                  -66.024266
Avg. Drawdown [%]                  -42.146688
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      156 days 00:00:00
# Trades                                   27
Win Rate [%]                        37.037037
Best Trade [%]                      228.54512
Worst Trade [%]                    -33.502592
Avg. Trade [%]                       6.033102
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                        2.727191
Expectancy [%]                      14.361303
SQN                                  0.682317
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;9;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    82.45614
Equity Final [$]                415523280.285
Equity Peak [$]                926612153.8974
Return [%]                          315.52328
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                 1991.190543
Volatility (Ann.) [%]            92983.504342
Sharpe Ratio                         0.021414
Sortino Ratio                       13.075558
Calmar Ratio                        30.158465
Max. Drawdown [%]                  -66.024266
Avg. Drawdown [%]                  -42.500211
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      184 days 00:00:00
# Trades                                   23
Win Rate [%]                        39.130435
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                       6.388687
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                        2.682813
Expectancy [%]                      15.190283
SQN                                  0.646404
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;1;10;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    82.45614
Equity Final [$]               634529296.3217
Equity Peak [$]               1414993060.5581
Return [%]                         534.529296
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                 5062.207456
Volatility (Ann.) [%]           221710.915455
Sharpe Ratio                         0.022832
Sortino Ratio                       33.704809
Calmar Ratio                        76.671923
Max. Drawdown [%]                  -66.024266
Avg. Drawdown [%]                  -29.761132
Max. Drawdown Duration      448 days 00:00:00
Avg. Drawdown Duration      111 days 00:00:00
# Trades                                   21
Win Rate [%]                        42.857143
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                       9.197321
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                        3.257805
Expectancy [%]                      18.882067
SQN                                  0.733407
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;1;11;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    82.45614
Equity Final [$]                182105548.376
Equity Peak [$]                531519242.0729
Return [%]                          82.105548
Buy & Hold Return [%]              -77.923314
Return (Ann.) [%]                  259.468289
Volatility (Ann.) [%]            17477.775016
Sharpe Ratio                         0.014846
Sortino Ratio                        1.630715
Calmar Ratio                         3.672284
Max. Drawdown [%]                  -70.655833
Avg. Drawdown [%]                  -35.151369
Max. Drawdown Duration      532 days 00:00:00
Avg. Drawdown Duration      132 days 00:00:00
# Trades                                   22
Win Rate [%]                        31.818182
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                       2.720004
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                         2.10629
Expectancy [%]                      12.169735
SQN                                  0.283561
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
