;sma1;sma2;output
0;1;2;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   73.099415
Equity Final [$]               584612497.7279
Equity Peak [$]                995840504.5806
Return [%]                         484.612498
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 4233.932988
Volatility (Ann.) [%]            86347.706362
Sharpe Ratio                         0.049034
Sortino Ratio                       30.585714
Calmar Ratio                          59.6855
Max. Drawdown [%]                   -70.93738
Avg. Drawdown [%]                  -32.323134
Max. Drawdown Duration      637 days 00:00:00
Avg. Drawdown Duration      181 days 00:00:00
# Trades                                   36
Win Rate [%]                        36.111111
Best Trade [%]                     130.954505
Worst Trade [%]                    -33.502592
Avg. Trade [%]                       4.954048
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        2.408976
Expectancy [%]                        9.39174
SQN                                  1.190023
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   60.818713
Equity Final [$]               324777275.9349
Equity Peak [$]                641773182.6276
Return [%]                         224.777276
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 1135.893458
Volatility (Ann.) [%]            20794.512131
Sharpe Ratio                         0.054625
Sortino Ratio                        8.610592
Calmar Ratio                        16.764597
Max. Drawdown [%]                  -67.755488
Avg. Drawdown [%]                  -41.332141
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      184 days 00:00:00
# Trades                                   26
Win Rate [%]                        42.307692
Best Trade [%]                     130.954505
Worst Trade [%]                    -33.502592
Avg. Trade [%]                       4.634853
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        2.303097
Expectancy [%]                         9.3318
SQN                                  0.863202
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    54.97076
Equity Final [$]                393529912.176
Equity Peak [$]                603422697.7036
Return [%]                         293.529912
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 1762.008864
Volatility (Ann.) [%]            27712.512029
Sharpe Ratio                         0.063582
Sortino Ratio                       13.633606
Calmar Ratio                         30.12374
Max. Drawdown [%]                  -58.492368
Avg. Drawdown [%]                  -38.978031
Max. Drawdown Duration      350 days 00:00:00
Avg. Drawdown Duration      182 days 00:00:00
# Trades                                   20
Win Rate [%]                             55.0
Best Trade [%]                     130.954505
Worst Trade [%]                    -33.502592
Avg. Trade [%]                       7.089992
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        2.762583
Expectancy [%]                      12.932263
SQN                                  1.181946
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    54.97076
Equity Final [$]               204710574.0433
Equity Peak [$]                 313894834.617
Return [%]                         104.710574
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                  361.455503
Volatility (Ann.) [%]             9233.729813
Sharpe Ratio                         0.039145
Sortino Ratio                        2.543128
Calmar Ratio                         5.686734
Max. Drawdown [%]                  -63.561179
Avg. Drawdown [%]                   -48.22244
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      229 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                     107.002676
Worst Trade [%]                    -33.502592
Avg. Trade [%]                        3.84266
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        2.064231
Expectancy [%]                       9.772134
SQN                                    0.7568
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   50.877193
Equity Final [$]               469967482.0313
Equity Peak [$]                 798674923.004
Return [%]                         369.967482
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 2619.760763
Volatility (Ann.) [%]            50128.302431
Sharpe Ratio                         0.052261
Sortino Ratio                       19.840537
Calmar Ratio                        41.216365
Max. Drawdown [%]                  -63.561179
Avg. Drawdown [%]                  -39.477781
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                      228.54512
Worst Trade [%]                    -33.502592
Avg. Trade [%]                      10.867568
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        3.836386
Expectancy [%]                      22.922765
SQN                                   0.89068
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   51.461988
Equity Final [$]               508521432.4112
Equity Peak [$]                839796977.2917
Return [%]                         408.521432
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                   3118.2456
Volatility (Ann.) [%]            61454.342909
Sharpe Ratio                         0.050741
Sortino Ratio                       23.505828
Calmar Ratio                        49.379827
Max. Drawdown [%]                  -63.148168
Avg. Drawdown [%]                  -39.219803
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   14
Win Rate [%]                        35.714286
Best Trade [%]                      228.54512
Worst Trade [%]                    -33.502592
Avg. Trade [%]                      12.318336
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                        4.073098
Expectancy [%]                      25.753521
SQN                                  0.991818
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   48.538012
Equity Final [$]                413158244.035
Equity Peak [$]                838166209.9669
Return [%]                         313.158244
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 1965.866753
Volatility (Ann.) [%]            37699.551667
Sharpe Ratio                         0.052146
Sortino Ratio                       14.853876
Calmar Ratio                        30.671045
Max. Drawdown [%]                  -64.095199
Avg. Drawdown [%]                  -39.182843
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      189 days 00:00:00
# Trades                                   14
Win Rate [%]                        35.714286
Best Trade [%]                      228.54512
Worst Trade [%]                    -33.502592
Avg. Trade [%]                      10.664497
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                        3.862724
Expectancy [%]                        23.8903
SQN                                  0.799156
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;9;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   47.368421
Equity Final [$]               361475315.1895
Equity Peak [$]                733318043.3205
Return [%]                         261.475315
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 1453.175387
Volatility (Ann.) [%]            29087.915158
Sharpe Ratio                         0.049958
Sortino Ratio                       10.949534
Calmar Ratio                        21.451772
Max. Drawdown [%]                  -67.741507
Avg. Drawdown [%]                  -39.681173
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      185 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                      11.302919
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        3.745939
Expectancy [%]                      25.148354
SQN                                  0.760265
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;1;10;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   47.953216
Equity Final [$]               437449715.6631
Equity Peak [$]                887445853.2032
Return [%]                         337.449716
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                 2233.796509
Volatility (Ann.) [%]            44482.987123
Sharpe Ratio                         0.050217
Sortino Ratio                       16.831438
Calmar Ratio                         33.57316
Max. Drawdown [%]                  -66.535188
Avg. Drawdown [%]                  -37.467653
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      185 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                      14.357906
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                        4.319682
Expectancy [%]                      29.820415
SQN                                  0.822561
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;1;11;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   46.783626
Equity Final [$]               261967281.1709
Equity Peak [$]                578410884.0046
Return [%]                         161.967281
Buy & Hold Return [%]              -77.565396
Return (Ann.) [%]                  681.177196
Volatility (Ann.) [%]            14166.236314
Sharpe Ratio                         0.048085
Sortino Ratio                        5.096649
Calmar Ratio                         9.334275
Max. Drawdown [%]                  -72.975905
Avg. Drawdown [%]                  -41.441001
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      233 days 00:00:00
# Trades                                   11
Win Rate [%]                        27.272727
Best Trade [%]                      228.54512
Worst Trade [%]                      -31.4258
Avg. Trade [%]                       8.900986
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                        3.352797
Expectancy [%]                      23.687947
SQN                                  0.578457
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
