;sma1;sma2;output
0;1;2;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                    69.62963
Equity Final [$]              2647091873.0969
Equity Peak [$]               3484022482.3619
Return [%]                        2547.091873
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]               702561.008296
Volatility (Ann.) [%]         83122296.656849
Sharpe Ratio                         0.008452
Sortino Ratio                     7037.978089
Calmar Ratio                     11108.149297
Max. Drawdown [%]                   -63.24735
Avg. Drawdown [%]                  -18.209004
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration       93 days 00:00:00
# Trades                                   28
Win Rate [%]                        57.142857
Best Trade [%]                     220.713242
Worst Trade [%]                    -27.142715
Avg. Trade [%]                      12.412131
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        4.934347
Expectancy [%]                      19.330886
SQN                                  1.200215
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   65.925926
Equity Final [$]               922818458.7345
Equity Peak [$]               1179272747.1545
Return [%]                         822.818459
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                40580.702281
Volatility (Ann.) [%]          9063744.232615
Sharpe Ratio                         0.004477
Sortino Ratio                      293.738555
Calmar Ratio                       585.616382
Max. Drawdown [%]                  -69.295709
Avg. Drawdown [%]                  -27.310878
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   21
Win Rate [%]                        52.380952
Best Trade [%]                     128.892137
Worst Trade [%]                    -26.634986
Avg. Trade [%]                      11.162401
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        3.496397
Expectancy [%]                      17.742093
SQN                                  1.128193
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   63.703704
Equity Final [$]               232542515.2872
Equity Peak [$]                  573721104.41
Return [%]                         132.542515
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                  879.295601
Volatility (Ann.) [%]           382582.039605
Sharpe Ratio                         0.002298
Sortino Ratio                        5.081754
Calmar Ratio                        11.247761
Max. Drawdown [%]                  -78.175169
Avg. Drawdown [%]                  -28.952552
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   16
Win Rate [%]                             37.5
Best Trade [%]                     189.213691
Worst Trade [%]                    -63.126377
Avg. Trade [%]                       5.317937
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        2.722262
Expectancy [%]                      20.161185
SQN                                  0.345578
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                        60.0
Equity Final [$]               569778027.1046
Equity Peak [$]                719558848.0129
Return [%]                         469.778027
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                10945.981008
Volatility (Ann.) [%]          8781777.554323
Sharpe Ratio                         0.001246
Sortino Ratio                       65.295272
Calmar Ratio                       143.517972
Max. Drawdown [%]                  -76.269061
Avg. Drawdown [%]                  -33.238981
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      127 days 00:00:00
# Trades                                   12
Win Rate [%]                             50.0
Best Trade [%]                     233.403102
Worst Trade [%]                    -63.126377
Avg. Trade [%]                      15.604696
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        4.434484
Expectancy [%]                      38.293769
SQN                                  0.821676
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   62.222222
Equity Final [$]               659089660.4154
Equity Peak [$]                760463313.8454
Return [%]                          559.08966
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                16275.074105
Volatility (Ann.) [%]         16489857.407016
Sharpe Ratio                         0.000987
Sortino Ratio                       96.875638
Calmar Ratio                       234.966782
Max. Drawdown [%]                  -69.265425
Avg. Drawdown [%]                  -27.515966
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                     233.403102
Worst Trade [%]                    -45.317903
Avg. Trade [%]                      14.418444
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                        4.286557
Expectancy [%]                      32.214218
SQN                                  1.003906
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   53.333333
Equity Final [$]               833080214.9523
Equity Peak [$]                961215111.0723
Return [%]                         733.080215
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                 30750.65338
Volatility (Ann.) [%]         24961156.239954
Sharpe Ratio                         0.001232
Sortino Ratio                      193.618244
Calmar Ratio                       418.769193
Max. Drawdown [%]                  -73.431031
Avg. Drawdown [%]                  -24.523414
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                     233.403102
Worst Trade [%]                    -45.317903
Avg. Trade [%]                      23.614291
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                        5.944908
Expectancy [%]                      43.002826
SQN                                  1.102656
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;2;3;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   68.888889
Equity Final [$]               286640272.4419
Equity Peak [$]                933431575.3764
Return [%]                         186.640272
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                 1623.869171
Volatility (Ann.) [%]           671322.715077
Sharpe Ratio                         0.002419
Sortino Ratio                          9.5387
Calmar Ratio                        19.669758
Max. Drawdown [%]                  -82.556641
Avg. Drawdown [%]                  -33.415376
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   20
Win Rate [%]                             35.0
Best Trade [%]                     168.732655
Worst Trade [%]                    -63.126377
Avg. Trade [%]                       5.406371
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        2.779894
Expectancy [%]                      16.809524
SQN                                  0.319409
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;4;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   63.703704
Equity Final [$]               383242597.3956
Equity Peak [$]                720080735.2869
Return [%]                         283.242597
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                 3680.421341
Volatility (Ann.) [%]          2980548.004011
Sharpe Ratio                         0.001235
Sortino Ratio                       21.703566
Calmar Ratio                        43.669935
Max. Drawdown [%]                   -84.27815
Avg. Drawdown [%]                  -30.973126
Max. Drawdown Duration      434 days 00:00:00
Avg. Drawdown Duration      177 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                     233.403102
Worst Trade [%]                    -63.126377
Avg. Trade [%]                       9.261526
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        3.639407
Expectancy [%]                      28.279703
SQN                                  0.588076
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;5;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   59.259259
Equity Final [$]               548689715.5875
Equity Peak [$]                768361039.0709
Return [%]                         448.689716
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                 9875.178172
Volatility (Ann.) [%]          8100944.911563
Sharpe Ratio                         0.001219
Sortino Ratio                       58.898027
Calmar Ratio                       129.478166
Max. Drawdown [%]                  -76.269061
Avg. Drawdown [%]                  -33.733443
Max. Drawdown Duration      357 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   12
Win Rate [%]                        58.333333
Best Trade [%]                     200.671141
Worst Trade [%]                    -63.126377
Avg. Trade [%]                      15.241942
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        4.071381
Expectancy [%]                      36.503571
SQN                                  0.770368
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;6;"Start                     2019-04-07 20:59...
End                       2021-10-31 20:59...
Duration                    938 days 00:00:00
Exposure Time [%]                   59.259259
Equity Final [$]               583344629.9391
Equity Peak [$]                673068046.7991
Return [%]                          483.34463
Buy & Hold Return [%]              521.333106
Return (Ann.) [%]                11671.581439
Volatility (Ann.) [%]         10207877.144201
Sharpe Ratio                         0.001143
Sortino Ratio                       69.472526
Calmar Ratio                       166.118366
Max. Drawdown [%]                  -70.260632
Avg. Drawdown [%]                  -27.424882
Max. Drawdown Duration      406 days 00:00:00
Avg. Drawdown Duration      149 days 00:00:00
# Trades                                   12
Win Rate [%]                        58.333333
Best Trade [%]                     233.403102
Worst Trade [%]                    -63.126377
Avg. Trade [%]                      15.831612
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        4.148977
Expectancy [%]                      38.764901
SQN                                  0.819447
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
