;sma1;sma2;output
0;1;2;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   70.422535
Equity Final [$]               256897722.4691
Equity Peak [$]                604482884.3885
Return [%]                         156.897722
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 1030.464662
Volatility (Ann.) [%]           147783.237501
Sharpe Ratio                         0.006973
Sortino Ratio                        8.669119
Calmar Ratio                        15.998883
Max. Drawdown [%]                  -64.408538
Avg. Drawdown [%]                  -38.033084
Max. Drawdown Duration      469 days 00:00:00
Avg. Drawdown Duration      191 days 00:00:00
# Trades                                   34
Win Rate [%]                        35.294118
Best Trade [%]                     108.202654
Worst Trade [%]                    -41.543692
Avg. Trade [%]                       2.813886
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        2.026701
Expectancy [%]                       6.096144
SQN                                  0.371826
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   66.197183
Equity Final [$]               397696651.1195
Equity Peak [$]                899462602.3093
Return [%]                         297.696651
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 3376.176362
Volatility (Ann.) [%]           703122.862489
Sharpe Ratio                         0.004802
Sortino Ratio                       27.546455
Calmar Ratio                        51.542582
Max. Drawdown [%]                  -65.502663
Avg. Drawdown [%]                  -30.427287
Max. Drawdown Duration      469 days 00:00:00
Avg. Drawdown Duration      134 days 00:00:00
# Trades                                   25
Win Rate [%]                             40.0
Best Trade [%]                     204.221954
Worst Trade [%]                    -24.588895
Avg. Trade [%]                        5.67739
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        2.806896
Expectancy [%]                      12.100977
SQN                                  0.700207
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   62.676056
Equity Final [$]               303746229.2472
Equity Peak [$]                686198027.1533
Return [%]                         203.746229
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 1638.829016
Volatility (Ann.) [%]           474306.840395
Sharpe Ratio                         0.003455
Sortino Ratio                       12.261321
Calmar Ratio                        25.030494
Max. Drawdown [%]                  -65.473299
Avg. Drawdown [%]                  -31.018054
Max. Drawdown Duration      336 days 00:00:00
Avg. Drawdown Duration      134 days 00:00:00
# Trades                                   20
Win Rate [%]                             35.0
Best Trade [%]                     204.221954
Worst Trade [%]                     -27.61658
Avg. Trade [%]                       5.712306
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        2.617227
Expectancy [%]                      13.740652
SQN                                  0.602777
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   53.521127
Equity Final [$]               580364647.2761
Equity Peak [$]                935367532.5646
Return [%]                         480.364647
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                  9084.04771
Volatility (Ann.) [%]          1978586.883303
Sharpe Ratio                         0.004591
Sortino Ratio                       74.152121
Calmar Ratio                       163.750445
Max. Drawdown [%]                   -55.47495
Avg. Drawdown [%]                  -27.634287
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      107 days 00:00:00
# Trades                                   14
Win Rate [%]                        42.857143
Best Trade [%]                     204.221954
Worst Trade [%]                     -27.61658
Avg. Trade [%]                      13.383555
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        4.112341
Expectancy [%]                      23.678177
SQN                                  1.055442
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   54.225352
Equity Final [$]               471175291.6326
Equity Peak [$]                703096639.8888
Return [%]                         371.175292
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 5274.814609
Volatility (Ann.) [%]          1219588.718789
Sharpe Ratio                         0.004325
Sortino Ratio                       42.349331
Calmar Ratio                        91.878403
Max. Drawdown [%]                  -57.410822
Avg. Drawdown [%]                  -27.808532
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      123 days 00:00:00
# Trades                                   15
Win Rate [%]                             40.0
Best Trade [%]                     204.221954
Worst Trade [%]                     -27.61658
Avg. Trade [%]                       10.88654
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          29 days 00:00:00
Profit Factor                        3.587639
Expectancy [%]                      20.370877
SQN                                   1.02297
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   53.521127
Equity Final [$]                423835484.536
Equity Peak [$]                700029511.2995
Return [%]                         323.835485
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                  3994.13454
Volatility (Ann.) [%]           935980.079898
Sharpe Ratio                         0.004267
Sortino Ratio                       32.028147
Calmar Ratio                        78.243221
Max. Drawdown [%]                  -51.047675
Avg. Drawdown [%]                  -29.674256
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      131 days 00:00:00
# Trades                                   14
Win Rate [%]                        35.714286
Best Trade [%]                     204.221954
Worst Trade [%]                    -29.014228
Avg. Trade [%]                      10.866365
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        3.466373
Expectancy [%]                      21.757872
SQN                                  0.961526
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;8;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   53.521127
Equity Final [$]               405478192.0079
Equity Peak [$]                725696654.0094
Return [%]                         305.478192
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 3553.704046
Volatility (Ann.) [%]            803561.97043
Sharpe Ratio                         0.004422
Sortino Ratio                       27.714246
Calmar Ratio                        57.363221
Max. Drawdown [%]                  -61.950915
Avg. Drawdown [%]                  -29.055386
Max. Drawdown Duration      364 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   13
Win Rate [%]                        38.461538
Best Trade [%]                     204.221954
Worst Trade [%]                    -29.586694
Avg. Trade [%]                      11.369618
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        3.708965
Expectancy [%]                      22.259409
SQN                                   0.88866
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;9;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   51.408451
Equity Final [$]               464120339.4858
Equity Peak [$]                 830650289.217
Return [%]                         364.120339
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                 5070.378299
Volatility (Ann.) [%]          1104529.172689
Sharpe Ratio                         0.004591
Sortino Ratio                       39.837348
Calmar Ratio                        81.845091
Max. Drawdown [%]                  -61.950915
Avg. Drawdown [%]                  -28.214537
Max. Drawdown Duration      238 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                     204.221954
Worst Trade [%]                     -27.61658
Avg. Trade [%]                       13.64558
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                        4.016082
Expectancy [%]                      25.725901
SQN                                  0.928176
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;1;10;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   47.887324
Equity Final [$]                572548579.109
Equity Peak [$]               1118244481.7165
Return [%]                         472.548579
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                  8769.47511
Volatility (Ann.) [%]          1664172.811453
Sharpe Ratio                          0.00527
Sortino Ratio                       73.579077
Calmar Ratio                       141.555215
Max. Drawdown [%]                  -61.950915
Avg. Drawdown [%]                  -25.400737
Max. Drawdown Duration      238 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     204.221954
Worst Trade [%]                     -22.27318
Avg. Trade [%]                      17.190398
Max. Trade Duration          91 days 00:00:00
Avg. Trade Duration          37 days 00:00:00
Profit Factor                        5.552536
Expectancy [%]                      28.483177
SQN                                  0.937781
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;2;3;"Start                     2019-02-17 20:59...
End                       2021-10-31 20:59...
Duration                    987 days 00:00:00
Exposure Time [%]                   62.676056
Equity Final [$]               247826354.1396
Equity Peak [$]                552420688.7436
Return [%]                         147.826354
Buy & Hold Return [%]               55.562709
Return (Ann.) [%]                   930.68412
Volatility (Ann.) [%]           254390.981441
Sharpe Ratio                         0.003658
Sortino Ratio                         7.08288
Calmar Ratio                        14.164298
Max. Drawdown [%]                  -65.706334
Avg. Drawdown [%]                  -27.632612
Max. Drawdown Duration      469 days 00:00:00
Avg. Drawdown Duration      119 days 00:00:00
# Trades                                   23
Win Rate [%]                        26.086957
Best Trade [%]                     218.094089
Worst Trade [%]                     -27.61658
Avg. Trade [%]                       4.048317
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        2.391938
Expectancy [%]                      11.242548
SQN                                  0.481023
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
