;sma1;sma2;output
0;2;1;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   83.707865
Equity Final [$]                 127665317.03
Equity Peak [$]                363481780.3384
Return [%]                          27.665317
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   65.009555
Volatility (Ann.) [%]            17152.303309
Sharpe Ratio                          0.00379
Sortino Ratio                        0.335903
Calmar Ratio                         0.837199
Max. Drawdown [%]                  -77.651245
Avg. Drawdown [%]                  -44.130391
Max. Drawdown Duration      651 days 00:00:00
Avg. Drawdown Duration      168 days 00:00:00
# Trades                                   20
Win Rate [%]                             70.0
Best Trade [%]                      77.596782
Worst Trade [%]                    -70.310817
Avg. Trade [%]                       1.228697
Max. Trade Duration         203 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                         1.77603
Expectancy [%]                       9.939588
SQN                                  0.077084
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;2;76;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;2;77;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;2;78;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;2;79;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;2;80;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;2;81;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;82;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   30.337079
Equity Final [$]               106890698.8035
Equity Peak [$]                386274904.2155
Return [%]                           6.890699
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   14.641824
Volatility (Ann.) [%]             1293.996825
Sharpe Ratio                         0.011315
Sortino Ratio                        0.102305
Calmar Ratio                         0.190105
Max. Drawdown [%]                  -77.019802
Avg. Drawdown [%]                    -40.3696
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   15
Win Rate [%]                        66.666667
Best Trade [%]                      77.596782
Worst Trade [%]                     -76.60886
Avg. Trade [%]                       0.445232
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        1.993251
Expectancy [%]                       9.013922
SQN                                   0.01857
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;3;1;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   83.707865
Equity Final [$]                 127665317.03
Equity Peak [$]                363481780.3384
Return [%]                          27.665317
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   65.009555
Volatility (Ann.) [%]            17152.303309
Sharpe Ratio                          0.00379
Sortino Ratio                        0.335903
Calmar Ratio                         0.837199
Max. Drawdown [%]                  -77.651245
Avg. Drawdown [%]                  -44.130391
Max. Drawdown Duration      651 days 00:00:00
Avg. Drawdown Duration      168 days 00:00:00
# Trades                                   35
Win Rate [%]                        77.142857
Best Trade [%]                      67.796366
Worst Trade [%]                    -70.310817
Avg. Trade [%]                       0.700275
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                        1.637411
Expectancy [%]                       4.938341
SQN                                  0.086789
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;3;15;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   53.932584
Equity Final [$]               107708595.6925
Equity Peak [$]                267309567.5725
Return [%]                           7.708596
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                    16.44782
Volatility (Ann.) [%]             3159.881146
Sharpe Ratio                         0.005205
Sortino Ratio                        0.099582
Calmar Ratio                         0.232389
Max. Drawdown [%]                  -70.777089
Avg. Drawdown [%]                  -39.705762
Max. Drawdown Duration      665 days 00:00:00
Avg. Drawdown Duration      171 days 00:00:00
# Trades                                   35
Win Rate [%]                        71.428571
Best Trade [%]                      67.796366
Worst Trade [%]                    -65.940065
Avg. Trade [%]                       0.212394
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        1.516361
Expectancy [%]                       4.035662
SQN                                  0.032547
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
10;3;16;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   53.932584
Equity Final [$]               107708595.6925
Equity Peak [$]                267309567.5725
Return [%]                           7.708596
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                    16.44782
Volatility (Ann.) [%]             3159.881146
Sharpe Ratio                         0.005205
Sortino Ratio                        0.099582
Calmar Ratio                         0.232389
Max. Drawdown [%]                  -70.777089
Avg. Drawdown [%]                  -39.705762
Max. Drawdown Duration      665 days 00:00:00
Avg. Drawdown Duration      171 days 00:00:00
# Trades                                   35
Win Rate [%]                        71.428571
Best Trade [%]                      67.796366
Worst Trade [%]                    -65.940065
Avg. Trade [%]                       0.212394
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        1.516361
Expectancy [%]                       4.035662
SQN                                  0.032547
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
11;3;17;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   52.808989
Equity Final [$]               118294360.5393
Equity Peak [$]                293581160.3109
Return [%]                          18.294361
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   41.129328
Volatility (Ann.) [%]             3790.019147
Sharpe Ratio                         0.010852
Sortino Ratio                        0.249486
Calmar Ratio                         0.605689
Max. Drawdown [%]                  -67.905016
Avg. Drawdown [%]                  -39.227084
Max. Drawdown Duration      658 days 00:00:00
Avg. Drawdown Duration      170 days 00:00:00
# Trades                                   35
Win Rate [%]                        74.285714
Best Trade [%]                      67.796366
Worst Trade [%]                    -65.940065
Avg. Trade [%]                       0.481171
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        1.563192
Expectancy [%]                       4.298453
SQN                                  0.071897
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
12;3;19;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   52.808989
Equity Final [$]               118294360.5393
Equity Peak [$]                293581160.3109
Return [%]                          18.294361
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   41.129328
Volatility (Ann.) [%]             3790.019147
Sharpe Ratio                         0.010852
Sortino Ratio                        0.249486
Calmar Ratio                         0.605689
Max. Drawdown [%]                  -67.905016
Avg. Drawdown [%]                  -39.227084
Max. Drawdown Duration      658 days 00:00:00
Avg. Drawdown Duration      170 days 00:00:00
# Trades                                   35
Win Rate [%]                        74.285714
Best Trade [%]                      67.796366
Worst Trade [%]                    -65.940065
Avg. Trade [%]                       0.481171
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        1.563192
Expectancy [%]                       4.298453
SQN                                  0.071897
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
13;3;23;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                        50.0
Equity Final [$]               108255541.9985
Equity Peak [$]                323645683.0681
Return [%]                           8.255542
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   17.663602
Volatility (Ann.) [%]             2699.415314
Sharpe Ratio                         0.006543
Sortino Ratio                        0.111299
Calmar Ratio                         0.265414
Max. Drawdown [%]                  -66.551217
Avg. Drawdown [%]                  -37.485827
Max. Drawdown Duration      609 days 00:00:00
Avg. Drawdown Duration      145 days 00:00:00
# Trades                                   35
Win Rate [%]                        71.428571
Best Trade [%]                      67.796366
Worst Trade [%]                    -65.940065
Avg. Trade [%]                       0.226898
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        1.521821
Expectancy [%]                       3.952339
SQN                                  0.030013
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
14;3;24;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   51.685393
Equity Final [$]               112185883.8487
Equity Peak [$]                323645683.0681
Return [%]                          12.185884
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   26.590581
Volatility (Ann.) [%]             3031.420944
Sharpe Ratio                         0.008772
Sortino Ratio                        0.166223
Calmar Ratio                         0.403261
Max. Drawdown [%]                  -65.938962
Avg. Drawdown [%]                  -37.398362
Max. Drawdown Duration      609 days 00:00:00
Avg. Drawdown Duration      145 days 00:00:00
# Trades                                   35
Win Rate [%]                        71.428571
Best Trade [%]                      67.796366
Worst Trade [%]                     -64.70348
Avg. Trade [%]                       0.329075
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        1.528953
Expectancy [%]                        3.98767
SQN                                  0.044647
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
15;3;25;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                   51.123596
Equity Final [$]               128562366.6105
Equity Peak [$]                340593665.7591
Return [%]                          28.562367
Buy & Hold Return [%]              -85.854227
Return (Ann.) [%]                   67.395859
Volatility (Ann.) [%]             3878.496332
Sharpe Ratio                         0.017377
Sortino Ratio                        0.425655
Calmar Ratio                         0.975359
Max. Drawdown [%]                  -69.098537
Avg. Drawdown [%]                  -37.511933
Max. Drawdown Duration      609 days 00:00:00
Avg. Drawdown Duration      145 days 00:00:00
# Trades                                   35
Win Rate [%]                        71.428571
Best Trade [%]                      67.796366
Worst Trade [%]                      -69.0928
Avg. Trade [%]                       0.720422
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        1.618469
Expectancy [%]                       4.404633
SQN                                  0.098816
_strategy                                HiLo
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
