;sma1;sma2;output
0;1;2;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     70.2247
Equity Final [$]                   1.5112e+08
Equity Peak [$]                   2.27476e+08
Return [%]                            51.1198
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                      133.19
Volatility (Ann.) [%]                 3180.78
Sharpe Ratio                        0.0418733
Sortino Ratio                        0.967656
Calmar Ratio                          2.32718
Max. Drawdown [%]                    -57.2324
Avg. Drawdown [%]                    -37.7638
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      171 days 00:00:00
# Trades                                   41
Win Rate [%]                          39.0244
Best Trade [%]                        60.5554
Worst Trade [%]                      -27.7853
Avg. Trade [%]                        1.01217
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                         1.47381
Expectancy [%]                        2.82421
SQN                                  0.416339
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     62.9213
Equity Final [$]                  2.34514e+08
Equity Peak [$]                   4.43028e+08
Return [%]                            134.514
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     474.186
Volatility (Ann.) [%]                 7776.85
Sharpe Ratio                         0.060974
Sortino Ratio                         3.50104
Calmar Ratio                          9.11647
Max. Drawdown [%]                    -52.0142
Avg. Drawdown [%]                    -28.0816
Max. Drawdown Duration      329 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   29
Win Rate [%]                          44.8276
Best Trade [%]                        130.972
Worst Trade [%]                      -23.6133
Avg. Trade [%]                        2.88978
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                         1.88651
Expectancy [%]                        6.14016
SQN                                  0.708224
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;5;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     53.9326
Equity Final [$]                  1.24528e+08
Equity Peak [$]                   1.68886e+08
Return [%]                             24.528
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     56.8018
Volatility (Ann.) [%]                 1980.66
Sharpe Ratio                        0.0286782
Sortino Ratio                        0.412207
Calmar Ratio                          1.04218
Max. Drawdown [%]                    -54.5028
Avg. Drawdown [%]                    -48.2334
Max. Drawdown Duration      742 days 00:00:00
Avg. Drawdown Duration      378 days 00:00:00
# Trades                                   20
Win Rate [%]                               45
Best Trade [%]                        107.815
Worst Trade [%]                      -26.5939
Avg. Trade [%]                        1.10284
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                         1.57198
Expectancy [%]                        4.01215
SQN                                  0.279028
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;6;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     51.6854
Equity Final [$]                  1.69855e+08
Equity Peak [$]                   2.24126e+08
Return [%]                            69.8546
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     196.338
Volatility (Ann.) [%]                 4309.88
Sharpe Ratio                        0.0455554
Sortino Ratio                         1.37598
Calmar Ratio                          2.97744
Max. Drawdown [%]                    -65.9419
Avg. Drawdown [%]                    -38.7877
Max. Drawdown Duration      735 days 00:00:00
Avg. Drawdown Duration      282 days 00:00:00
# Trades                                   15
Win Rate [%]                               60
Best Trade [%]                        107.815
Worst Trade [%]                      -42.6707
Avg. Trade [%]                        3.59493
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          36 days 00:00:00
Profit Factor                         2.01775
Expectancy [%]                        8.97419
SQN                                  0.598184
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;7;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     50.5618
Equity Final [$]                  1.77988e+08
Equity Peak [$]                    2.3671e+08
Return [%]                            77.9884
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                      226.17
Volatility (Ann.) [%]                 4639.93
Sharpe Ratio                        0.0487442
Sortino Ratio                         1.59545
Calmar Ratio                          3.42983
Max. Drawdown [%]                    -65.9419
Avg. Drawdown [%]                    -37.8075
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      224 days 00:00:00
# Trades                                   14
Win Rate [%]                          57.1429
Best Trade [%]                        88.6399
Worst Trade [%]                      -42.6707
Avg. Trade [%]                        4.20417
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                          2.0936
Expectancy [%]                         9.2126
SQN                                  0.689255
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;8;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     49.4382
Equity Final [$]                  1.28122e+08
Equity Peak [$]                   3.70993e+08
Return [%]                             28.122
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     66.2223
Volatility (Ann.) [%]                  2880.9
Sharpe Ratio                        0.0229867
Sortino Ratio                        0.432002
Calmar Ratio                         0.913933
Max. Drawdown [%]                    -72.4585
Avg. Drawdown [%]                    -38.4111
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      194 days 00:00:00
# Trades                                   10
Win Rate [%]                               50
Best Trade [%]                        104.881
Worst Trade [%]                       -51.262
Avg. Trade [%]                          2.241
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                         1.93048
Expectancy [%]                        11.6018
SQN                                  0.128387
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;9;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     48.3146
Equity Final [$]                  1.30708e+08
Equity Peak [$]                   3.88524e+08
Return [%]                            30.7082
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     73.1753
Volatility (Ann.) [%]                  2953.7
Sharpe Ratio                        0.0247742
Sortino Ratio                         0.47952
Calmar Ratio                          1.00989
Max. Drawdown [%]                    -72.4585
Avg. Drawdown [%]                    -47.5902
Max. Drawdown Duration      721 days 00:00:00
Avg. Drawdown Duration      313 days 00:00:00
# Trades                                   10
Win Rate [%]                               50
Best Trade [%]                        104.881
Worst Trade [%]                       -51.262
Avg. Trade [%]                        2.71415
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          54 days 00:00:00
Profit Factor                         1.99733
Expectancy [%]                        12.0191
SQN                                  0.149273
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;2;3;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     62.3596
Equity Final [$]                  1.09039e+08
Equity Peak [$]                   7.02657e+08
Return [%]                            9.03936
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     19.4172
Volatility (Ann.) [%]                 2395.15
Sharpe Ratio                       0.00810689
Sortino Ratio                        0.130187
Calmar Ratio                         0.228417
Max. Drawdown [%]                    -85.0076
Avg. Drawdown [%]                    -24.6457
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration       90 days 00:00:00
# Trades                                   29
Win Rate [%]                          44.8276
Best Trade [%]                        47.7434
Worst Trade [%]                      -65.9401
Avg. Trade [%]                       0.208327
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                         1.46144
Expectancy [%]                        3.58192
SQN                                 0.0200854
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;6;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     52.2472
Equity Final [$]                   1.1475e+08
Equity Peak [$]                   3.44587e+08
Return [%]                            14.7505
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                      32.596
Volatility (Ann.) [%]                 2577.02
Sharpe Ratio                        0.0126487
Sortino Ratio                        0.204694
Calmar Ratio                         0.446818
Max. Drawdown [%]                    -72.9513
Avg. Drawdown [%]                     -43.598
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      223 days 00:00:00
# Trades                                   14
Win Rate [%]                          57.1429
Best Trade [%]                        88.6399
Worst Trade [%]                      -65.9401
Avg. Trade [%]                       0.987629
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                         1.90781
Expectancy [%]                        10.6905
SQN                                 0.0578388
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;7;"Start                     2018-06-10 20:59...
End                       2021-10-31 20:59...
Duration                   1239 days 00:00:00
Exposure Time [%]                     48.8764
Equity Final [$]                  1.33845e+08
Equity Peak [$]                   4.05096e+08
Return [%]                            33.8452
Buy & Hold Return [%]                 -85.844
Return (Ann.) [%]                     81.8055
Volatility (Ann.) [%]                 3201.47
Sharpe Ratio                        0.0255524
Sortino Ratio                        0.533043
Calmar Ratio                          1.12137
Max. Drawdown [%]                    -72.9513
Avg. Drawdown [%]                    -46.3814
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      235 days 00:00:00
# Trades                                   10
Win Rate [%]                               40
Best Trade [%]                        187.928
Worst Trade [%]                      -65.9401
Avg. Trade [%]                        2.95804
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          54 days 00:00:00
Profit Factor                         2.44765
Expectancy [%]                        20.1044
SQN                                 0.0997417
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
