;sma1;sma2;output
0;2;1;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   98.051948
Equity Final [$]               108424209.2206
Equity Peak [$]                108435058.1508
Return [%]                           8.424209
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   21.130583
Volatility (Ann.) [%]               12.665795
Sharpe Ratio                         1.668319
Sortino Ratio                        3.655666
Calmar Ratio                         3.937293
Max. Drawdown [%]                   -5.366779
Avg. Drawdown [%]                   -0.647466
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       56 days 00:00:00
# Trades                                   88
Win Rate [%]                        68.181818
Best Trade [%]                       2.784153
Worst Trade [%]                      -2.17095
Avg. Trade [%]                       0.091953
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          12 days 00:00:00
Profit Factor                         2.05573
Expectancy [%]                       0.093555
SQN                                  1.600602
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;3;1;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   97.402597
Equity Final [$]               108878450.8151
Equity Peak [$]                108889345.1968
Return [%]                           8.878451
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   22.336818
Volatility (Ann.) [%]               12.350901
Sharpe Ratio                         1.808517
Sortino Ratio                          4.1745
Calmar Ratio                         4.525793
Max. Drawdown [%]                   -4.935449
Avg. Drawdown [%]                    -0.50462
Max. Drawdown Duration      154 days 00:00:00
Avg. Drawdown Duration       35 days 00:00:00
# Trades                                   74
Win Rate [%]                        77.027027
Best Trade [%]                       2.784153
Worst Trade [%]                     -2.571429
Avg. Trade [%]                       0.115015
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.487249
Expectancy [%]                       0.116803
SQN                                  1.718379
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;3;2;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   97.402597
Equity Final [$]               109166022.0416
Equity Peak [$]                109406697.3792
Return [%]                           9.166022
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   23.104034
Volatility (Ann.) [%]               12.386793
Sharpe Ratio                         1.865215
Sortino Ratio                        4.761355
Calmar Ratio                          6.68991
Max. Drawdown [%]                   -3.453564
Avg. Drawdown [%]                   -1.105965
Max. Drawdown Duration      547 days 00:00:00
Avg. Drawdown Duration      106 days 00:00:00
# Trades                                   73
Win Rate [%]                        60.273973
Best Trade [%]                       2.784153
Worst Trade [%]                     -1.210726
Avg. Trade [%]                       0.120209
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        2.777066
Expectancy [%]                       0.121659
SQN                                  1.931171
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;4;1;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   95.454545
Equity Final [$]               109822109.3261
Equity Peak [$]                109855075.7387
Return [%]                           9.822109
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   24.864811
Volatility (Ann.) [%]               12.323507
Sharpe Ratio                         2.017673
Sortino Ratio                        4.898483
Calmar Ratio                         8.673712
Max. Drawdown [%]                   -2.866686
Avg. Drawdown [%]                   -0.387753
Max. Drawdown Duration      147 days 00:00:00
Avg. Drawdown Duration       37 days 00:00:00
# Trades                                   57
Win Rate [%]                        77.192982
Best Trade [%]                       2.784153
Worst Trade [%]                     -1.536946
Avg. Trade [%]                       0.164507
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         4.60409
Expectancy [%]                       0.166017
SQN                                  2.329607
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;4;2;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   95.454545
Equity Final [$]               108381400.9574
Equity Peak [$]                108446601.2998
Return [%]                           8.381401
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   21.017262
Volatility (Ann.) [%]               11.939074
Sharpe Ratio                         1.760376
Sortino Ratio                        4.397022
Calmar Ratio                        10.173163
Max. Drawdown [%]                   -2.065952
Avg. Drawdown [%]                   -0.500757
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       59 days 00:00:00
# Trades                                   46
Win Rate [%]                        63.043478
Best Trade [%]                       2.784153
Worst Trade [%]                      -0.53817
Avg. Trade [%]                       0.175123
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         5.28538
Expectancy [%]                       0.176853
SQN                                  2.017354
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;4;3;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   96.753247
Equity Final [$]               115210180.4301
Equity Peak [$]                115221708.3649
Return [%]                           15.21018
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   39.875392
Volatility (Ann.) [%]               13.682277
Sharpe Ratio                         2.914383
Sortino Ratio                       10.243964
Calmar Ratio                        15.320715
Max. Drawdown [%]                   -2.602711
Avg. Drawdown [%]                   -0.347943
Max. Drawdown Duration      140 days 00:00:00
Avg. Drawdown Duration       40 days 00:00:00
# Trades                                   62
Win Rate [%]                        62.903226
Best Trade [%]                       3.475728
Worst Trade [%]                     -0.774424
Avg. Trade [%]                       0.228629
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                         8.25651
Expectancy [%]                       0.231178
SQN                                   2.54946
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;5;1;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   95.454545
Equity Final [$]               111770995.4693
Equity Peak [$]                111804546.8987
Return [%]                          11.770995
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   30.180606
Volatility (Ann.) [%]               12.783306
Sharpe Ratio                         2.360939
Sortino Ratio                        6.426207
Calmar Ratio                        14.608574
Max. Drawdown [%]                   -2.065952
Avg. Drawdown [%]                   -0.357371
Max. Drawdown Duration      133 days 00:00:00
Avg. Drawdown Duration       36 days 00:00:00
# Trades                                   55
Win Rate [%]                        76.363636
Best Trade [%]                       2.784153
Worst Trade [%]                     -0.498306
Avg. Trade [%]                       0.202536
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        9.141309
Expectancy [%]                       0.203978
SQN                                  2.839066
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;5;2;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   94.805195
Equity Final [$]                 110157276.03
Equity Peak [$]                110212385.5286
Return [%]                          10.157276
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   25.769899
Volatility (Ann.) [%]                11.79229
Sharpe Ratio                         2.185318
Sortino Ratio                        6.618373
Calmar Ratio                        12.473622
Max. Drawdown [%]                   -2.065952
Avg. Drawdown [%]                   -0.857282
Max. Drawdown Duration      686 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   45
Win Rate [%]                             60.0
Best Trade [%]                       3.475728
Worst Trade [%]                     -0.501958
Avg. Trade [%]                       0.215207
Max. Trade Duration          57 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        4.971441
Expectancy [%]                       0.218176
SQN                                  1.863014
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;5;3;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   94.805195
Equity Final [$]               110604523.4064
Equity Peak [$]                110682012.9934
Return [%]                          10.604523
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                    26.98354
Volatility (Ann.) [%]               11.931578
Sharpe Ratio                         2.261523
Sortino Ratio                        6.932677
Calmar Ratio                        10.367475
Max. Drawdown [%]                   -2.602711
Avg. Drawdown [%]                   -0.795857
Max. Drawdown Duration      532 days 00:00:00
Avg. Drawdown Duration      104 days 00:00:00
# Trades                                   43
Win Rate [%]                        62.790698
Best Trade [%]                       3.475728
Worst Trade [%]                     -0.501958
Avg. Trade [%]                       0.234672
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                         6.57403
Expectancy [%]                       0.237455
SQN                                  2.043939
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;5;4;"Start                     2018-10-07 20:59...
End                       2021-09-06 00:59...
Duration                   1064 days 04:00:00
Exposure Time [%]                   96.103896
Equity Final [$]               113949702.5516
Equity Peak [$]                114404440.7788
Return [%]                          13.949703
Buy & Hold Return [%]                -0.76442
Return (Ann.) [%]                   36.275455
Volatility (Ann.) [%]               13.336399
Sharpe Ratio                         2.720034
Sortino Ratio                        9.739388
Calmar Ratio                        13.937566
Max. Drawdown [%]                   -2.602711
Avg. Drawdown [%]                   -1.908639
Max. Drawdown Duration      792 days 00:00:00
Avg. Drawdown Duration      323 days 00:00:00
# Trades                                   58
Win Rate [%]                         58.62069
Best Trade [%]                       4.242718
Worst Trade [%]                     -0.501958
Avg. Trade [%]                       0.225404
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        6.155711
Expectancy [%]                       0.228601
SQN                                  2.123103
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
