;sma1;sma2;output
0;1;2;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   98.404255
Equity Final [$]                248000219.389
Equity Peak [$]                 399102998.328
Return [%]                         148.000219
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                  483.209363
Volatility (Ann.) [%]           137551.662883
Sharpe Ratio                         0.003513
Sortino Ratio                        2.557342
Calmar Ratio                         5.977725
Max. Drawdown [%]                  -80.834989
Avg. Drawdown [%]                  -38.673992
Max. Drawdown Duration      756 days 00:00:00
Avg. Drawdown Duration      210 days 00:00:00
# Trades                                   94
Win Rate [%]                        32.978723
Best Trade [%]                     118.187671
Worst Trade [%]                    -34.438627
Avg. Trade [%]                       0.938179
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        1.536908
Expectancy [%]                       3.821631
SQN                                  0.370682
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;3;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                    97.87234
Equity Final [$]                296094879.544
Equity Peak [$]                 677822735.406
Return [%]                          196.09488
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                  722.769287
Volatility (Ann.) [%]           125060.455974
Sharpe Ratio                         0.005779
Sortino Ratio                        3.744579
Calmar Ratio                         8.446178
Max. Drawdown [%]                  -85.573531
Avg. Drawdown [%]                  -24.993536
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      102 days 00:00:00
# Trades                                   58
Win Rate [%]                        44.827586
Best Trade [%]                     108.321262
Worst Trade [%]                    -48.484848
Avg. Trade [%]                       1.835657
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        1.690324
Expectancy [%]                       5.840102
SQN                                  0.335925
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;7;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   95.744681
Equity Final [$]                431398221.867
Equity Peak [$]                1018453825.473
Return [%]                         331.398222
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                 1608.478681
Volatility (Ann.) [%]           218739.663286
Sharpe Ratio                         0.007353
Sortino Ratio                         8.30668
Calmar Ratio                        19.539228
Max. Drawdown [%]                  -82.320482
Avg. Drawdown [%]                  -28.106389
Max. Drawdown Duration      469 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   25
Win Rate [%]                             48.0
Best Trade [%]                     140.313517
Worst Trade [%]                    -48.484848
Avg. Trade [%]                       5.892597
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          51 days 00:00:00
Profit Factor                        2.482909
Expectancy [%]                      11.490103
SQN                                  0.858088
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;8;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   83.510638
Equity Final [$]                152013882.045
Equity Peak [$]                  337904662.26
Return [%]                          52.013882
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                  125.488499
Volatility (Ann.) [%]            29587.354423
Sharpe Ratio                         0.004241
Sortino Ratio                        0.640462
Calmar Ratio                          1.52439
Max. Drawdown [%]                  -82.320482
Avg. Drawdown [%]                  -44.191576
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      155 days 00:00:00
# Trades                                   26
Win Rate [%]                        42.307692
Best Trade [%]                     140.313517
Worst Trade [%]                    -48.484848
Avg. Trade [%]                       1.623819
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                        1.778357
Expectancy [%]                       6.287484
SQN                                  0.406351
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;9;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   83.510638
Equity Final [$]                101125499.818
Equity Peak [$]                 957793581.239
Return [%]                             1.1255
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                    2.196721
Volatility (Ann.) [%]            15073.936586
Sharpe Ratio                         0.000146
Sortino Ratio                        0.010915
Calmar Ratio                         0.024437
Max. Drawdown [%]                  -89.893382
Avg. Drawdown [%]                  -46.696465
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      150 days 00:00:00
# Trades                                   22
Win Rate [%]                        40.909091
Best Trade [%]                     229.614604
Worst Trade [%]                    -47.126921
Avg. Trade [%]                       0.050886
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          50 days 00:00:00
Profit Factor                        1.763545
Expectancy [%]                       7.711406
SQN                                  0.004516
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;41;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   67.553191
Equity Final [$]                130249895.149
Equity Peak [$]                 518107867.924
Return [%]                          30.249895
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                   67.047149
Volatility (Ann.) [%]             14550.59821
Sharpe Ratio                         0.004608
Sortino Ratio                         0.39076
Calmar Ratio                         0.786878
Max. Drawdown [%]                  -85.206512
Avg. Drawdown [%]                  -42.865634
Max. Drawdown Duration      644 days 00:00:00
Avg. Drawdown Duration      173 days 00:00:00
# Trades                                   13
Win Rate [%]                        30.769231
Best Trade [%]                     140.946422
Worst Trade [%]                    -27.277252
Avg. Trade [%]                       2.053765
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          68 days 00:00:00
Profit Factor                        1.904735
Expectancy [%]                       8.588864
SQN                                  0.300966
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;42;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   67.553191
Equity Final [$]                129964471.867
Equity Peak [$]                 516972519.985
Return [%]                          29.964472
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                   66.337182
Volatility (Ann.) [%]            13736.525923
Sharpe Ratio                         0.004829
Sortino Ratio                        0.388648
Calmar Ratio                         0.778546
Max. Drawdown [%]                  -85.206512
Avg. Drawdown [%]                  -42.877617
Max. Drawdown Duration      644 days 00:00:00
Avg. Drawdown Duration      173 days 00:00:00
# Trades                                   11
Win Rate [%]                        27.272727
Best Trade [%]                     140.946422
Worst Trade [%]                    -27.277252
Avg. Trade [%]                       2.411257
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          81 days 00:00:00
Profit Factor                        2.032186
Expectancy [%]                       9.862925
SQN                                  0.299844
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;50;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   65.425532
Equity Final [$]                125248214.082
Equity Peak [$]                   504097370.4
Return [%]                          25.248214
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                   54.818341
Volatility (Ann.) [%]            10906.230239
Sharpe Ratio                         0.005026
Sortino Ratio                        0.328319
Calmar Ratio                         0.642085
Max. Drawdown [%]                  -85.375479
Avg. Drawdown [%]                   -61.44663
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      207 days 00:00:00
# Trades                                   15
Win Rate [%]                        26.666667
Best Trade [%]                     121.626907
Worst Trade [%]                    -29.433563
Avg. Trade [%]                       1.512168
Max. Trade Duration         238 days 00:00:00
Avg. Trade Duration          57 days 00:00:00
Profit Factor                        1.838443
Expectancy [%]                       6.450329
SQN                                  0.276936
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;51;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   65.425532
Equity Final [$]                 148133534.82
Equity Peak [$]                   596205908.4
Return [%]                          48.133535
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                  114.447869
Volatility (Ann.) [%]            14691.150261
Sharpe Ratio                          0.00779
Sortino Ratio                        0.688864
Calmar Ratio                         1.340524
Max. Drawdown [%]                  -85.375479
Avg. Drawdown [%]                  -59.790299
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      205 days 00:00:00
# Trades                                   13
Win Rate [%]                        30.769231
Best Trade [%]                     121.626907
Worst Trade [%]                    -29.433563
Avg. Trade [%]                       3.068792
Max. Trade Duration         238 days 00:00:00
Avg. Trade Duration          66 days 00:00:00
Profit Factor                        2.096327
Expectancy [%]                       8.716648
SQN                                  0.449975
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;52;"Start                     2018-03-25 20:59...
End                       2021-10-24 20:59...
Duration                   1309 days 00:00:00
Exposure Time [%]                   65.425532
Equity Final [$]                223952299.188
Equity Peak [$]                   596205908.4
Return [%]                         123.952299
Buy & Hold Return [%]              -28.405168
Return (Ann.) [%]                  378.435313
Volatility (Ann.) [%]            31406.752307
Sharpe Ratio                         0.012049
Sortino Ratio                        2.317266
Calmar Ratio                         4.655585
Max. Drawdown [%]                  -81.286314
Avg. Drawdown [%]                  -58.768008
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      205 days 00:00:00
# Trades                                   13
Win Rate [%]                        30.769231
Best Trade [%]                     121.626907
Worst Trade [%]                     -29.33738
Avg. Trade [%]                       6.398386
Max. Trade Duration         238 days 00:00:00
Avg. Trade Duration          66 days 00:00:00
Profit Factor                        2.960469
Expectancy [%]                      12.601469
SQN                                  0.905762
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
