;sma1;sma2;output
0;1;2;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     74.6032
Equity Final [$]                  4.87687e+08
Equity Peak [$]                    6.3775e+08
Return [%]                            387.687
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                      2032.8
Volatility (Ann.) [%]                 64032.2
Sharpe Ratio                        0.0317465
Sortino Ratio                         15.8278
Calmar Ratio                          29.1237
Max. Drawdown [%]                    -69.7987
Avg. Drawdown [%]                    -41.0659
Max. Drawdown Duration      847 days 00:00:00
Avg. Drawdown Duration      209 days 00:00:00
# Trades                                   48
Win Rate [%]                            31.25
Best Trade [%]                        118.188
Worst Trade [%]                      -24.4379
Avg. Trade [%]                        3.35614
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                         2.08722
Expectancy [%]                        6.75829
SQN                                  0.944591
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
1;1;3;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     61.9048
Equity Final [$]                   4.5046e+08
Equity Peak [$]                   6.46255e+08
Return [%]                             350.46
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     1729.58
Volatility (Ann.) [%]                 40263.1
Sharpe Ratio                        0.0429571
Sortino Ratio                         13.0145
Calmar Ratio                          27.1011
Max. Drawdown [%]                    -63.8196
Avg. Drawdown [%]                     -41.779
Max. Drawdown Duration      833 days 00:00:00
Avg. Drawdown Duration      208 days 00:00:00
# Trades                                   30
Win Rate [%]                          43.3333
Best Trade [%]                        108.321
Worst Trade [%]                      -24.4379
Avg. Trade [%]                        5.14498
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                         2.43823
Expectancy [%]                        9.31761
SQN                                  0.879151
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
2;1;4;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                      57.672
Equity Final [$]                   1.2874e+08
Equity Peak [$]                   2.50763e+08
Return [%]                            28.7396
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     62.8839
Volatility (Ann.) [%]                 5348.12
Sharpe Ratio                        0.0117581
Sortino Ratio                        0.398771
Calmar Ratio                         0.893653
Max. Drawdown [%]                    -70.3673
Avg. Drawdown [%]                     -55.016
Max. Drawdown Duration      707 days 00:00:00
Avg. Drawdown Duration      284 days 00:00:00
# Trades                                   23
Win Rate [%]                          43.4783
Best Trade [%]                        82.7539
Worst Trade [%]                      -46.6759
Avg. Trade [%]                        1.03712
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                         1.58602
Expectancy [%]                        5.31358
SQN                                  0.213456
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
3;1;5;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     54.4974
Equity Final [$]                  1.42107e+08
Equity Peak [$]                   2.81071e+08
Return [%]                            42.1067
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     97.1206
Volatility (Ann.) [%]                 6020.02
Sharpe Ratio                        0.0161329
Sortino Ratio                        0.625815
Calmar Ratio                           1.3802
Max. Drawdown [%]                    -70.3673
Avg. Drawdown [%]                    -49.1218
Max. Drawdown Duration      504 days 00:00:00
Avg. Drawdown Duration      186 days 00:00:00
# Trades                                   19
Win Rate [%]                          42.1053
Best Trade [%]                        82.7539
Worst Trade [%]                      -46.6759
Avg. Trade [%]                        1.86673
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         1.72945
Expectancy [%]                        6.82122
SQN                                  0.305644
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
4;1;6;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     53.9683
Equity Final [$]                  1.95068e+08
Equity Peak [$]                   4.24801e+08
Return [%]                            95.0679
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     263.422
Volatility (Ann.) [%]                 11758.1
Sharpe Ratio                        0.0224035
Sortino Ratio                         1.69785
Calmar Ratio                          3.74354
Max. Drawdown [%]                    -70.3673
Avg. Drawdown [%]                     -48.125
Max. Drawdown Duration      497 days 00:00:00
Avg. Drawdown Duration      185 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                         65.985
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        4.26454
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          38 days 00:00:00
Profit Factor                         1.98157
Expectancy [%]                        7.45085
SQN                                  0.880585
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
5;1;7;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     51.8519
Equity Final [$]                  3.57899e+08
Equity Peak [$]                   8.14084e+08
Return [%]                            257.899
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     1073.36
Volatility (Ann.) [%]                 42697.1
Sharpe Ratio                        0.0251389
Sortino Ratio                         6.93042
Calmar Ratio                          15.2537
Max. Drawdown [%]                    -70.3673
Avg. Drawdown [%]                     -43.769
Max. Drawdown Duration      413 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   13
Win Rate [%]                          46.1538
Best Trade [%]                        140.314
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        10.3054
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         3.45648
Expectancy [%]                        16.9195
SQN                                   1.16345
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
6;1;8;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     50.7937
Equity Final [$]                   2.9131e+08
Equity Peak [$]                    6.3259e+08
Return [%]                             191.31
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     688.443
Volatility (Ann.) [%]                 29140.9
Sharpe Ratio                        0.0236246
Sortino Ratio                         4.42287
Calmar Ratio                          9.78357
Max. Drawdown [%]                    -70.3673
Avg. Drawdown [%]                    -45.0371
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      154 days 00:00:00
# Trades                                   14
Win Rate [%]                          42.8571
Best Trade [%]                        140.314
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        7.93647
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                         3.18777
Expectancy [%]                        13.7389
SQN                                   1.12245
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
7;1;9;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     49.7354
Equity Final [$]                  2.45054e+08
Equity Peak [$]                   9.50765e+08
Return [%]                            145.054
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     464.609
Volatility (Ann.) [%]                 21644.8
Sharpe Ratio                        0.0214651
Sortino Ratio                         2.93334
Calmar Ratio                          6.25942
Max. Drawdown [%]                    -74.2256
Avg. Drawdown [%]                    -44.2395
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   12
Win Rate [%]                          41.6667
Best Trade [%]                        229.615
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        7.75525
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                         3.60296
Expectancy [%]                        18.2767
SQN                                  0.694375
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     49.2063
Equity Final [$]                  1.63363e+08
Equity Peak [$]                   6.63909e+08
Return [%]                            63.3634
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     158.017
Volatility (Ann.) [%]                 9486.56
Sharpe Ratio                        0.0166569
Sortino Ratio                        0.996607
Calmar Ratio                          2.09529
Max. Drawdown [%]                    -75.4154
Avg. Drawdown [%]                    -47.0663
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      215 days 00:00:00
# Trades                                   13
Win Rate [%]                          38.4615
Best Trade [%]                        229.615
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        3.84761
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                         2.64253
Expectancy [%]                        13.8284
SQN                                  0.420143
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;11;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                      47.619
Equity Final [$]                  2.02828e+08
Equity Peak [$]                   8.11768e+08
Return [%]                            102.828
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     291.861
Volatility (Ann.) [%]                 13729.8
Sharpe Ratio                        0.0212575
Sortino Ratio                         1.86942
Calmar Ratio                          3.87004
Max. Drawdown [%]                    -75.4154
Avg. Drawdown [%]                    -43.4474
Max. Drawdown Duration      679 days 00:00:00
Avg. Drawdown Duration      212 days 00:00:00
# Trades                                   12
Win Rate [%]                          33.3333
Best Trade [%]                        229.615
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        5.93509
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         3.00893
Expectancy [%]                        16.8381
SQN                                  0.548644
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
10;1;12;"Start                     2018-03-25 20:59...
End                       2021-10-31 20:59...
Duration                   1316 days 00:00:00
Exposure Time [%]                     46.5608
Equity Final [$]                  2.80394e+08
Equity Peak [$]                   1.09097e+09
Return [%]                            180.394
Buy & Hold Return [%]                -26.3448
Return (Ann.) [%]                     632.383
Volatility (Ann.) [%]                 26583.2
Sharpe Ratio                        0.0237888
Sortino Ratio                         4.05906
Calmar Ratio                          8.38533
Max. Drawdown [%]                    -75.4154
Avg. Drawdown [%]                    -47.9105
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      152 days 00:00:00
# Trades                                   10
Win Rate [%]                               30
Best Trade [%]                        229.615
Worst Trade [%]                      -30.6361
Avg. Trade [%]                        10.8605
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                         4.60482
Expectancy [%]                        23.3066
SQN                                  0.751862
_strategy                            SmaCross
_equity_curve                             ...
_trades                          Size  Ent...
dtype: object"
