;sma1;sma2;output
0;1;2;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                       68.75
Equity Final [$]            2991719010.381353
Equity Peak [$]             6140031282.705343
Return [%]                         2891.71901
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]              1616789.755504
Volatility (Ann.) [%]     2101795121144127...
Sharpe Ratio                              0.0
Sortino Ratio                    11349.384202
Calmar Ratio                     25026.932432
Max. Drawdown [%]                  -64.601995
Avg. Drawdown [%]                  -44.053929
Max. Drawdown Duration      322 days 00:00:00
Avg. Drawdown Duration      160 days 00:00:00
# Trades                                   30
Win Rate [%]                        23.333333
Best Trade [%]                     835.976501
Worst Trade [%]                    -24.398074
Avg. Trade [%]                      11.994671
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        7.117148
Expectancy [%]                      39.360688
SQN                                  0.769861
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;3;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                        62.5
Equity Final [$]            6963010436.438191
Equity Peak [$]            14656101328.211212
Return [%]                        6863.010436
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]             17982436.554978
Volatility (Ann.) [%]     1241412803416717...
Sharpe Ratio                              0.0
Sortino Ratio                   132696.927178
Calmar Ratio                     274643.25811
Max. Drawdown [%]                  -65.475616
Avg. Drawdown [%]                  -32.859628
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   22
Win Rate [%]                        31.818182
Best Trade [%]                    1138.548951
Worst Trade [%]                    -20.357634
Avg. Trade [%]                      21.272827
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                       13.742208
Expectancy [%]                      69.486307
SQN                                  0.828863
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;4;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                    58.59375
Equity Final [$]            4337424499.224478
Equity Peak [$]             9924135801.896036
Return [%]                        4237.424499
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]              4662940.314654
Volatility (Ann.) [%]     9437964337040911...
Sharpe Ratio                              0.0
Sortino Ratio                     32328.71539
Calmar Ratio                     66105.461407
Max. Drawdown [%]                  -70.537898
Avg. Drawdown [%]                  -33.640299
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      128 days 00:00:00
# Trades                                   18
Win Rate [%]                        22.222222
Best Trade [%]                    1138.548951
Worst Trade [%]                    -29.616364
Avg. Trade [%]                      23.298368
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                       13.248918
Expectancy [%]                      85.840617
SQN                                  0.497092
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;5;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                     54.6875
Equity Final [$]            5072265625.291665
Equity Peak [$]            10129568213.532125
Return [%]                        4972.265625
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]              7285914.745587
Volatility (Ann.) [%]     1262972616777144...
Sharpe Ratio                              0.0
Sortino Ratio                    51166.740776
Calmar Ratio                    123179.696477
Max. Drawdown [%]                  -59.148666
Avg. Drawdown [%]                  -33.396634
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      153 days 00:00:00
# Trades                                   16
Win Rate [%]                             25.0
Best Trade [%]                     895.685293
Worst Trade [%]                    -29.616364
Avg. Trade [%]                      27.813028
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                       14.485415
Expectancy [%]                      86.910396
SQN                                  0.584233
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
4;1;6;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                        50.0
Equity Final [$]            6242855704.780252
Equity Peak [$]            13133579445.277199
Return [%]                        6142.855705
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]             13171777.485961
Volatility (Ann.) [%]     1867355489807748...
Sharpe Ratio                              0.0
Sortino Ratio                    94873.781132
Calmar Ratio                    212124.785663
Max. Drawdown [%]                  -62.094476
Avg. Drawdown [%]                   -27.41671
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                     794.125253
Worst Trade [%]                    -29.616364
Avg. Trade [%]                      41.128678
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                       18.975342
Expectancy [%]                     109.852166
SQN                                  0.623618
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
5;1;7;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                        50.0
Equity Final [$]            9023621975.056633
Equity Peak [$]              15137472482.0583
Return [%]                        8923.621975
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]             37660811.613848
Volatility (Ann.) [%]     4055785030166403...
Sharpe Ratio                              0.0
Sortino Ratio                   281305.152981
Calmar Ratio                    577172.518413
Max. Drawdown [%]                  -65.250528
Avg. Drawdown [%]                  -26.596891
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   11
Win Rate [%]                        27.272727
Best Trade [%]                    3262.871339
Worst Trade [%]                    -18.238254
Avg. Trade [%]                      49.853985
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                       59.117304
Expectancy [%]                     323.734474
SQN                                  0.712089
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
6;1;9;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                    44.53125
Equity Final [$]             4051225083.77148
Equity Peak [$]             9184944419.148081
Return [%]                        3951.225084
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]              3838147.862928
Volatility (Ann.) [%]     7090087807673585...
Sharpe Ratio                              0.0
Sortino Ratio                    28043.026281
Calmar Ratio                     54969.426932
Max. Drawdown [%]                   -69.82332
Avg. Drawdown [%]                  -36.826616
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      118 days 00:00:00
# Trades                                   10
Win Rate [%]                             20.0
Best Trade [%]                    2720.594143
Worst Trade [%]                     -18.60186
Avg. Trade [%]                        44.0309
Max. Trade Duration         147 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                         31.0589
Expectancy [%]                      291.21878
SQN                                  0.611103
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;2;1;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                    71.09375
Equity Final [$]             100516284.481533
Equity Peak [$]               114423899.49452
Return [%]                           0.516284
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]                    1.479264
Volatility (Ann.) [%]              593.444012
Sharpe Ratio                         0.002493
Sortino Ratio                        0.012216
Calmar Ratio                         0.021037
Max. Drawdown [%]                  -70.315664
Avg. Drawdown [%]                  -38.948682
Max. Drawdown Duration      791 days 00:00:00
Avg. Drawdown Duration      410 days 00:00:00
# Trades                                   29
Win Rate [%]                        65.517241
Best Trade [%]                      37.218045
Worst Trade [%]                    -47.287772
Avg. Trade [%]                       0.017759
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        1.296827
Expectancy [%]                       1.594549
SQN                                  0.007292
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
8;2;3;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                     64.0625
Equity Final [$]            4633460152.224565
Equity Peak [$]            13099911750.662323
Return [%]                        4533.460152
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]              5628928.657776
Volatility (Ann.) [%]     1009203258371390...
Sharpe Ratio                              0.0
Sortino Ratio                    40602.634863
Calmar Ratio                     81276.523876
Max. Drawdown [%]                  -69.256513
Avg. Drawdown [%]                  -28.567318
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      100 days 00:00:00
# Trades                                   22
Win Rate [%]                        27.272727
Best Trade [%]                    1296.447552
Worst Trade [%]                    -35.075629
Avg. Trade [%]                      18.761636
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                       11.591727
Expectancy [%]                      76.933522
SQN                                  0.322537
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;2;4;"Start                     2019-05-26 20:59...
End                       2021-10-31 20:59...
Duration                    889 days 00:00:00
Exposure Time [%]                    58.59375
Equity Final [$]            6367351732.976073
Equity Peak [$]            15848800478.907961
Return [%]                        6267.351733
Buy & Hold Return [%]             1664.236902
Return (Ann.) [%]             13934720.619787
Volatility (Ann.) [%]     1979993238098282...
Sharpe Ratio                              0.0
Sortino Ratio                    100368.39881
Calmar Ratio                    207730.073981
Max. Drawdown [%]                  -67.080901
Avg. Drawdown [%]                  -23.148037
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       84 days 00:00:00
# Trades                                   17
Win Rate [%]                        29.411765
Best Trade [%]                    1041.471992
Worst Trade [%]                    -35.075629
Avg. Trade [%]                       27.28011
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                       17.026063
Expectancy [%]                      88.693989
SQN                                  0.479964
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
