;sma1;sma2;output
0;1;2;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   78.358209
Equity Final [$]            3729277296.004389
Equity Peak [$]             4834123617.689389
Return [%]                        3629.277296
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]               1909392.53097
Volatility (Ann.) [%]        108585735.578501
Sharpe Ratio                         0.017584
Sortino Ratio                    18637.176589
Calmar Ratio                     39985.038602
Max. Drawdown [%]                  -47.752674
Avg. Drawdown [%]                  -18.524559
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       69 days 00:00:00
# Trades                                   33
Win Rate [%]                        45.454545
Best Trade [%]                     183.976091
Worst Trade [%]                    -19.530964
Avg. Trade [%]                      11.589926
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        5.129306
Expectancy [%]                      17.674402
SQN                                  1.161821
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   67.910448
Equity Final [$]            4717978729.880358
Equity Peak [$]             6871687015.113359
Return [%]                         4617.97873
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              3623259.571696
Volatility (Ann.) [%]        179145073.184221
Sharpe Ratio                         0.020225
Sortino Ratio                    37884.215841
Calmar Ratio                     95166.918808
Max. Drawdown [%]                  -38.072679
Avg. Drawdown [%]                  -17.549672
Max. Drawdown Duration      322 days 00:00:00
Avg. Drawdown Duration       91 days 00:00:00
# Trades                                   23
Win Rate [%]                        47.826087
Best Trade [%]                     278.515565
Worst Trade [%]                    -19.530964
Avg. Trade [%]                      18.242063
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        8.569899
Expectancy [%]                      31.296546
SQN                                  1.015614
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   70.895522
Equity Final [$]            5041498989.759739
Equity Peak [$]             9340103633.336651
Return [%]                         4941.49899
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]                4340695.1369
Volatility (Ann.) [%]        272074901.000595
Sharpe Ratio                         0.015954
Sortino Ratio                    41873.953327
Calmar Ratio                     86780.559823
Max. Drawdown [%]                  -50.019211
Avg. Drawdown [%]                  -20.338764
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   18
Win Rate [%]                        61.111111
Best Trade [%]                      413.31307
Worst Trade [%]                    -21.754862
Avg. Trade [%]                      24.333068
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          30 days 00:00:00
Profit Factor                       10.253902
Expectancy [%]                      45.839833
SQN                                  0.650205
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;5;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   70.895522
Equity Final [$]            4888859071.569109
Equity Peak [$]             10138141036.73617
Return [%]                        4788.859072
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              3991983.194668
Volatility (Ann.) [%]         300430993.61448
Sharpe Ratio                         0.013288
Sortino Ratio                    36133.498515
Calmar Ratio                     68027.007829
Max. Drawdown [%]                  -58.682328
Avg. Drawdown [%]                  -23.407947
Max. Drawdown Duration      266 days 00:00:00
Avg. Drawdown Duration       89 days 00:00:00
# Trades                                   16
Win Rate [%]                            56.25
Best Trade [%]                     300.059307
Worst Trade [%]                    -21.754862
Avg. Trade [%]                      27.519168
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                       10.828996
Expectancy [%]                      47.925237
SQN                                  0.801301
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   61.940299
Equity Final [$]            6216253731.147819
Equity Peak [$]            13624507144.091162
Return [%]                        6116.253731
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              7679845.104974
Volatility (Ann.) [%]         540202297.31448
Sharpe Ratio                         0.014217
Sortino Ratio                    71731.042913
Calmar Ratio                    138059.739295
Max. Drawdown [%]                  -55.626971
Avg. Drawdown [%]                  -20.262561
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                    1211.827034
Worst Trade [%]                    -21.119103
Avg. Trade [%]                      41.078466
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                       23.303979
Expectancy [%]                     126.421388
SQN                                  0.636779
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;7;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   60.447761
Equity Final [$]            4830257574.248919
Equity Peak [$]             10499837503.73786
Return [%]                        4730.257574
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              3862982.645548
Volatility (Ann.) [%]        280164714.193993
Sharpe Ratio                         0.013788
Sortino Ratio                    35485.823186
Calmar Ratio                     69905.960243
Max. Drawdown [%]                  -55.259704
Avg. Drawdown [%]                  -22.886053
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration       80 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                    1211.827034
Worst Trade [%]                    -21.119103
Avg. Trade [%]                       42.26177
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                       24.352209
Expectancy [%]                     132.736062
SQN                                   0.63833
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   59.701493
Equity Final [$]             3608015043.17892
Equity Peak [$]              5712505128.23892
Return [%]                        3508.015043
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              1744970.651397
Volatility (Ann.) [%]         115142638.72099
Sharpe Ratio                         0.015155
Sortino Ratio                    15824.719906
Calmar Ratio                     39131.789621
Max. Drawdown [%]                   -44.59215
Avg. Drawdown [%]                  -26.348917
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                    1211.827034
Worst Trade [%]                    -22.380629
Avg. Trade [%]                      38.538298
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                       25.470547
Expectancy [%]                     126.192862
SQN                                  0.913452
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;9;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   58.955224
Equity Final [$]             4317729866.19282
Equity Peak [$]               7204089080.8494
Return [%]                        4217.729866
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              2845937.641044
Volatility (Ann.) [%]        174899203.857375
Sharpe Ratio                         0.016272
Sortino Ratio                    27208.397384
Calmar Ratio                     62281.522102
Max. Drawdown [%]                  -45.694735
Avg. Drawdown [%]                  -21.306527
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                    1248.576495
Worst Trade [%]                    -18.254926
Avg. Trade [%]                      45.722142
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                       30.475116
Expectancy [%]                     145.162829
SQN                                  0.832013
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;1;10;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   58.955224
Equity Final [$]             3058989764.99625
Equity Peak [$]             4770693146.295771
Return [%]                        2958.989765
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]              1113007.616971
Volatility (Ann.) [%]         73345494.810962
Sharpe Ratio                         0.015175
Sortino Ratio                    10290.895059
Calmar Ratio                     24357.458685
Max. Drawdown [%]                  -45.694735
Avg. Drawdown [%]                  -24.072455
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                    1248.576495
Worst Trade [%]                    -18.254926
Avg. Trade [%]                      35.639781
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                       18.694859
Expectancy [%]                      127.12949
SQN                                  0.822384
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;1;"Start                     2019-04-14 20:59...
End                       2021-10-31 20:59...
Duration                    931 days 00:00:00
Exposure Time [%]                   64.925373
Equity Final [$]              147816615.12605
Equity Peak [$]               264187273.36356
Return [%]                          47.816615
Buy & Hold Return [%]             5591.050198
Return (Ann.) [%]                  189.938492
Volatility (Ann.) [%]             2259.477226
Sharpe Ratio                         0.084063
Sortino Ratio                        1.426344
Calmar Ratio                         2.812035
Max. Drawdown [%]                  -67.544843
Avg. Drawdown [%]                  -17.718237
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration       94 days 00:00:00
# Trades                                   32
Win Rate [%]                            68.75
Best Trade [%]                      38.336345
Worst Trade [%]                    -45.708859
Avg. Trade [%]                       1.228745
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          13 days 00:00:00
Profit Factor                        1.559467
Expectancy [%]                       3.078162
SQN                                  0.323703
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
