;sma1;sma2;output
0;1;2;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                        80.0
Equity Final [$]               121560967.6216
Equity Peak [$]                465044389.5422
Return [%]                          21.560968
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                   85.835745
Volatility (Ann.) [%]              4118.36519
Sharpe Ratio                         0.020842
Sortino Ratio                        0.553065
Calmar Ratio                         1.132943
Max. Drawdown [%]                   -75.76352
Avg. Drawdown [%]                  -26.298773
Max. Drawdown Duration      462 days 00:00:00
Avg. Drawdown Duration      139 days 00:00:00
# Trades                                   31
Win Rate [%]                        32.258065
Best Trade [%]                      99.266896
Worst Trade [%]                    -39.391725
Avg. Trade [%]                       0.631813
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                        1.563346
Expectancy [%]                       4.581758
SQN                                  0.072168
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   73.913043
Equity Final [$]               332707057.2177
Equity Peak [$]                784916548.2155
Return [%]                         232.707057
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                 4439.201193
Volatility (Ann.) [%]            89971.121875
Sharpe Ratio                          0.04934
Sortino Ratio                       31.647772
Calmar Ratio                        69.164533
Max. Drawdown [%]                  -64.183202
Avg. Drawdown [%]                  -20.790772
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   21
Win Rate [%]                        38.095238
Best Trade [%]                     124.117495
Worst Trade [%]                    -23.311966
Avg. Trade [%]                       5.891255
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.599498
Expectancy [%]                      10.626472
SQN                                  0.582829
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   71.304348
Equity Final [$]               208010871.7425
Equity Peak [$]                 459113969.353
Return [%]                         108.010872
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                  922.297768
Volatility (Ann.) [%]            18141.665807
Sharpe Ratio                         0.050839
Sortino Ratio                        6.485258
Calmar Ratio                        14.944149
Max. Drawdown [%]                  -61.716313
Avg. Drawdown [%]                  -25.922561
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       98 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                     124.117495
Worst Trade [%]                    -27.448311
Avg. Trade [%]                       3.930106
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        2.110482
Expectancy [%]                       8.296835
SQN                                  0.391987
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   65.217391
Equity Final [$]               501474774.9937
Equity Peak [$]                880546833.1581
Return [%]                         401.474775
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                16592.820652
Volatility (Ann.) [%]           446789.541078
Sharpe Ratio                         0.037138
Sortino Ratio                      118.221861
Calmar Ratio                       295.705711
Max. Drawdown [%]                  -56.112615
Avg. Drawdown [%]                  -21.411743
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     177.918062
Worst Trade [%]                    -27.448311
Avg. Trade [%]                      13.204923
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        4.135647
Expectancy [%]                      22.886697
SQN                                  0.796684
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   64.347826
Equity Final [$]               459597793.3189
Equity Peak [$]                751494713.0891
Return [%]                         359.597793
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                12556.976305
Volatility (Ann.) [%]           331961.650086
Sharpe Ratio                         0.037827
Sortino Ratio                       89.498592
Calmar Ratio                       237.505494
Max. Drawdown [%]                  -52.870256
Avg. Drawdown [%]                  -24.017815
Max. Drawdown Duration      217 days 00:00:00
Avg. Drawdown Duration       84 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     296.981965
Worst Trade [%]                    -27.448311
Avg. Trade [%]                      14.872527
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        4.790528
Expectancy [%]                      39.404804
SQN                                  0.689496
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   64.347826
Equity Final [$]               371983065.3506
Equity Peak [$]                655996251.0679
Return [%]                         271.983065
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                 6368.311516
Volatility (Ann.) [%]           165771.107415
Sharpe Ratio                         0.038416
Sortino Ratio                       45.387733
Calmar Ratio                       120.451686
Max. Drawdown [%]                  -52.870256
Avg. Drawdown [%]                  -27.278098
Max. Drawdown Duration      238 days 00:00:00
Avg. Drawdown Duration       97 days 00:00:00
# Trades                                   11
Win Rate [%]                        27.272727
Best Trade [%]                     247.366751
Worst Trade [%]                    -27.448311
Avg. Trade [%]                      12.684905
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          41 days 00:00:00
Profit Factor                        4.279789
Expectancy [%]                      34.160582
SQN                                  0.599305
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;2;1;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   66.086957
Equity Final [$]               646762916.2102
Equity Peak [$]                646762916.2102
Return [%]                         546.762916
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                37331.263011
Volatility (Ann.) [%]           1167770.56208
Sharpe Ratio                         0.031968
Sortino Ratio                      258.148544
Calmar Ratio                       567.406296
Max. Drawdown [%]                  -65.792825
Avg. Drawdown [%]                   -12.21246
Max. Drawdown Duration      392 days 00:00:00
Avg. Drawdown Duration       60 days 00:00:00
# Trades                                   30
Win Rate [%]                             80.0
Best Trade [%]                      48.854962
Worst Trade [%]                    -54.713416
Avg. Trade [%]                       6.420388
Max. Trade Duration          28 days 00:00:00
Avg. Trade Duration          11 days 00:00:00
Profit Factor                        2.892283
Expectancy [%]                       9.022738
SQN                                  2.087562
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;3;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   74.782609
Equity Final [$]                614234865.003
Equity Peak [$]                 909213075.857
Return [%]                         514.234865
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                31676.425204
Volatility (Ann.) [%]           723116.553665
Sharpe Ratio                         0.043805
Sortino Ratio                      232.691154
Calmar Ratio                       687.696503
Max. Drawdown [%]                  -46.061635
Avg. Drawdown [%]                  -22.778843
Max. Drawdown Duration      140 days 00:00:00
Avg. Drawdown Duration       67 days 00:00:00
# Trades                                   21
Win Rate [%]                        61.904762
Best Trade [%]                     159.092001
Worst Trade [%]                    -27.448311
Avg. Trade [%]                       9.028424
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        4.002456
Expectancy [%]                      14.010124
SQN                                  1.149339
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;4;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   73.913043
Equity Final [$]               271120514.0581
Equity Peak [$]                624248024.9306
Return [%]                         171.120514
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                 2270.389559
Volatility (Ann.) [%]            69911.796405
Sharpe Ratio                         0.032475
Sortino Ratio                       13.904804
Calmar Ratio                        29.753404
Max. Drawdown [%]                  -76.306884
Avg. Drawdown [%]                  -35.329667
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      139 days 00:00:00
# Trades                                   12
Win Rate [%]                        41.666667
Best Trade [%]                     163.007447
Worst Trade [%]                    -52.737105
Avg. Trade [%]                       8.666797
Max. Trade Duration          98 days 00:00:00
Avg. Trade Duration          43 days 00:00:00
Profit Factor                        2.907938
Expectancy [%]                      21.944774
SQN                                  0.410798
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;5;"Start                     2019-08-25 20:59...
End                       2021-10-31 20:59...
Duration                    798 days 00:00:00
Exposure Time [%]                   70.434783
Equity Final [$]               347151856.6225
Equity Peak [$]                802766259.6945
Return [%]                         247.151857
Buy & Hold Return [%]              266.576819
Return (Ann.) [%]                 5094.716688
Volatility (Ann.) [%]           254030.589749
Sharpe Ratio                         0.020056
Sortino Ratio                       31.231469
Calmar Ratio                        68.333673
Max. Drawdown [%]                  -74.556459
Avg. Drawdown [%]                   -28.14173
Max. Drawdown Duration      238 days 00:00:00
Avg. Drawdown Duration       85 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                     302.981229
Worst Trade [%]                    -52.737105
Avg. Trade [%]                      13.253583
Max. Trade Duration         154 days 00:00:00
Avg. Trade Duration          50 days 00:00:00
Profit Factor                        4.155205
Expectancy [%]                      38.455042
SQN                                  0.560456
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
