;sma1;sma2;output
0;1;3;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   96.022727
Equity Final [$]              359969653.53188
Equity Peak [$]                506722219.2669
Return [%]                         259.969654
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                 1324.359451
Volatility (Ann.) [%]            74581.774924
Sharpe Ratio                         0.017757
Sortino Ratio                        9.290658
Calmar Ratio                         23.27554
Max. Drawdown [%]                  -56.899194
Avg. Drawdown [%]                  -30.315443
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      127 days 00:00:00
# Trades                                   57
Win Rate [%]                        47.368421
Best Trade [%]                      99.294947
Worst Trade [%]                    -26.711636
Avg. Trade [%]                       2.272542
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        1.760012
Expectancy [%]                       4.533933
SQN                                  0.826422
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;6;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   96.022727
Equity Final [$]              187178186.41106
Equity Peak [$]               273644203.80625
Return [%]                          87.178186
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                  266.961271
Volatility (Ann.) [%]            20414.494387
Sharpe Ratio                         0.013077
Sortino Ratio                        1.766303
Calmar Ratio                         3.887529
Max. Drawdown [%]                  -68.671206
Avg. Drawdown [%]                  -30.465426
Max. Drawdown Duration      938 days 00:00:00
Avg. Drawdown Duration      196 days 00:00:00
# Trades                                   38
Win Rate [%]                        39.473684
Best Trade [%]                      222.63792
Worst Trade [%]                    -27.396074
Avg. Trade [%]                       1.655007
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         1.83326
Expectancy [%]                       6.208594
SQN                                  0.567944
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;7;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   95.454545
Equity Final [$]             1204483886.56483
Equity Peak [$]              1766419226.19451
Return [%]                        1104.483887
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                17335.478895
Volatility (Ann.) [%]           753713.143047
Sharpe Ratio                            0.023
Sortino Ratio                      129.372318
Calmar Ratio                       291.459091
Max. Drawdown [%]                  -59.478258
Avg. Drawdown [%]                  -20.057776
Max. Drawdown Duration      497 days 00:00:00
Avg. Drawdown Duration       75 days 00:00:00
# Trades                                   27
Win Rate [%]                        51.851852
Best Trade [%]                     279.296132
Worst Trade [%]                    -27.396074
Avg. Trade [%]                        9.65531
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                        4.364818
Expectancy [%]                      16.647391
SQN                                  1.534687
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;8;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   91.477273
Equity Final [$]              176046763.20133
Equity Peak [$]               428620823.93798
Return [%]                          76.046763
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                  223.146212
Volatility (Ann.) [%]            15717.767892
Sharpe Ratio                         0.014197
Sortino Ratio                        1.408307
Calmar Ratio                         3.188777
Max. Drawdown [%]                  -69.978612
Avg. Drawdown [%]                  -33.287706
Max. Drawdown Duration      693 days 00:00:00
Avg. Drawdown Duration      185 days 00:00:00
# Trades                                   23
Win Rate [%]                        43.478261
Best Trade [%]                     105.964369
Worst Trade [%]                    -21.479613
Avg. Trade [%]                       2.503542
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        1.835207
Expectancy [%]                       6.458013
SQN                                  0.601755
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;9;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   90.340909
Equity Final [$]              124527986.64756
Equity Peak [$]               285326693.20906
Return [%]                          24.527987
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                   57.605256
Volatility (Ann.) [%]             7452.954353
Sharpe Ratio                         0.007729
Sortino Ratio                        0.361507
Calmar Ratio                         0.728967
Max. Drawdown [%]                  -79.023135
Avg. Drawdown [%]                  -38.420352
Max. Drawdown Duration      798 days 00:00:00
Avg. Drawdown Duration      222 days 00:00:00
# Trades                                   23
Win Rate [%]                        43.478261
Best Trade [%]                       99.17565
Worst Trade [%]                    -28.234678
Avg. Trade [%]                       0.958303
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          49 days 00:00:00
Profit Factor                        1.559425
Expectancy [%]                       4.640343
SQN                                  0.265018
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;10;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   90.340909
Equity Final [$]              141409570.58594
Equity Peak [$]               274390665.61129
Return [%]                          41.409571
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                  105.150471
Volatility (Ann.) [%]             9245.934491
Sharpe Ratio                         0.011373
Sortino Ratio                        0.669563
Calmar Ratio                         1.380326
Max. Drawdown [%]                  -76.177972
Avg. Drawdown [%]                   -37.85132
Max. Drawdown Duration      798 days 00:00:00
Avg. Drawdown Duration      222 days 00:00:00
# Trades                                   19
Win Rate [%]                        42.105263
Best Trade [%]                       99.17565
Worst Trade [%]                    -28.234678
Avg. Trade [%]                       1.840363
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          59 days 00:00:00
Profit Factor                         1.70115
Expectancy [%]                       6.239457
SQN                                  0.441617
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;11;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   90.340909
Equity Final [$]              109927306.78507
Equity Peak [$]               213302584.48674
Return [%]                           9.927307
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                   21.687897
Volatility (Ann.) [%]             5600.799181
Sharpe Ratio                         0.003872
Sortino Ratio                        0.137083
Calmar Ratio                         0.270547
Max. Drawdown [%]                  -80.163249
Avg. Drawdown [%]                  -38.648375
Max. Drawdown Duration      798 days 00:00:00
Avg. Drawdown Duration      222 days 00:00:00
# Trades                                   17
Win Rate [%]                        41.176471
Best Trade [%]                     118.656457
Worst Trade [%]                    -28.558719
Avg. Trade [%]                       0.558312
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          66 days 00:00:00
Profit Factor                        1.549376
Expectancy [%]                        5.52104
SQN                                  0.124165
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;20;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   82.954545
Equity Final [$]              102326602.20914
Equity Peak [$]               421385018.19822
Return [%]                           2.326602
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                    4.885366
Volatility (Ann.) [%]             3708.268331
Sharpe Ratio                         0.001317
Sortino Ratio                        0.031551
Calmar Ratio                         0.062291
Max. Drawdown [%]                  -78.427604
Avg. Drawdown [%]                  -35.489926
Max. Drawdown Duration      749 days 00:00:00
Avg. Drawdown Duration      199 days 00:00:00
# Trades                                   13
Win Rate [%]                        38.461538
Best Trade [%]                     297.092288
Worst Trade [%]                    -47.946514
Avg. Trade [%]                       0.177076
Max. Trade Duration         357 days 00:00:00
Avg. Trade Duration          79 days 00:00:00
Profit Factor                        2.335866
Expectancy [%]                      14.716648
SQN                                  0.013305
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;1;22;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   82.954545
Equity Final [$]              103820992.79543
Equity Peak [$]               657323399.26292
Return [%]                           3.820993
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                    8.086944
Volatility (Ann.) [%]             3449.611035
Sharpe Ratio                         0.002344
Sortino Ratio                        0.054025
Calmar Ratio                         0.094068
Max. Drawdown [%]                  -85.968794
Avg. Drawdown [%]                  -33.489542
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      165 days 00:00:00
# Trades                                   15
Win Rate [%]                        26.666667
Best Trade [%]                     297.092288
Worst Trade [%]                    -29.913335
Avg. Trade [%]                       0.250299
Max. Trade Duration         357 days 00:00:00
Avg. Trade Duration          68 days 00:00:00
Profit Factor                        2.200697
Expectancy [%]                      12.260653
SQN                                  0.015403
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;1;23;"Start                     2018-06-17 20:59...
End                       2021-10-24 20:59...
Duration                   1225 days 00:00:00
Exposure Time [%]                   82.954545
Equity Final [$]              140438022.75361
Equity Peak [$]               505611931.69388
Return [%]                          40.438023
Buy & Hold Return [%]              133.868682
Return (Ann.) [%]                   102.23819
Volatility (Ann.) [%]             6303.948425
Sharpe Ratio                         0.016218
Sortino Ratio                        0.692578
Calmar Ratio                         1.357293
Max. Drawdown [%]                  -75.325048
Avg. Drawdown [%]                   -36.71451
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      199 days 00:00:00
# Trades                                   15
Win Rate [%]                        33.333333
Best Trade [%]                     297.092288
Worst Trade [%]                    -29.913335
Avg. Trade [%]                       2.289796
Max. Trade Duration         357 days 00:00:00
Avg. Trade Duration          68 days 00:00:00
Profit Factor                        2.645421
Expectancy [%]                        14.0243
SQN                                  0.215683
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
