;sma1;sma2;output
0;1;2;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   77.966102
Equity Final [$]              232258838.36473
Equity Peak [$]               241173833.05941
Return [%]                         132.258838
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  468.445113
Volatility (Ann.) [%]             10211.29011
Sharpe Ratio                         0.045875
Sortino Ratio                        3.898195
Calmar Ratio                         6.416652
Max. Drawdown [%]                  -73.004598
Avg. Drawdown [%]                  -30.632251
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      240 days 00:00:00
# Trades                                   45
Win Rate [%]                        42.222222
Best Trade [%]                      92.709484
Worst Trade [%]                    -28.849112
Avg. Trade [%]                       1.890271
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        1.731414
Expectancy [%]                       3.910743
SQN                                  0.884158
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   61.581921
Equity Final [$]               554350507.2288
Equity Peak [$]                698042123.3221
Return [%]                         454.350507
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                 3318.163173
Volatility (Ann.) [%]            54281.979496
Sharpe Ratio                         0.061128
Sortino Ratio                       30.984642
Calmar Ratio                        66.892746
Max. Drawdown [%]                   -49.60423
Avg. Drawdown [%]                  -25.021042
Max. Drawdown Duration      329 days 00:00:00
Avg. Drawdown Duration      130 days 00:00:00
# Trades                                   29
Win Rate [%]                        55.172414
Best Trade [%]                      99.294947
Worst Trade [%]                    -22.430146
Avg. Trade [%]                       6.083476
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                        2.976811
Expectancy [%]                        8.63529
SQN                                  1.429762
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   63.276836
Equity Final [$]              167121222.61316
Equity Peak [$]               210626372.44132
Return [%]                          67.121223
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  188.352638
Volatility (Ann.) [%]              5121.89992
Sharpe Ratio                         0.036774
Sortino Ratio                        1.563261
Calmar Ratio                         2.823254
Max. Drawdown [%]                  -66.714739
Avg. Drawdown [%]                  -30.609268
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      236 days 00:00:00
# Trades                                   28
Win Rate [%]                             50.0
Best Trade [%]                      60.580716
Worst Trade [%]                    -27.396074
Avg. Trade [%]                       1.851027
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        1.699273
Expectancy [%]                       3.970612
SQN                                  0.761754
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
3;1;5;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   63.841808
Equity Final [$]              194506536.22642
Equity Peak [$]               248310252.98546
Return [%]                          94.506536
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  294.298171
Volatility (Ann.) [%]             8002.511957
Sharpe Ratio                         0.036776
Sortino Ratio                        2.320269
Calmar Ratio                         4.382197
Max. Drawdown [%]                  -67.157676
Avg. Drawdown [%]                  -29.971103
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      236 days 00:00:00
# Trades                                   23
Win Rate [%]                        47.826087
Best Trade [%]                      61.889664
Worst Trade [%]                    -27.396074
Avg. Trade [%]                       2.934831
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        1.934497
Expectancy [%]                       5.691545
SQN                                  0.961954
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
4;1;6;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   61.016949
Equity Final [$]               315979137.9496
Equity Peak [$]               405100534.85032
Return [%]                         215.979138
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  972.430205
Volatility (Ann.) [%]            20271.821378
Sharpe Ratio                          0.04797
Sortino Ratio                        8.023623
Calmar Ratio                        16.475956
Max. Drawdown [%]                   -59.02117
Avg. Drawdown [%]                  -30.233668
Max. Drawdown Duration      623 days 00:00:00
Avg. Drawdown Duration      194 days 00:00:00
# Trades                                   20
Win Rate [%]                             45.0
Best Trade [%]                      222.63792
Worst Trade [%]                    -27.396074
Avg. Trade [%]                       5.921207
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        3.074613
Expectancy [%]                      12.787032
SQN                                    1.1011
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
5;1;7;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   57.627119
Equity Final [$]              870442757.34709
Equity Peak [$]              1093663811.20694
Return [%]                         770.442757
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  8567.27081
Volatility (Ann.) [%]           157828.989251
Sharpe Ratio                         0.054282
Sortino Ratio                       75.880316
Calmar Ratio                       178.008437
Max. Drawdown [%]                  -48.128454
Avg. Drawdown [%]                  -18.841247
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration       92 days 00:00:00
# Trades                                   13
Win Rate [%]                        61.538462
Best Trade [%]                     279.296132
Worst Trade [%]                    -27.396074
Avg. Trade [%]                       17.92715
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                        8.705675
Expectancy [%]                      30.017099
SQN                                  1.525175
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
6;1;8;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   59.887006
Equity Final [$]              336858068.57066
Equity Peak [$]               606137664.67441
Return [%]                         236.858069
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                 1123.694753
Volatility (Ann.) [%]            27041.329481
Sharpe Ratio                         0.041555
Sortino Ratio                        8.508015
Calmar Ratio                        20.038756
Max. Drawdown [%]                  -56.076073
Avg. Drawdown [%]                  -26.634924
Max. Drawdown Duration      567 days 00:00:00
Avg. Drawdown Duration      158 days 00:00:00
# Trades                                   12
Win Rate [%]                        58.333333
Best Trade [%]                     105.964369
Worst Trade [%]                     -19.16955
Avg. Trade [%]                      10.464784
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                        3.910487
Expectancy [%]                      16.046407
SQN                                  1.492241
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;9;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   59.887006
Equity Final [$]               258774430.9489
Equity Peak [$]                462934540.8628
Return [%]                         158.774431
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  610.402538
Volatility (Ann.) [%]            14901.192855
Sharpe Ratio                         0.040963
Sortino Ratio                         4.63168
Calmar Ratio                         10.16461
Max. Drawdown [%]                  -60.051741
Avg. Drawdown [%]                  -32.476671
Max. Drawdown Duration      749 days 00:00:00
Avg. Drawdown Duration      220 days 00:00:00
# Trades                                   12
Win Rate [%]                        58.333333
Best Trade [%]                       99.17565
Worst Trade [%]                    -28.234678
Avg. Trade [%]                       8.245565
Max. Trade Duration         161 days 00:00:00
Avg. Trade Duration          55 days 00:00:00
Profit Factor                        3.105335
Expectancy [%]                       13.45433
SQN                                  1.312566
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
8;1;10;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   59.322034
Equity Final [$]               261631718.5533
Equity Peak [$]                432209381.7807
Return [%]                         161.631719
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  626.672873
Volatility (Ann.) [%]            15145.020624
Sharpe Ratio                         0.041378
Sortino Ratio                        4.758338
Calmar Ratio                        10.563175
Max. Drawdown [%]                  -59.326185
Avg. Drawdown [%]                   -32.33156
Max. Drawdown Duration      749 days 00:00:00
Avg. Drawdown Duration      220 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                       99.17565
Worst Trade [%]                    -28.234678
Avg. Trade [%]                      10.095366
Max. Trade Duration         168 days 00:00:00
Avg. Trade Duration          67 days 00:00:00
Profit Factor                        3.227186
Expectancy [%]                      16.596837
SQN                                  1.277158
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;1;12;"Start                     2018-06-17 20:59...
End                       2021-10-31 20:59...
Duration                   1232 days 00:00:00
Exposure Time [%]                   61.581921
Equity Final [$]              217961561.47793
Equity Peak [$]               360067320.06333
Return [%]                         117.961561
Buy & Hold Return [%]              138.899386
Return (Ann.) [%]                  398.642259
Volatility (Ann.) [%]            10413.179626
Sharpe Ratio                         0.038282
Sortino Ratio                        3.020296
Calmar Ratio                         6.194897
Max. Drawdown [%]                  -64.350101
Avg. Drawdown [%]                  -33.818641
Max. Drawdown Duration      749 days 00:00:00
Avg. Drawdown Duration      220 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     118.656457
Worst Trade [%]                    -28.234678
Avg. Trade [%]                       7.340054
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          63 days 00:00:00
Profit Factor                        2.787364
Expectancy [%]                      13.388426
SQN                                  1.048408
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
