;sma1;sma2;output
0;2;1;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                      75.419
Equity Final [$]                  1.03439e+08
Equity Peak [$]                    1.0348e+08
Return [%]                            3.43893
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     7.13769
Volatility (Ann.) [%]                 8.33153
Sharpe Ratio                         0.856708
Sortino Ratio                         1.68429
Calmar Ratio                          2.15957
Max. Drawdown [%]                    -3.30515
Avg. Drawdown [%]                   -0.533552
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       60 days 00:00:00
# Trades                                   50
Win Rate [%]                               70
Best Trade [%]                        2.60671
Worst Trade [%]                      -1.63839
Avg. Trade [%]                      0.0676453
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          12 days 00:00:00
Profit Factor                          1.7601
Expectancy [%]                      0.0689557
SQN                                  0.942675
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;3;1;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     70.9497
Equity Final [$]                  1.04033e+08
Equity Peak [$]                   1.04033e+08
Return [%]                            4.03259
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     8.39525
Volatility (Ann.) [%]                 8.13614
Sharpe Ratio                          1.03185
Sortino Ratio                         2.23819
Calmar Ratio                          2.70278
Max. Drawdown [%]                    -3.10616
Avg. Drawdown [%]                   -0.745407
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       82 days 00:00:00
# Trades                                   40
Win Rate [%]                             77.5
Best Trade [%]                        2.60671
Worst Trade [%]                      -2.28302
Avg. Trade [%]                       0.098884
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                         1.98544
Expectancy [%]                       0.100774
SQN                                   1.02173
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;3;2;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     69.2737
Equity Final [$]                  1.03408e+08
Equity Peak [$]                   1.03936e+08
Return [%]                            3.40821
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     7.07281
Volatility (Ann.) [%]                 8.01679
Sharpe Ratio                         0.882249
Sortino Ratio                         1.97467
Calmar Ratio                          2.44858
Max. Drawdown [%]                    -2.88854
Avg. Drawdown [%]                   -0.901292
Max. Drawdown Duration      609 days 00:00:00
Avg. Drawdown Duration      135 days 00:00:00
# Trades                                   37
Win Rate [%]                          64.8649
Best Trade [%]                        2.70889
Worst Trade [%]                     -0.790123
Avg. Trade [%]                      0.0903493
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                         1.97128
Expectancy [%]                      0.0917549
SQN                                   1.03085
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;4;1;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     63.6872
Equity Final [$]                    1.042e+08
Equity Peak [$]                     1.042e+08
Return [%]                            4.20047
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     8.75223
Volatility (Ann.) [%]                 7.98966
Sharpe Ratio                          1.09544
Sortino Ratio                         2.44678
Calmar Ratio                          2.66259
Max. Drawdown [%]                    -3.28711
Avg. Drawdown [%]                   -0.594815
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   31
Win Rate [%]                          77.4194
Best Trade [%]                        2.70889
Worst Trade [%]                      -2.28302
Avg. Trade [%]                       0.132819
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                         2.38137
Expectancy [%]                       0.135066
SQN                                   1.10261
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;4;2;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     63.6872
Equity Final [$]                    1.049e+08
Equity Peak [$]                     1.049e+08
Return [%]                             4.8997
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     10.2455
Volatility (Ann.) [%]                 7.95035
Sharpe Ratio                          1.28868
Sortino Ratio                         3.16509
Calmar Ratio                          4.72275
Max. Drawdown [%]                    -2.16939
Avg. Drawdown [%]                   -0.375929
Max. Drawdown Duration      147 days 00:00:00
Avg. Drawdown Duration       61 days 00:00:00
# Trades                                   29
Win Rate [%]                          65.5172
Best Trade [%]                        2.70889
Worst Trade [%]                     -0.528204
Avg. Trade [%]                       0.165082
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                          4.6671
Expectancy [%]                       0.166467
SQN                                   1.67023
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;4;3;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     65.3631
Equity Final [$]                   1.0532e+08
Equity Peak [$]                    1.0533e+08
Return [%]                            5.31989
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     11.1478
Volatility (Ann.) [%]                  7.7226
Sharpe Ratio                          1.44354
Sortino Ratio                         3.97956
Calmar Ratio                          5.11605
Max. Drawdown [%]                    -2.17899
Avg. Drawdown [%]                    -0.29483
Max. Drawdown Duration      210 days 00:00:00
Avg. Drawdown Duration       64 days 00:00:00
# Trades                                   34
Win Rate [%]                          61.7647
Best Trade [%]                        2.70889
Worst Trade [%]                     -0.931154
Avg. Trade [%]                       0.152564
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         4.11477
Expectancy [%]                        0.15401
SQN                                   1.65525
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;5;1;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     62.5698
Equity Final [$]                  1.04016e+08
Equity Peak [$]                   1.04016e+08
Return [%]                            4.01598
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     8.35997
Volatility (Ann.) [%]                  8.0251
Sharpe Ratio                          1.04173
Sortino Ratio                          2.3141
Calmar Ratio                          2.96039
Max. Drawdown [%]                    -2.82395
Avg. Drawdown [%]                    -0.63099
Max. Drawdown Duration      287 days 00:00:00
Avg. Drawdown Duration       80 days 00:00:00
# Trades                                   27
Win Rate [%]                          77.7778
Best Trade [%]                        2.79079
Worst Trade [%]                      -1.58433
Avg. Trade [%]                       0.145937
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         2.74333
Expectancy [%]                       0.148025
SQN                                    1.1691
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;5;2;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     58.6592
Equity Final [$]                  1.07472e+08
Equity Peak [$]                   1.07493e+08
Return [%]                            7.47181
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     15.8278
Volatility (Ann.) [%]                 8.71292
Sharpe Ratio                          1.81659
Sortino Ratio                         5.78972
Calmar Ratio                          7.29598
Max. Drawdown [%]                    -2.16939
Avg. Drawdown [%]                   -0.518933
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      115 days 00:00:00
# Trades                                   25
Win Rate [%]                               72
Best Trade [%]                        3.47091
Worst Trade [%]                     -0.398367
Avg. Trade [%]                       0.288649
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         7.71619
Expectancy [%]                       0.292378
SQN                                   1.65186
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;5;3;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     60.3352
Equity Final [$]                  1.07345e+08
Equity Peak [$]                   1.07356e+08
Return [%]                            7.34487
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                      15.549
Volatility (Ann.) [%]                  8.7185
Sharpe Ratio                          1.78346
Sortino Ratio                         5.60362
Calmar Ratio                          7.16747
Max. Drawdown [%]                    -2.16939
Avg. Drawdown [%]                   -0.533113
Max. Drawdown Duration      581 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   23
Win Rate [%]                          78.2609
Best Trade [%]                        3.47091
Worst Trade [%]                     -0.349965
Avg. Trade [%]                       0.308634
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                         9.49229
Expectancy [%]                       0.312621
SQN                                   1.63457
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;5;4;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     62.0112
Equity Final [$]                  1.06528e+08
Equity Peak [$]                   1.06539e+08
Return [%]                            6.52812
Buy & Hold Return [%]               -0.338814
Return (Ann.) [%]                     13.7634
Volatility (Ann.) [%]                 8.40143
Sharpe Ratio                          1.63822
Sortino Ratio                         5.26924
Calmar Ratio                          6.34436
Max. Drawdown [%]                    -2.16939
Avg. Drawdown [%]                    -0.45091
Max. Drawdown Duration      728 days 00:00:00
Avg. Drawdown Duration      157 days 00:00:00
# Trades                                   32
Win Rate [%]                             62.5
Best Trade [%]                        2.89335
Worst Trade [%]                     -0.349965
Avg. Trade [%]                       0.197817
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         5.19687
Expectancy [%]                       0.200154
SQN                                   1.61986
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
