;sma1;sma2;output
0;2;1;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                    72.18543
Equity Final [$]               106403226.3161
Equity Peak [$]                106413871.9615
Return [%]                           6.403226
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                   16.186491
Volatility (Ann.) [%]                8.251937
Sharpe Ratio                         1.961538
Sortino Ratio                        6.439912
Calmar Ratio                         6.928641
Max. Drawdown [%]                   -2.336171
Avg. Drawdown [%]                   -0.353549
Max. Drawdown Duration       91 days 00:00:00
Avg. Drawdown Duration       51 days 00:00:00
# Trades                                   45
Win Rate [%]                        66.666667
Best Trade [%]                       2.763092
Worst Trade [%]                     -1.158186
Avg. Trade [%]                       0.138019
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          10 days 00:00:00
Profit Factor                        4.624153
Expectancy [%]                       0.139141
SQN                                  1.954245
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;3;1;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   70.198675
Equity Final [$]               106094486.7225
Equity Peak [$]                106105100.4166
Return [%]                           6.094487
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                   15.373257
Volatility (Ann.) [%]                8.210656
Sharpe Ratio                         1.872354
Sortino Ratio                        6.029612
Calmar Ratio                         6.580536
Max. Drawdown [%]                   -2.336171
Avg. Drawdown [%]                   -0.322328
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       47 days 00:00:00
# Trades                                   34
Win Rate [%]                        70.588235
Best Trade [%]                       2.763092
Worst Trade [%]                     -1.158186
Avg. Trade [%]                       0.174151
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        5.395348
Expectancy [%]                       0.175578
SQN                                  1.889964
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;3;2;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                    72.18543
Equity Final [$]               103483053.4978
Equity Peak [$]                103721399.2098
Return [%]                           3.483053
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    8.628102
Volatility (Ann.) [%]                7.832176
Sharpe Ratio                         1.101623
Sortino Ratio                        3.022833
Calmar Ratio                         4.546716
Max. Drawdown [%]                   -1.897656
Avg. Drawdown [%]                   -0.524908
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration       92 days 00:00:00
# Trades                                   33
Win Rate [%]                        54.545455
Best Trade [%]                       2.589126
Worst Trade [%]                     -0.701165
Avg. Trade [%]                       0.103198
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                        2.635283
Expectancy [%]                       0.104489
SQN                                  1.162192
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;4;1;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   66.225166
Equity Final [$]               105483932.7476
Equity Peak [$]                105515590.5917
Return [%]                           5.483933
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    13.77488
Volatility (Ann.) [%]                7.831999
Sharpe Ratio                         1.758795
Sortino Ratio                        5.865112
Calmar Ratio                         7.903633
Max. Drawdown [%]                   -1.742854
Avg. Drawdown [%]                   -0.314948
Max. Drawdown Duration      154 days 00:00:00
Avg. Drawdown Duration       49 days 00:00:00
# Trades                                   29
Win Rate [%]                        72.413793
Best Trade [%]                       2.763092
Worst Trade [%]                     -0.557713
Avg. Trade [%]                       0.184268
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        8.199059
Expectancy [%]                       0.185617
SQN                                  1.902868
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;4;2;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   62.251656
Equity Final [$]                103528234.102
Equity Peak [$]                 103538640.825
Return [%]                           3.528234
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    8.742779
Volatility (Ann.) [%]                7.447883
Sharpe Ratio                         1.173861
Sortino Ratio                        3.634131
Calmar Ratio                         5.016357
Max. Drawdown [%]                   -1.742854
Avg. Drawdown [%]                   -0.520599
Max. Drawdown Duration      280 days 00:00:00
Avg. Drawdown Duration      105 days 00:00:00
# Trades                                   23
Win Rate [%]                        65.217391
Best Trade [%]                       2.660688
Worst Trade [%]                     -0.537795
Avg. Trade [%]                       0.150871
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        4.861413
Expectancy [%]                       0.152405
SQN                                  1.286255
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;4;3;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   70.860927
Equity Final [$]               105083833.3912
Equity Peak [$]                 105083855.472
Return [%]                           5.083833
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                   12.734539
Volatility (Ann.) [%]                7.519018
Sharpe Ratio                         1.693644
Sortino Ratio                        6.930648
Calmar Ratio                         8.839639
Max. Drawdown [%]                   -1.440618
Avg. Drawdown [%]                   -0.250346
Max. Drawdown Duration      175 days 00:00:00
Avg. Drawdown Duration       53 days 00:00:00
# Trades                                   32
Win Rate [%]                           65.625
Best Trade [%]                       2.507463
Worst Trade [%]                     -0.129961
Avg. Trade [%]                       0.155083
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                       10.985667
Expectancy [%]                       0.156053
SQN                                  1.987628
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;5;1;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   70.198675
Equity Final [$]               105293679.1719
Equity Peak [$]                105293679.1719
Return [%]                           5.293679
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                   13.279483
Volatility (Ann.) [%]                 7.83933
Sharpe Ratio                         1.693956
Sortino Ratio                        5.448599
Calmar Ratio                         7.619388
Max. Drawdown [%]                   -1.742854
Avg. Drawdown [%]                   -0.315315
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       47 days 00:00:00
# Trades                                   27
Win Rate [%]                        81.481481
Best Trade [%]                       2.763092
Worst Trade [%]                     -0.537795
Avg. Trade [%]                       0.191232
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        8.562721
Expectancy [%]                       0.192652
SQN                                  1.853594
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;5;2;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   58.940397
Equity Final [$]               103662935.0039
Equity Peak [$]                 103662944.337
Return [%]                           3.662935
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    9.085095
Volatility (Ann.) [%]                7.258725
Sharpe Ratio                          1.25161
Sortino Ratio                        4.716933
Calmar Ratio                         6.669919
Max. Drawdown [%]                     -1.3621
Avg. Drawdown [%]                   -0.446464
Max. Drawdown Duration      371 days 00:00:00
Avg. Drawdown Duration      123 days 00:00:00
# Trades                                   20
Win Rate [%]                             65.0
Best Trade [%]                       2.660688
Worst Trade [%]                     -0.320128
Avg. Trade [%]                       0.180034
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          25 days 00:00:00
Profit Factor                        5.544452
Expectancy [%]                        0.18176
SQN                                  1.345564
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;5;3;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   60.927152
Equity Final [$]               103516781.2589
Equity Peak [$]                103516781.2589
Return [%]                           3.516781
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    8.713702
Volatility (Ann.) [%]                7.274062
Sharpe Ratio                         1.197914
Sortino Ratio                        4.348111
Calmar Ratio                         7.807137
Max. Drawdown [%]                    -1.11612
Avg. Drawdown [%]                     -0.5897
Max. Drawdown Duration      441 days 00:00:00
Avg. Drawdown Duration      170 days 00:00:00
# Trades                                   21
Win Rate [%]                        61.904762
Best Trade [%]                       2.763092
Worst Trade [%]                     -0.320128
Avg. Trade [%]                       0.164724
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        6.296038
Expectancy [%]                       0.166467
SQN                                  1.254449
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;5;4;"Start                     2018-12-16 20:59...
End                       2021-10-31 20:59...
Duration                   1050 days 00:00:00
Exposure Time [%]                   63.576159
Equity Final [$]                103710756.951
Equity Peak [$]                103908954.6449
Return [%]                           3.710757
Buy & Hold Return [%]               -0.813089
Return (Ann.) [%]                    9.206778
Volatility (Ann.) [%]                7.152199
Sharpe Ratio                         1.287265
Sortino Ratio                        5.646131
Calmar Ratio                         8.248914
Max. Drawdown [%]                    -1.11612
Avg. Drawdown [%]                    -1.04638
Max. Drawdown Duration      875 days 00:00:00
Avg. Drawdown Duration      466 days 00:00:00
# Trades                                   27
Win Rate [%]                        59.259259
Best Trade [%]                       2.763092
Worst Trade [%]                     -0.369963
Avg. Trade [%]                       0.135038
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        3.713981
Expectancy [%]                       0.136634
SQN                                  1.225521
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
