;sma1;sma2;output
0;2;1;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   73.611111
Equity Final [$]               104435086.1319
Equity Peak [$]                104833581.3757
Return [%]                           4.435086
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   24.606566
Volatility (Ann.) [%]               15.452193
Sharpe Ratio                         1.592432
Sortino Ratio                        4.949279
Calmar Ratio                         9.368823
Max. Drawdown [%]                   -2.626431
Avg. Drawdown [%]                   -0.825742
Max. Drawdown Duration      273 days 00:00:00
Avg. Drawdown Duration       51 days 00:00:00
# Trades                                   19
Win Rate [%]                        73.684211
Best Trade [%]                       3.091036
Worst Trade [%]                     -1.396593
Avg. Trade [%]                       0.235534
Max. Trade Duration          28 days 00:00:00
Avg. Trade Duration          13 days 00:00:00
Profit Factor                        3.837636
Expectancy [%]                       0.238506
SQN                                  1.303648
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;3;1;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                        75.0
Equity Final [$]               104602808.3272
Equity Peak [$]                105001943.5515
Return [%]                           4.602808
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   25.624371
Volatility (Ann.) [%]                15.58497
Sharpe Ratio                         1.644172
Sortino Ratio                        5.157005
Calmar Ratio                         9.756347
Max. Drawdown [%]                   -2.626431
Avg. Drawdown [%]                   -0.736213
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       45 days 00:00:00
# Trades                                   16
Win Rate [%]                            81.25
Best Trade [%]                       3.091036
Worst Trade [%]                     -1.396593
Avg. Trade [%]                       0.289816
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        4.177474
Expectancy [%]                        0.29328
SQN                                  1.357491
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;3;2;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   63.888889
Equity Final [$]               104785074.3295
Equity Peak [$]                105184905.0314
Return [%]                           4.785074
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   26.737989
Volatility (Ann.) [%]               15.096688
Sharpe Ratio                         1.771116
Sortino Ratio                        6.652227
Calmar Ratio                        13.017239
Max. Drawdown [%]                   -2.054044
Avg. Drawdown [%]                   -0.783946
Max. Drawdown Duration      154 days 00:00:00
Avg. Drawdown Duration       59 days 00:00:00
# Trades                                   13
Win Rate [%]                        69.230769
Best Trade [%]                       3.029397
Worst Trade [%]                     -0.587825
Avg. Trade [%]                       0.370257
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        5.598406
Expectancy [%]                       0.374148
SQN                                  1.465585
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;4;1;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                        62.5
Equity Final [$]                104245221.153
Equity Peak [$]                104642991.9243
Return [%]                           4.245221
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   23.462389
Volatility (Ann.) [%]               15.116457
Sharpe Ratio                         1.552109
Sortino Ratio                        4.882613
Calmar Ratio                        11.422532
Max. Drawdown [%]                   -2.054044
Avg. Drawdown [%]                   -0.843336
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration       50 days 00:00:00
# Trades                                   13
Win Rate [%]                        76.923077
Best Trade [%]                       3.091036
Worst Trade [%]                     -0.816977
Avg. Trade [%]                       0.330384
Max. Trade Duration          28 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                        6.187279
Expectancy [%]                       0.333996
SQN                                   1.35785
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;4;2;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   68.055556
Equity Final [$]               104909894.1353
Equity Peak [$]                105204201.0209
Return [%]                           4.909894
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   27.505181
Volatility (Ann.) [%]               15.363048
Sharpe Ratio                         1.790347
Sortino Ratio                        6.410977
Calmar Ratio                        13.390742
Max. Drawdown [%]                   -2.054044
Avg. Drawdown [%]                   -0.861489
Max. Drawdown Duration      231 days 00:00:00
Avg. Drawdown Duration       62 days 00:00:00
# Trades                                   12
Win Rate [%]                        83.333333
Best Trade [%]                       2.855153
Worst Trade [%]                     -0.609939
Avg. Trade [%]                       0.400229
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        5.048441
Expectancy [%]                        0.40409
SQN                                  1.522432
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;4;3;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   65.277778
Equity Final [$]               104617034.5599
Equity Peak [$]                104910519.8779
Return [%]                           4.617035
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   25.711007
Volatility (Ann.) [%]               15.123322
Sharpe Ratio                          1.70009
Sortino Ratio                        5.887906
Calmar Ratio                        10.772912
Max. Drawdown [%]                   -2.386635
Avg. Drawdown [%]                   -0.678481
Max. Drawdown Duration       98 days 00:00:00
Avg. Drawdown Duration       39 days 00:00:00
# Trades                                   12
Win Rate [%]                        91.666667
Best Trade [%]                       2.855153
Worst Trade [%]                     -0.984487
Avg. Trade [%]                       0.376843
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        5.638071
Expectancy [%]                        0.38051
SQN                                  1.467611
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;5;1;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   65.277778
Equity Final [$]               105537980.1671
Equity Peak [$]                105675619.9876
Return [%]                            5.53798
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   31.422432
Volatility (Ann.) [%]               15.928454
Sharpe Ratio                         1.972723
Sortino Ratio                        6.785748
Calmar Ratio                        15.297834
Max. Drawdown [%]                   -2.054044
Avg. Drawdown [%]                   -0.682537
Max. Drawdown Duration      119 days 00:00:00
Avg. Drawdown Duration       37 days 00:00:00
# Trades                                   14
Win Rate [%]                        78.571429
Best Trade [%]                       3.091036
Worst Trade [%]                     -0.587825
Avg. Trade [%]                       0.395093
Max. Trade Duration          28 days 00:00:00
Avg. Trade Duration          17 days 00:00:00
Profit Factor                       10.024739
Expectancy [%]                       0.398321
SQN                                  1.797255
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;5;2;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   63.888889
Equity Final [$]               104092616.9404
Equity Peak [$]                104384631.0936
Return [%]                           4.092617
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   22.548882
Volatility (Ann.) [%]               14.837572
Sharpe Ratio                         1.519715
Sortino Ratio                        4.925223
Calmar Ratio                        10.977796
Max. Drawdown [%]                   -2.054044
Avg. Drawdown [%]                   -1.079518
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   11
Win Rate [%]                        72.727273
Best Trade [%]                       3.091036
Worst Trade [%]                     -0.587825
Avg. Trade [%]                        0.36531
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        4.159358
Expectancy [%]                       0.369839
SQN                                  1.220038
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;5;3;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   61.111111
Equity Final [$]               103988440.8415
Equity Peak [$]                104280162.7447
Return [%]                           3.988441
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   21.928393
Volatility (Ann.) [%]               14.789172
Sharpe Ratio                         1.482733
Sortino Ratio                         4.77167
Calmar Ratio                         9.187997
Max. Drawdown [%]                   -2.386635
Avg. Drawdown [%]                   -1.100056
Max. Drawdown Duration      196 days 00:00:00
Avg. Drawdown Duration       79 days 00:00:00
# Trades                                   11
Win Rate [%]                        81.818182
Best Trade [%]                       3.091036
Worst Trade [%]                     -0.984487
Avg. Trade [%]                       0.356174
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          21 days 00:00:00
Profit Factor                        3.730109
Expectancy [%]                       0.360957
SQN                                  1.155581
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;5;4;"Start                     2019-02-17 20:59...
End                       2020-06-24 03:59...
Duration                    492 days 07:00:00
Exposure Time [%]                   66.666667
Equity Final [$]               104926231.6178
Equity Peak [$]                105189204.6278
Return [%]                           4.926232
Buy & Hold Return [%]               -1.394797
Return (Ann.) [%]                   27.605872
Volatility (Ann.) [%]               15.032523
Sharpe Ratio                          1.83641
Sortino Ratio                        7.471113
Calmar Ratio                        15.229706
Max. Drawdown [%]                   -1.812633
Avg. Drawdown [%]                   -0.843373
Max. Drawdown Duration      343 days 00:00:00
Avg. Drawdown Duration      110 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                       3.091036
Worst Trade [%]                     -0.469859
Avg. Trade [%]                       0.370588
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                        5.347276
Expectancy [%]                       0.374525
SQN                                  1.457061
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
