;sma1;sma2;output
0;1;2;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   97.660819
Equity Final [$]             790858517.550395
Equity Peak [$]             1326753500.002015
Return [%]                         690.858518
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                 8160.275015
Volatility (Ann.) [%]          3540052.081436
Sharpe Ratio                         0.002305
Sortino Ratio                        43.29307
Calmar Ratio                        101.23016
Max. Drawdown [%]                  -80.611105
Avg. Drawdown [%]                  -38.170953
Max. Drawdown Duration      567 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   79
Win Rate [%]                        36.708861
Best Trade [%]                     107.410817
Worst Trade [%]                     -42.61734
Avg. Trade [%]                       2.652218
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                         1.92233
Expectancy [%]                       6.172587
SQN                                  0.791116
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   97.660819
Equity Final [$]            1510367004.232352
Equity Peak [$]             2241351887.269542
Return [%]                        1410.367004
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                32766.618305
Volatility (Ann.) [%]          11175876.73556
Sharpe Ratio                         0.002932
Sortino Ratio                      182.954943
Calmar Ratio                       420.409909
Max. Drawdown [%]                  -77.939691
Avg. Drawdown [%]                  -36.288413
Max. Drawdown Duration      455 days 00:00:00
Avg. Drawdown Duration      106 days 00:00:00
# Trades                                   53
Win Rate [%]                        39.622642
Best Trade [%]                     296.252822
Worst Trade [%]                     -42.61734
Avg. Trade [%]                       5.255995
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        2.573759
Expectancy [%]                      13.084751
SQN                                  0.873319
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;4;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   97.076023
Equity Final [$]             225480730.427049
Equity Peak [$]              358062032.815048
Return [%]                          125.48073
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                  467.169825
Volatility (Ann.) [%]           239509.566586
Sharpe Ratio                         0.001951
Sortino Ratio                        2.349238
Calmar Ratio                         5.194335
Max. Drawdown [%]                  -89.938324
Avg. Drawdown [%]                  -44.570841
Max. Drawdown Duration      476 days 00:00:00
Avg. Drawdown Duration      223 days 00:00:00
# Trades                                   45
Win Rate [%]                             40.0
Best Trade [%]                     265.846501
Worst Trade [%]                    -58.832426
Avg. Trade [%]                       1.823232
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          26 days 00:00:00
Profit Factor                        2.025635
Expectancy [%]                      10.649169
SQN                                  0.372573
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;5;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   96.491228
Equity Final [$]            2312266280.086809
Equity Peak [$]             2312266280.086809
Return [%]                         2212.26628
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                81472.311773
Volatility (Ann.) [%]         20335828.458749
Sharpe Ratio                         0.004006
Sortino Ratio                      485.945844
Calmar Ratio                       1169.38875
Max. Drawdown [%]                  -69.670853
Avg. Drawdown [%]                  -28.525522
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       71 days 00:00:00
# Trades                                   33
Win Rate [%]                        42.424242
Best Trade [%]                     401.764706
Worst Trade [%]                     -42.61734
Avg. Trade [%]                       9.985259
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                        3.538139
Expectancy [%]                      23.998414
SQN                                  2.187935
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
4;1;6;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   95.321637
Equity Final [$]           29696721929.836842
Equity Peak [$]            35874802815.275719
Return [%]                        29596.72193
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]             18967114.246987
Volatility (Ann.) [%]       3127851499.262642
Sharpe Ratio                         0.006064
Sortino Ratio                   141767.672307
Calmar Ratio                    319140.932576
Max. Drawdown [%]                  -59.431782
Avg. Drawdown [%]                  -14.894822
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       43 days 00:00:00
# Trades                                   22
Win Rate [%]                        54.545455
Best Trade [%]                     505.515917
Worst Trade [%]                    -29.738185
Avg. Trade [%]                      29.537599
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                       11.972809
Expectancy [%]                      55.356963
SQN                                  2.049786
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
5;1;7;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]           26039992615.346424
Equity Peak [$]            31457330630.439934
Return [%]                       25939.992615
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]             14328127.614279
Volatility (Ann.) [%]         2218045866.0239
Sharpe Ratio                          0.00646
Sortino Ratio                    110012.16083
Calmar Ratio                    239626.003273
Max. Drawdown [%]                  -59.793709
Avg. Drawdown [%]                  -15.686241
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       45 days 00:00:00
# Trades                                   19
Win Rate [%]                        52.631579
Best Trade [%]                    1168.285673
Worst Trade [%]                    -29.738185
Avg. Trade [%]                      34.010551
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          53 days 00:00:00
Profit Factor                       21.129124
Expectancy [%]                       92.22976
SQN                                  1.953486
_strategy                            SmaCross
_equity_curve                             ...
_trades                               Size...
dtype: object"
6;1;8;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]            6098901056.264142
Equity Peak [$]            14947916848.293798
Return [%]                        5998.901056
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]               646483.673228
Volatility (Ann.) [%]        185435982.450708
Sharpe Ratio                         0.003486
Sortino Ratio                     3974.500367
Calmar Ratio                      7856.044564
Max. Drawdown [%]                  -82.291243
Avg. Drawdown [%]                  -21.391062
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       65 days 00:00:00
# Trades                                   19
Win Rate [%]                        52.631579
Best Trade [%]                     519.772956
Worst Trade [%]                    -29.058149
Avg. Trade [%]                       24.15397
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          53 days 00:00:00
Profit Factor                       11.203558
Expectancy [%]                      52.276662
SQN                                  1.327103
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
7;1;9;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   84.210526
Equity Final [$]             2494314859.69184
Equity Peak [$]             8790322306.829704
Return [%]                         2394.31486
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                 95795.13591
Volatility (Ann.) [%]         32158778.476576
Sharpe Ratio                         0.002979
Sortino Ratio                      564.890123
Calmar Ratio                      1164.098782
Max. Drawdown [%]                  -82.291243
Avg. Drawdown [%]                  -21.407717
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration       76 days 00:00:00
# Trades                                   17
Win Rate [%]                        52.941176
Best Trade [%]                     519.772956
Worst Trade [%]                    -29.058149
Avg. Trade [%]                      20.829674
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          59 days 00:00:00
Profit Factor                        7.822732
Expectancy [%]                      49.610539
SQN                                  0.909695
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
8;1;10;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   83.040936
Equity Final [$]            1455073680.505793
Equity Peak [$]             5127887757.261341
Return [%]                        1355.073681
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                30251.586802
Volatility (Ann.) [%]         11727910.312559
Sharpe Ratio                         0.002579
Sortino Ratio                      171.132089
Calmar Ratio                       367.616111
Max. Drawdown [%]                  -82.291243
Avg. Drawdown [%]                  -32.080092
Max. Drawdown Duration      427 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   15
Win Rate [%]                        53.333333
Best Trade [%]                     519.772956
Worst Trade [%]                    -29.058149
Avg. Trade [%]                      19.543417
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          66 days 00:00:00
Profit Factor                         6.66588
Expectancy [%]                      47.648714
SQN                                  0.877029
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;1;11;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    82.45614
Equity Final [$]             1631008884.94959
Equity Peak [$]              8925829699.76465
Return [%]                        1531.008885
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                38625.013239
Volatility (Ann.) [%]         15239529.533373
Sharpe Ratio                         0.002535
Sortino Ratio                      220.450626
Calmar Ratio                       464.599698
Max. Drawdown [%]                  -83.136113
Avg. Drawdown [%]                  -27.861564
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                     519.772956
Worst Trade [%]                    -33.632189
Avg. Trade [%]                       23.95552
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          76 days 00:00:00
Profit Factor                        8.161542
Expectancy [%]                      55.236078
SQN                                  0.540929
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
10;1;12;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    82.45614
Equity Final [$]            1835839835.797581
Equity Peak [$]              9448698003.64539
Return [%]                        1735.839836
Buy & Hold Return [%]              403.703704
Return (Ann.) [%]                49749.298751
Volatility (Ann.) [%]         19017143.695955
Sharpe Ratio                         0.002616
Sortino Ratio                      285.563522
Calmar Ratio                       604.551552
Max. Drawdown [%]                  -82.291243
Avg. Drawdown [%]                  -27.784758
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration       81 days 00:00:00
# Trades                                   15
Win Rate [%]                        46.666667
Best Trade [%]                     519.772956
Worst Trade [%]                    -20.730374
Avg. Trade [%]                      21.410334
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          66 days 00:00:00
Profit Factor                        8.444324
Expectancy [%]                        48.8137
SQN                                  0.595416
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
