;sma1;sma2;output
0;1;2;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   75.438596
Equity Final [$]            2529916107.059051
Equity Peak [$]             3446321301.610513
Return [%]                        2429.916107
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                98740.313882
Volatility (Ann.) [%]          7244703.240035
Sharpe Ratio                         0.013629
Sortino Ratio                      784.567874
Calmar Ratio                      1663.126218
Max. Drawdown [%]                  -59.370307
Avg. Drawdown [%]                  -23.518389
Max. Drawdown Duration      637 days 00:00:00
Avg. Drawdown Duration      138 days 00:00:00
# Trades                                   40
Win Rate [%]                             42.5
Best Trade [%]                     107.410817
Worst Trade [%]                    -22.095894
Avg. Trade [%]                       8.412074
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          16 days 00:00:00
Profit Factor                        3.442486
Expectancy [%]                       12.75352
SQN                                  1.268811
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
1;1;3;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   68.421053
Equity Final [$]             3435158501.33532
Equity Peak [$]              4606207612.70437
Return [%]                        3335.158501
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               189781.605117
Volatility (Ann.) [%]         13445395.368761
Sharpe Ratio                         0.014115
Sortino Ratio                     1538.603592
Calmar Ratio                      3654.587051
Max. Drawdown [%]                  -51.929699
Avg. Drawdown [%]                  -29.165447
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      121 days 00:00:00
# Trades                                   27
Win Rate [%]                        40.740741
Best Trade [%]                     296.252822
Worst Trade [%]                    -22.095894
Avg. Trade [%]                      13.995293
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                        4.833312
Expectancy [%]                      25.441181
SQN                                  1.190355
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
2;1;4;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   64.912281
Equity Final [$]             1418637460.96068
Equity Peak [$]             1575418354.378652
Return [%]                        1318.637461
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                28652.321907
Volatility (Ann.) [%]           1653110.27768
Sharpe Ratio                         0.017332
Sortino Ratio                      226.773171
Calmar Ratio                       605.853092
Max. Drawdown [%]                  -47.292524
Avg. Drawdown [%]                  -31.254348
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      140 days 00:00:00
# Trades                                   23
Win Rate [%]                        39.130435
Best Trade [%]                     265.846501
Worst Trade [%]                    -22.943757
Avg. Trade [%]                      12.222869
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                        4.351863
Expectancy [%]                       23.98826
SQN                                  1.442585
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
3;1;5;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   57.894737
Equity Final [$]              3529642164.3808
Equity Peak [$]              3772587457.74115
Return [%]                        3429.642164
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               201103.559417
Volatility (Ann.) [%]         13308997.480416
Sharpe Ratio                          0.01511
Sortino Ratio                     1682.426776
Calmar Ratio                      3996.326642
Max. Drawdown [%]                  -50.322103
Avg. Drawdown [%]                  -24.460196
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration      100 days 00:00:00
# Trades                                   17
Win Rate [%]                        47.058824
Best Trade [%]                     401.764706
Worst Trade [%]                    -21.595385
Avg. Trade [%]                      23.322688
Max. Trade Duration         119 days 00:00:00
Avg. Trade Duration          34 days 00:00:00
Profit Factor                        7.467258
Expectancy [%]                      44.320961
SQN                                  2.082116
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
4;1;6;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   53.216374
Equity Final [$]           11197334880.703104
Equity Peak [$]            13266232243.486332
Return [%]                       11097.334881
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]              2364955.017907
Volatility (Ann.) [%]        191286536.821541
Sharpe Ratio                         0.012363
Sortino Ratio                    20640.112209
Calmar Ratio                     70464.093588
Max. Drawdown [%]                  -33.562555
Avg. Drawdown [%]                  -17.541752
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       72 days 00:00:00
# Trades                                   11
Win Rate [%]                        63.636364
Best Trade [%]                     505.515917
Worst Trade [%]                    -12.647197
Avg. Trade [%]                      53.561785
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          51 days 00:00:00
Profit Factor                        29.62742
Expectancy [%]                      97.362159
SQN                                  1.742341
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
5;1;7;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    53.80117
Equity Final [$]           13666613140.883509
Equity Peak [$]            16191751505.184357
Return [%]                       13566.613141
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]              3618782.129646
Volatility (Ann.) [%]        288269860.615685
Sharpe Ratio                         0.012553
Sortino Ratio                     31902.08013
Calmar Ratio                    107454.222197
Max. Drawdown [%]                  -33.677431
Avg. Drawdown [%]                  -17.089414
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       69 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                    1168.285673
Worst Trade [%]                     -9.268055
Avg. Trade [%]                      63.518197
Max. Trade Duration         175 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                       52.801635
Expectancy [%]                     165.691841
SQN                                  1.596571
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
6;1;8;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    53.80117
Equity Final [$]            5624795720.019426
Equity Peak [$]            12077740211.396774
Return [%]                         5524.79572
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               543911.380026
Volatility (Ann.) [%]         63109433.538286
Sharpe Ratio                         0.008619
Sortino Ratio                     3977.007979
Calmar Ratio                       8247.53681
Max. Drawdown [%]                  -65.948342
Avg. Drawdown [%]                  -20.191959
Max. Drawdown Duration      224 days 00:00:00
Avg. Drawdown Duration       83 days 00:00:00
# Trades                                   10
Win Rate [%]                             60.0
Best Trade [%]                     519.772956
Worst Trade [%]                    -12.917202
Avg. Trade [%]                      49.627244
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                       32.590257
Expectancy [%]                      96.455748
SQN                                  1.619845
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
7;1;31;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   58.479532
Equity Final [$]             387572360.117608
Equity Peak [$]             1227623306.900612
Return [%]                          287.57236
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                 1702.356789
Volatility (Ann.) [%]           260378.927979
Sharpe Ratio                         0.006538
Sortino Ratio                       10.855439
Calmar Ratio                         23.40312
Max. Drawdown [%]                  -72.740592
Avg. Drawdown [%]                  -33.428005
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      114 days 00:00:00
# Trades                                   12
Win Rate [%]                        33.333333
Best Trade [%]                     460.784595
Worst Trade [%]                    -21.595385
Avg. Trade [%]                      11.951367
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                           5.647
Expectancy [%]                      37.334548
SQN                                  0.896449
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
8;1;32;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   57.309942
Equity Final [$]              377895783.77215
Equity Peak [$]             1196973054.484105
Return [%]                         277.895784
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                 1607.663601
Volatility (Ann.) [%]           225500.507539
Sharpe Ratio                         0.007129
Sortino Ratio                        10.31017
Calmar Ratio                        22.101327
Max. Drawdown [%]                  -72.740592
Avg. Drawdown [%]                  -34.916268
Max. Drawdown Duration      462 days 00:00:00
Avg. Drawdown Duration      130 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     460.784595
Worst Trade [%]                    -28.226932
Avg. Trade [%]                      12.846571
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          56 days 00:00:00
Profit Factor                        5.691635
Expectancy [%]                      40.797331
SQN                                   0.88476
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
9;1;33;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    54.97076
Equity Final [$]             419629240.642249
Equity Peak [$]             1329162471.503349
Return [%]                         319.629241
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                 2035.545111
Volatility (Ann.) [%]           276593.480926
Sharpe Ratio                         0.007359
Sortino Ratio                       13.105262
Calmar Ratio                         27.98362
Max. Drawdown [%]                  -72.740592
Avg. Drawdown [%]                  -31.268433
Max. Drawdown Duration      378 days 00:00:00
Avg. Drawdown Duration      109 days 00:00:00
# Trades                                   10
Win Rate [%]                             40.0
Best Trade [%]                     460.784595
Worst Trade [%]                    -28.226932
Avg. Trade [%]                      15.421463
Max. Trade Duration         217 days 00:00:00
Avg. Trade Duration          59 days 00:00:00
Profit Factor                        6.348462
Expectancy [%]                      45.866716
SQN                                   0.91887
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
10;2;3;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   67.251462
Equity Final [$]            1068365947.510622
Equity Peak [$]             2045075649.296159
Return [%]                         968.365948
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                15596.612143
Volatility (Ann.) [%]           537738.884582
Sharpe Ratio                         0.029004
Sortino Ratio                      120.317671
Calmar Ratio                       273.212173
Max. Drawdown [%]                  -57.086081
Avg. Drawdown [%]                  -23.030837
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      112 days 00:00:00
# Trades                                   27
Win Rate [%]                        44.444444
Best Trade [%]                     293.411026
Worst Trade [%]                    -29.677755
Avg. Trade [%]                       9.169354
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                        3.160823
Expectancy [%]                      19.081637
SQN                                  0.671185
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
11;2;4;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    63.74269
Equity Final [$]              953658132.55969
Equity Peak [$]              2297492126.87981
Return [%]                         853.658133
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]                12217.331148
Volatility (Ann.) [%]           721376.297868
Sharpe Ratio                         0.016936
Sortino Ratio                       83.117346
Calmar Ratio                        168.23618
Max. Drawdown [%]                  -72.620117
Avg. Drawdown [%]                  -32.585262
Max. Drawdown Duration      252 days 00:00:00
Avg. Drawdown Duration      159 days 00:00:00
# Trades                                   22
Win Rate [%]                        45.454545
Best Trade [%]                      263.22277
Worst Trade [%]                    -63.105218
Avg. Trade [%]                       10.79441
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                         3.85691
Expectancy [%]                      26.458328
SQN                                  0.438709
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
12;2;5;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   59.064327
Equity Final [$]            4091562610.645895
Equity Peak [$]             4844684039.153445
Return [%]                        3991.562611
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               275692.348649
Volatility (Ann.) [%]         15759651.586232
Sharpe Ratio                         0.017494
Sortino Ratio                      2211.34193
Calmar Ratio                      5572.834625
Max. Drawdown [%]                  -49.470757
Avg. Drawdown [%]                  -22.197533
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      108 days 00:00:00
# Trades                                   12
Win Rate [%]                        58.333333
Best Trade [%]                     364.737843
Worst Trade [%]                    -31.141152
Avg. Trade [%]                      36.246106
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                       10.728279
Expectancy [%]                      63.509027
SQN                                   2.03707
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
13;2;6;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                    54.97076
Equity Final [$]            2633371155.278858
Equity Peak [$]             5654458273.103039
Return [%]                        2533.371155
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               107568.131414
Volatility (Ann.) [%]          7730909.140836
Sharpe Ratio                         0.013914
Sortino Ratio                      763.262071
Calmar Ratio                      1631.096822
Max. Drawdown [%]                  -65.948342
Avg. Drawdown [%]                  -25.590385
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   11
Win Rate [%]                        72.727273
Best Trade [%]                     364.737843
Worst Trade [%]                    -31.141152
Avg. Trade [%]                      34.628641
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          53 days 00:00:00
Profit Factor                        14.13287
Expectancy [%]                      55.679806
SQN                                  2.608737
_strategy                            SmaCross
_equity_curve                             ...
_trades                              Size ...
dtype: object"
14;2;7;"Start                     2018-07-29 20:59...
End                       2021-10-31 20:59...
Duration                   1190 days 00:00:00
Exposure Time [%]                   54.385965
Equity Final [$]            3381396910.240077
Equity Peak [$]             9288918228.211859
Return [%]                         3281.39691
Buy & Hold Return [%]              439.115646
Return (Ann.) [%]               183494.728123
Volatility (Ann.) [%]         22926880.563834
Sharpe Ratio                         0.008003
Sortino Ratio                     1299.157873
Calmar Ratio                      2782.400921
Max. Drawdown [%]                  -65.948342
Avg. Drawdown [%]                  -22.230975
Max. Drawdown Duration      420 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   10
Win Rate [%]                             50.0
Best Trade [%]                     519.772956
Worst Trade [%]                    -31.141152
Avg. Trade [%]                       42.20328
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          59 days 00:00:00
Profit Factor                        18.44915
Expectancy [%]                      90.316769
SQN                                  1.253412
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
