;sma1;sma2;output
0;1;2;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     73.1844
Equity Final [$]                  5.01709e+08
Equity Peak [$]                   7.98818e+08
Return [%]                            401.709
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                        2581
Volatility (Ann.) [%]                 42509.7
Sharpe Ratio                        0.0607156
Sortino Ratio                         22.6721
Calmar Ratio                          45.3543
Max. Drawdown [%]                    -56.9075
Avg. Drawdown [%]                    -23.2172
Max. Drawdown Duration      329 days 00:00:00
Avg. Drawdown Duration      117 days 00:00:00
# Trades                                   44
Win Rate [%]                          45.4545
Best Trade [%]                        68.7668
Worst Trade [%]                      -34.8633
Avg. Trade [%]                        3.65023
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          14 days 00:00:00
Profit Factor                         2.10447
Expectancy [%]                        5.69645
SQN                                  0.874189
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     62.5698
Equity Final [$]                  8.25262e+08
Equity Peak [$]                   1.51292e+09
Return [%]                            725.262
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     7296.53
Volatility (Ann.) [%]                  121522
Sharpe Ratio                        0.0600431
Sortino Ratio                         62.8588
Calmar Ratio                          125.934
Max. Drawdown [%]                    -57.9393
Avg. Drawdown [%]                    -22.1171
Max. Drawdown Duration      294 days 00:00:00
Avg. Drawdown Duration      115 days 00:00:00
# Trades                                   27
Win Rate [%]                          59.2593
Best Trade [%]                        116.108
Worst Trade [%]                      -34.8633
Avg. Trade [%]                        8.13041
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         3.06856
Expectancy [%]                        12.0807
SQN                                  0.887036
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     61.4525
Equity Final [$]                  1.11778e+08
Equity Peak [$]                   1.85743e+08
Return [%]                            11.7775
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     25.4874
Volatility (Ann.) [%]                 1797.31
Sharpe Ratio                        0.0141808
Sortino Ratio                        0.188968
Calmar Ratio                         0.325131
Max. Drawdown [%]                     -78.391
Avg. Drawdown [%]                    -51.5217
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      397 days 00:00:00
# Trades                                   25
Win Rate [%]                               44
Best Trade [%]                        69.3326
Worst Trade [%]                      -34.8633
Avg. Trade [%]                       0.446355
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          24 days 00:00:00
Profit Factor                          1.4101
Expectancy [%]                        3.29235
SQN                                  0.120357
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     56.4246
Equity Final [$]                  1.22681e+08
Equity Peak [$]                   1.85039e+08
Return [%]                            22.6812
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     51.7148
Volatility (Ann.) [%]                 2181.59
Sharpe Ratio                        0.0237051
Sortino Ratio                        0.385342
Calmar Ratio                         0.708002
Max. Drawdown [%]                    -73.0433
Avg. Drawdown [%]                    -49.3535
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      397 days 00:00:00
# Trades                                   19
Win Rate [%]                          52.6316
Best Trade [%]                        46.8183
Worst Trade [%]                      -34.8633
Avg. Trade [%]                         1.0817
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                         1.47864
Expectancy [%]                        3.92881
SQN                                  0.252064
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     56.9832
Equity Final [$]                  1.43942e+08
Equity Peak [$]                   2.17106e+08
Return [%]                            43.9416
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     110.164
Volatility (Ann.) [%]                 3052.74
Sharpe Ratio                         0.036087
Sortino Ratio                        0.830105
Calmar Ratio                           1.5215
Max. Drawdown [%]                    -72.4047
Avg. Drawdown [%]                    -43.9831
Max. Drawdown Duration      854 days 00:00:00
Avg. Drawdown Duration      296 days 00:00:00
# Trades                                   18
Win Rate [%]                          44.4444
Best Trade [%]                         88.487
Worst Trade [%]                      -34.8633
Avg. Trade [%]                        2.04415
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          33 days 00:00:00
Profit Factor                         1.70331
Expectancy [%]                        5.91409
SQN                                   0.40418
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;18;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     46.9274
Equity Final [$]                  1.03807e+08
Equity Peak [$]                   2.34676e+08
Return [%]                            3.80697
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     7.91643
Volatility (Ann.) [%]                 4439.02
Sharpe Ratio                       0.00178337
Sortino Ratio                       0.0595553
Calmar Ratio                         0.106594
Max. Drawdown [%]                     -74.267
Avg. Drawdown [%]                    -39.1042
Max. Drawdown Duration      819 days 00:00:00
Avg. Drawdown Duration      219 days 00:00:00
# Trades                                   11
Win Rate [%]                          27.2727
Best Trade [%]                        247.152
Worst Trade [%]                      -33.7171
Avg. Trade [%]                        0.34024
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                         2.08272
Expectancy [%]                        13.7207
SQN                                 0.0371718
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;19;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     46.3687
Equity Final [$]                  1.08405e+08
Equity Peak [$]                   2.25963e+08
Return [%]                            8.40505
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                      17.888
Volatility (Ann.) [%]                  4781.9
Sharpe Ratio                       0.00374078
Sortino Ratio                        0.135055
Calmar Ratio                         0.234409
Max. Drawdown [%]                    -76.3111
Avg. Drawdown [%]                    -38.8801
Max. Drawdown Duration      819 days 00:00:00
Avg. Drawdown Duration      219 days 00:00:00
# Trades                                   11
Win Rate [%]                          27.2727
Best Trade [%]                        247.152
Worst Trade [%]                      -34.1165
Avg. Trade [%]                       0.736375
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                         2.14887
Expectancy [%]                        14.1108
SQN                                 0.0843416
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;20;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     43.5754
Equity Final [$]                   1.1429e+08
Equity Peak [$]                   2.38726e+08
Return [%]                            14.2904
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                      31.307
Volatility (Ann.) [%]                 4780.02
Sharpe Ratio                       0.00654955
Sortino Ratio                        0.244043
Calmar Ratio                         0.417576
Max. Drawdown [%]                    -74.9731
Avg. Drawdown [%]                      -38.21
Max. Drawdown Duration      819 days 00:00:00
Avg. Drawdown Duration      219 days 00:00:00
# Trades                                   10
Win Rate [%]                               30
Best Trade [%]                        247.152
Worst Trade [%]                      -34.1165
Avg. Trade [%]                        1.34468
Max. Trade Duration         182 days 00:00:00
Avg. Trade Duration          48 days 00:00:00
Profit Factor                         2.24955
Expectancy [%]                        15.8034
SQN                                  0.137436
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
8;2;3;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     63.1285
Equity Final [$]                  1.00769e+08
Equity Peak [$]                   2.04706e+08
Return [%]                           0.768976
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     1.57429
Volatility (Ann.) [%]                 1325.57
Sharpe Ratio                       0.00118764
Sortino Ratio                       0.0119626
Calmar Ratio                         0.021235
Max. Drawdown [%]                    -74.1364
Avg. Drawdown [%]                    -46.7739
Max. Drawdown Duration      854 days 00:00:00
Avg. Drawdown Duration      298 days 00:00:00
# Trades                                   30
Win Rate [%]                               50
Best Trade [%]                        119.913
Worst Trade [%]                      -42.3395
Avg. Trade [%]                      0.0255378
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          20 days 00:00:00
Profit Factor                         1.45102
Expectancy [%]                        3.32076
SQN                                0.00599443
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
9;2;4;"Start                     2018-06-03 20:59...
End                       2021-10-31 20:59...
Duration                   1246 days 00:00:00
Exposure Time [%]                     58.6592
Equity Final [$]                  1.06031e+08
Equity Peak [$]                   1.68492e+08
Return [%]                            6.03111
Buy & Hold Return [%]                 26.8212
Return (Ann.) [%]                     12.6837
Volatility (Ann.) [%]                    1487
Sharpe Ratio                       0.00852976
Sortino Ratio                        0.095538
Calmar Ratio                         0.164262
Max. Drawdown [%]                    -77.2163
Avg. Drawdown [%]                      -52.49
Max. Drawdown Duration      931 days 00:00:00
Avg. Drawdown Duration      397 days 00:00:00
# Trades                                   22
Win Rate [%]                          54.5455
Best Trade [%]                        69.3326
Worst Trade [%]                      -42.3395
Avg. Trade [%]                       0.266547
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                          1.4359
Expectancy [%]                        3.58506
SQN                                 0.0671159
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
