;sma1;sma2;output
0;2;5;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   88.461538
Equity Final [$]              336110157.04841
Equity Peak [$]               418294176.99351
Return [%]                         236.110157
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                 1037.250221
Volatility (Ann.) [%]           183178.957698
Sharpe Ratio                         0.005662
Sortino Ratio                        7.090557
Calmar Ratio                        12.389632
Max. Drawdown [%]                  -83.719212
Avg. Drawdown [%]                  -40.339963
Max. Drawdown Duration      819 days 00:00:00
Avg. Drawdown Duration      185 days 00:00:00
# Trades                                   37
Win Rate [%]                        45.945946
Best Trade [%]                     106.165374
Worst Trade [%]                    -30.151382
Avg. Trade [%]                       3.330667
Max. Trade Duration          77 days 00:00:00
Avg. Trade Duration          31 days 00:00:00
Profit Factor                        1.993612
Expectancy [%]                       6.455795
SQN                                  1.329996
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;16;15;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   83.516484
Equity Final [$]              373801886.81629
Equity Peak [$]               527112989.46229
Return [%]                         273.801887
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                 1307.438284
Volatility (Ann.) [%]           166068.222769
Sharpe Ratio                         0.007873
Sortino Ratio                        8.676737
Calmar Ratio                        14.948552
Max. Drawdown [%]                  -87.462535
Avg. Drawdown [%]                  -22.320422
Max. Drawdown Duration      847 days 00:00:00
Avg. Drawdown Duration      126 days 00:00:00
# Trades                                   27
Win Rate [%]                        51.851852
Best Trade [%]                     190.083514
Worst Trade [%]                    -72.148751
Avg. Trade [%]                        5.00475
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          40 days 00:00:00
Profit Factor                        2.716054
Expectancy [%]                      14.485101
SQN                                  0.883308
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;17;14;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   84.065934
Equity Final [$]              556184337.51602
Equity Peak [$]               809433085.42172
Return [%]                         456.184338
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                 3022.713336
Volatility (Ann.) [%]           765294.399332
Sharpe Ratio                          0.00395
Sortino Ratio                       19.043285
Calmar Ratio                        34.230405
Max. Drawdown [%]                  -88.304925
Avg. Drawdown [%]                   -27.64557
Max. Drawdown Duration      532 days 00:00:00
Avg. Drawdown Duration      113 days 00:00:00
# Trades                                   17
Win Rate [%]                        58.823529
Best Trade [%]                     190.083514
Worst Trade [%]                    -52.351079
Avg. Trade [%]                      10.620699
Max. Trade Duration         196 days 00:00:00
Avg. Trade Duration          63 days 00:00:00
Profit Factor                        3.321064
Expectancy [%]                      22.595234
SQN                                  1.118291
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;17;16;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   82.967033
Equity Final [$]              207078227.89142
Equity Peak [$]               235168204.63702
Return [%]                         107.078228
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                  330.532441
Volatility (Ann.) [%]            32637.961512
Sharpe Ratio                         0.010127
Sortino Ratio                        2.041941
Calmar Ratio                          3.58268
Max. Drawdown [%]                  -92.258427
Avg. Drawdown [%]                  -22.687094
Max. Drawdown Duration      546 days 00:00:00
Avg. Drawdown Duration      101 days 00:00:00
# Trades                                   25
Win Rate [%]                             52.0
Best Trade [%]                     220.722096
Worst Trade [%]                    -60.985812
Avg. Trade [%]                        2.95451
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                        2.333424
Expectancy [%]                      11.755208
SQN                                  0.688603
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;17;22;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   82.417582
Equity Final [$]              412738605.91368
Equity Peak [$]               474529282.02728
Return [%]                         312.738606
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                 1616.852622
Volatility (Ann.) [%]           302823.218069
Sharpe Ratio                         0.005339
Sortino Ratio                       10.614809
Calmar Ratio                        21.987855
Max. Drawdown [%]                  -73.533895
Avg. Drawdown [%]                  -47.765123
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      343 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     554.018023
Worst Trade [%]                    -44.834111
Avg. Trade [%]                      13.754992
Max. Trade Duration         266 days 00:00:00
Avg. Trade Duration          95 days 00:00:00
Profit Factor                        6.580278
Expectancy [%]                      49.237571
SQN                                  1.369702
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;18;21;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   81.868132
Equity Final [$]              265877698.02714
Equity Peak [$]               326959373.39654
Return [%]                         165.877698
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                  610.717873
Volatility (Ann.) [%]           133026.135221
Sharpe Ratio                         0.004591
Sortino Ratio                        3.964783
Calmar Ratio                         7.787414
Max. Drawdown [%]                  -78.423707
Avg. Drawdown [%]                  -48.345395
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      343 days 00:00:00
# Trades                                   13
Win Rate [%]                        46.153846
Best Trade [%]                     527.638424
Worst Trade [%]                    -48.243622
Avg. Trade [%]                       7.812183
Max. Trade Duration         259 days 00:00:00
Avg. Trade Duration          80 days 00:00:00
Profit Factor                         4.79665
Expectancy [%]                      36.704964
SQN                                  0.988627
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;18;22;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   81.868132
Equity Final [$]              143971697.39295
Equity Peak [$]               234797781.20455
Return [%]                          43.971697
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                  107.693978
Volatility (Ann.) [%]            37794.075772
Sharpe Ratio                         0.002849
Sortino Ratio                        0.667602
Calmar Ratio                         1.312063
Max. Drawdown [%]                  -82.079889
Avg. Drawdown [%]                  -77.789838
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      511 days 00:00:00
# Trades                                   11
Win Rate [%]                        36.363636
Best Trade [%]                     554.018023
Worst Trade [%]                    -46.987154
Avg. Trade [%]                       3.368646
Max. Trade Duration         266 days 00:00:00
Avg. Trade Duration          95 days 00:00:00
Profit Factor                        4.156754
Expectancy [%]                      39.959098
SQN                                  0.243831
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;19;20;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   81.318681
Equity Final [$]              275161017.98559
Equity Peak [$]               302058092.05179
Return [%]                         175.161018
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                  661.358372
Volatility (Ann.) [%]           132321.939028
Sharpe Ratio                         0.004998
Sortino Ratio                        4.313635
Calmar Ratio                         8.676077
Max. Drawdown [%]                  -76.227812
Avg. Drawdown [%]                   -47.61343
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      343 days 00:00:00
# Trades                                   18
Win Rate [%]                        44.444444
Best Trade [%]                     527.638424
Worst Trade [%]                    -34.349621
Avg. Trade [%]                       5.893374
Max. Trade Duration         259 days 00:00:00
Avg. Trade Duration          58 days 00:00:00
Profit Factor                        4.243253
Expectancy [%]                      26.342115
SQN                                  1.177663
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;19;21;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                   81.318681
Equity Final [$]              209823331.19425
Equity Peak [$]               258027301.19165
Return [%]                         109.823331
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                   342.05467
Volatility (Ann.) [%]            86608.013628
Sharpe Ratio                         0.003949
Sortino Ratio                        2.189158
Calmar Ratio                         4.164377
Max. Drawdown [%]                  -82.138265
Avg. Drawdown [%]                   -49.58358
Max. Drawdown Duration      840 days 00:00:00
Avg. Drawdown Duration      343 days 00:00:00
# Trades                                   13
Win Rate [%]                        53.846154
Best Trade [%]                     527.638424
Worst Trade [%]                    -47.769937
Avg. Trade [%]                       5.866361
Max. Trade Duration         259 days 00:00:00
Avg. Trade Duration          80 days 00:00:00
Profit Factor                        4.546917
Expectancy [%]                      35.203243
SQN                                  0.801921
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;21;23;"Start                     2018-05-06 20:59...
End                       2021-10-24 20:59...
Duration                   1267 days 00:00:00
Exposure Time [%]                    80.21978
Equity Final [$]              166689076.72528
Equity Peak [$]               228131816.45158
Return [%]                          66.689077
Buy & Hold Return [%]               24.209382
Return (Ann.) [%]                  178.633642
Volatility (Ann.) [%]            51126.532227
Sharpe Ratio                         0.003494
Sortino Ratio                        1.116445
Calmar Ratio                         2.459787
Max. Drawdown [%]                  -72.621588
Avg. Drawdown [%]                  -40.456274
Max. Drawdown Duration      672 days 00:00:00
Avg. Drawdown Duration      201 days 00:00:00
# Trades                                   14
Win Rate [%]                             50.0
Best Trade [%]                     441.990831
Worst Trade [%]                    -51.361581
Avg. Trade [%]                       3.854567
Max. Trade Duration         266 days 00:00:00
Avg. Trade Duration          73 days 00:00:00
Profit Factor                        3.587218
Expectancy [%]                      26.514612
SQN                                  0.327856
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
