;sma1;sma2;output
0;1;2;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     74.8634
Equity Final [$]                  2.00773e+08
Equity Peak [$]                   2.34502e+08
Return [%]                            100.773
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     301.565
Volatility (Ann.) [%]                 34009.6
Sharpe Ratio                       0.00886707
Sortino Ratio                         2.45335
Calmar Ratio                          4.14703
Max. Drawdown [%]                    -72.7183
Avg. Drawdown [%]                    -47.4278
Max. Drawdown Duration      784 days 00:00:00
Avg. Drawdown Duration      307 days 00:00:00
# Trades                                   48
Win Rate [%]                            31.25
Best Trade [%]                        102.483
Worst Trade [%]                       -48.897
Avg. Trade [%]                        1.43918
Max. Trade Duration          35 days 00:00:00
Avg. Trade Duration          13 days 00:00:00
Profit Factor                         1.79227
Expectancy [%]                        4.76912
SQN                                  0.478021
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
1;1;3;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     61.2022
Equity Final [$]                  2.86552e+08
Equity Peak [$]                    3.5963e+08
Return [%]                            186.552
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     716.411
Volatility (Ann.) [%]                 20950.4
Sharpe Ratio                        0.0341955
Sortino Ratio                         7.14082
Calmar Ratio                          11.6904
Max. Drawdown [%]                    -61.2818
Avg. Drawdown [%]                    -40.3293
Max. Drawdown Duration      903 days 00:00:00
Avg. Drawdown Duration      307 days 00:00:00
# Trades                                   31
Win Rate [%]                          29.0323
Best Trade [%]                        102.483
Worst Trade [%]                      -17.8053
Avg. Trade [%]                        3.41719
Max. Trade Duration          42 days 00:00:00
Avg. Trade Duration          19 days 00:00:00
Profit Factor                         2.14086
Expectancy [%]                        6.65288
SQN                                  0.922231
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
2;1;4;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     59.5628
Equity Final [$]                  1.73966e+08
Equity Peak [$]                   3.36852e+08
Return [%]                             73.966
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     201.727
Volatility (Ann.) [%]                 19904.5
Sharpe Ratio                        0.0101347
Sortino Ratio                         1.61131
Calmar Ratio                          2.79523
Max. Drawdown [%]                    -72.1684
Avg. Drawdown [%]                     -46.205
Max. Drawdown Duration      973 days 00:00:00
Avg. Drawdown Duration      310 days 00:00:00
# Trades                                   26
Win Rate [%]                          38.4615
Best Trade [%]                        102.483
Worst Trade [%]                      -49.3816
Avg. Trade [%]                        2.15241
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                          1.8695
Expectancy [%]                        7.00132
SQN                                  0.368788
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;8;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                      52.459
Equity Final [$]                  1.28284e+08
Equity Peak [$]                   1.79615e+08
Return [%]                            28.2839
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     64.3439
Volatility (Ann.) [%]                 8216.79
Sharpe Ratio                       0.00783078
Sortino Ratio                        0.468546
Calmar Ratio                          1.00825
Max. Drawdown [%]                    -63.8172
Avg. Drawdown [%]                    -50.7766
Max. Drawdown Duration      784 days 00:00:00
Avg. Drawdown Duration      371 days 00:00:00
# Trades                                   16
Win Rate [%]                            43.75
Best Trade [%]                        52.9006
Worst Trade [%]                      -33.2296
Avg. Trade [%]                        1.49834
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          35 days 00:00:00
Profit Factor                         1.63697
Expectancy [%]                        3.37887
SQN                                  0.402483
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;9;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     50.2732
Equity Final [$]                  1.42062e+08
Equity Peak [$]                   2.15397e+08
Return [%]                            42.0618
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     101.429
Volatility (Ann.) [%]                 10481.1
Sharpe Ratio                       0.00967726
Sortino Ratio                        0.734726
Calmar Ratio                           1.6462
Max. Drawdown [%]                    -61.6138
Avg. Drawdown [%]                    -46.2239
Max. Drawdown Duration      784 days 00:00:00
Avg. Drawdown Duration      277 days 00:00:00
# Trades                                   11
Win Rate [%]                          36.3636
Best Trade [%]                        59.5242
Worst Trade [%]                      -33.2296
Avg. Trade [%]                        3.24322
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          52 days 00:00:00
Profit Factor                         2.04495
Expectancy [%]                        5.62014
SQN                                  0.642535
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;10;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     49.7268
Equity Final [$]                  1.01672e+08
Equity Peak [$]                   1.71975e+08
Return [%]                            1.67175
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     3.36208
Volatility (Ann.) [%]                 5754.33
Sharpe Ratio                       0.00058427
Sortino Ratio                        0.023697
Calmar Ratio                        0.0545671
Max. Drawdown [%]                    -61.6138
Avg. Drawdown [%]                    -49.4192
Max. Drawdown Duration      791 days 00:00:00
Avg. Drawdown Duration      279 days 00:00:00
# Trades                                   12
Win Rate [%]                          33.3333
Best Trade [%]                        59.5242
Worst Trade [%]                      -33.2296
Avg. Trade [%]                       0.138256
Max. Trade Duration         112 days 00:00:00
Avg. Trade Duration          47 days 00:00:00
Profit Factor                         1.37968
Expectancy [%]                        2.56502
SQN                                  0.029639
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;2;3;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     66.1202
Equity Final [$]                  3.74139e+08
Equity Peak [$]                   5.07486e+08
Return [%]                            274.139
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     1289.74
Volatility (Ann.) [%]                 35093.7
Sharpe Ratio                        0.0367514
Sortino Ratio                         13.2315
Calmar Ratio                          27.0716
Max. Drawdown [%]                    -47.6419
Avg. Drawdown [%]                    -34.3494
Max. Drawdown Duration      798 days 00:00:00
Avg. Drawdown Duration      305 days 00:00:00
# Trades                                   34
Win Rate [%]                          38.2353
Best Trade [%]                        135.831
Worst Trade [%]                       -18.249
Avg. Trade [%]                        3.95704
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          18 days 00:00:00
Profit Factor                         2.53235
Expectancy [%]                        7.23573
SQN                                  0.927475
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;2;4;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                      57.377
Equity Final [$]                  2.61437e+08
Equity Peak [$]                   3.59115e+08
Return [%]                            161.437
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     579.914
Volatility (Ann.) [%]                 48161.3
Sharpe Ratio                        0.0120411
Sortino Ratio                          4.7484
Calmar Ratio                          7.60436
Max. Drawdown [%]                    -76.2607
Avg. Drawdown [%]                    -40.5792
Max. Drawdown Duration      882 days 00:00:00
Avg. Drawdown Duration      229 days 00:00:00
# Trades                                   25
Win Rate [%]                               40
Best Trade [%]                        202.065
Worst Trade [%]                      -48.5172
Avg. Trade [%]                        3.91894
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          23 days 00:00:00
Profit Factor                         2.38366
Expectancy [%]                        11.7083
SQN                                  0.477867
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;2;5;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     51.3661
Equity Final [$]                  3.68075e+08
Equity Peak [$]                   4.94096e+08
Return [%]                            268.075
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     1245.18
Volatility (Ann.) [%]                 88972.2
Sharpe Ratio                        0.0139952
Sortino Ratio                         10.5154
Calmar Ratio                          18.3126
Max. Drawdown [%]                     -67.996
Avg. Drawdown [%]                    -34.4055
Max. Drawdown Duration      791 days 00:00:00
Avg. Drawdown Duration      186 days 00:00:00
# Trades                                   19
Win Rate [%]                          52.6316
Best Trade [%]                        106.165
Worst Trade [%]                      -28.3948
Avg. Trade [%]                        7.09918
Max. Trade Duration          63 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                         2.87516
Expectancy [%]                        11.3004
SQN                                   1.50258
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
9;2;9;"Start                     2018-05-06 20:59...
End                       2021-10-31 20:59...
Duration                   1274 days 00:00:00
Exposure Time [%]                     49.1803
Equity Final [$]                  1.49887e+08
Equity Peak [$]                   2.44396e+08
Return [%]                            49.8873
Buy & Hold Return [%]                  26.522
Return (Ann.) [%]                     124.166
Volatility (Ann.) [%]                 11368.8
Sharpe Ratio                        0.0109216
Sortino Ratio                        0.907277
Calmar Ratio                          2.27493
Max. Drawdown [%]                    -54.5801
Avg. Drawdown [%]                    -45.7064
Max. Drawdown Duration      784 days 00:00:00
Avg. Drawdown Duration      277 days 00:00:00
# Trades                                   11
Win Rate [%]                          45.4545
Best Trade [%]                        88.7545
Worst Trade [%]                      -33.2296
Avg. Trade [%]                        3.74774
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          51 days 00:00:00
Profit Factor                          2.2306
Expectancy [%]                        7.13601
SQN                                  0.661804
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
