;sma1;sma2;output
0;1;2;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   73.571429
Equity Final [$]              1381044710.9834
Equity Peak [$]               2174499875.3773
Return [%]                        1281.044711
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                93804.080041
Volatility (Ann.) [%]          5326516.049453
Sharpe Ratio                         0.017611
Sortino Ratio                      954.428192
Calmar Ratio                      2183.031285
Max. Drawdown [%]                  -42.969645
Avg. Drawdown [%]                  -18.001144
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration       89 days 00:00:00
# Trades                                   34
Win Rate [%]                        41.176471
Best Trade [%]                      159.13829
Worst Trade [%]                    -19.432537
Avg. Trade [%]                       8.027798
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          15 days 00:00:00
Profit Factor                        3.902971
Expectancy [%]                      12.774984
SQN                                  0.776125
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
1;1;3;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   61.428571
Equity Final [$]            1111158827.498999
Equity Peak [$]               1583333675.8147
Return [%]                        1011.158827
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                53170.625434
Volatility (Ann.) [%]          2922752.346407
Sharpe Ratio                         0.018192
Sortino Ratio                      505.050609
Calmar Ratio                       1069.67643
Max. Drawdown [%]                  -49.707205
Avg. Drawdown [%]                  -23.244684
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      106 days 00:00:00
# Trades                                   21
Win Rate [%]                        57.142857
Best Trade [%]                      95.963542
Worst Trade [%]                    -16.012862
Avg. Trade [%]                      11.951402
Max. Trade Duration          49 days 00:00:00
Avg. Trade Duration          22 days 00:00:00
Profit Factor                        4.652749
Expectancy [%]                      15.361393
SQN                                  1.386778
_strategy                            SmaCross
_equity_curve                             ...
_trades                             Size  ...
dtype: object"
2;1;4;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   58.571429
Equity Final [$]               565601805.1079
Equity Peak [$]                784581510.9046
Return [%]                         465.601805
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 9060.161335
Volatility (Ann.) [%]           581179.943706
Sharpe Ratio                         0.015589
Sortino Ratio                       78.079137
Calmar Ratio                       194.828708
Max. Drawdown [%]                  -46.503215
Avg. Drawdown [%]                  -28.699286
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   17
Win Rate [%]                        47.058824
Best Trade [%]                     208.360948
Worst Trade [%]                    -21.738038
Avg. Trade [%]                       10.48797
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          27 days 00:00:00
Profit Factor                        4.351494
Expectancy [%]                      18.306964
SQN                                   1.00126
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
3;1;5;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   56.428571
Equity Final [$]               404813236.1473
Equity Peak [$]                768628690.7675
Return [%]                         304.813236
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 3730.008735
Volatility (Ann.) [%]           264221.616582
Sharpe Ratio                         0.014117
Sortino Ratio                       30.559042
Calmar Ratio                        62.948419
Max. Drawdown [%]                  -59.255003
Avg. Drawdown [%]                  -28.937304
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      125 days 00:00:00
# Trades                                   16
Win Rate [%]                             37.5
Best Trade [%]                     208.360948
Worst Trade [%]                    -21.738038
Avg. Trade [%]                       9.132328
Max. Trade Duration          56 days 00:00:00
Avg. Trade Duration          28 days 00:00:00
Profit Factor                        4.178079
Expectancy [%]                      17.134578
SQN                                  0.752778
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
4;1;6;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   54.285714
Equity Final [$]               584270618.1467
Equity Peak [$]                 846826349.592
Return [%]                         484.270618
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 9869.476107
Volatility (Ann.) [%]           605208.307692
Sharpe Ratio                         0.016308
Sortino Ratio                       84.078366
Calmar Ratio                       192.622882
Max. Drawdown [%]                  -51.237298
Avg. Drawdown [%]                   -22.52454
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration       96 days 00:00:00
# Trades                                   11
Win Rate [%]                        54.545455
Best Trade [%]                     129.892601
Worst Trade [%]                    -16.012862
Avg. Trade [%]                      17.010132
Max. Trade Duration         105 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                        6.850424
Expectancy [%]                      25.026906
SQN                                   1.19341
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
5;1;7;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   54.285714
Equity Final [$]                419668506.757
Equity Peak [$]                652075959.0236
Return [%]                         319.668507
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 4107.323618
Volatility (Ann.) [%]             232411.5175
Sharpe Ratio                         0.017673
Sortino Ratio                       34.983391
Calmar Ratio                        75.167693
Max. Drawdown [%]                   -54.64214
Avg. Drawdown [%]                  -24.536204
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      109 days 00:00:00
# Trades                                   11
Win Rate [%]                        54.545455
Best Trade [%]                     151.013066
Worst Trade [%]                    -26.862499
Avg. Trade [%]                      13.542679
Max. Trade Duration          70 days 00:00:00
Avg. Trade Duration          42 days 00:00:00
Profit Factor                         4.51932
Expectancy [%]                      21.862814
SQN                                  0.841923
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
6;1;8;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   57.142857
Equity Final [$]               380146510.2911
Equity Peak [$]                 642868085.673
Return [%]                          280.14651
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 3150.986216
Volatility (Ann.) [%]           219109.242069
Sharpe Ratio                         0.014381
Sortino Ratio                       25.687916
Calmar Ratio                        62.695013
Max. Drawdown [%]                  -50.258961
Avg. Drawdown [%]                  -25.867043
Max. Drawdown Duration      259 days 00:00:00
Avg. Drawdown Duration      124 days 00:00:00
# Trades                                   11
Win Rate [%]                        45.454545
Best Trade [%]                     270.558246
Worst Trade [%]                    -26.862499
Avg. Trade [%]                      12.526317
Max. Trade Duration          84 days 00:00:00
Avg. Trade Duration          44 days 00:00:00
Profit Factor                        5.273353
Expectancy [%]                      26.662217
SQN                                  0.619753
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
7;1;11;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   58.571429
Equity Final [$]               378093783.4741
Equity Peak [$]                756033911.9081
Return [%]                         278.093783
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 3105.416785
Volatility (Ann.) [%]           259016.415825
Sharpe Ratio                         0.011989
Sortino Ratio                       24.477341
Calmar Ratio                        60.039411
Max. Drawdown [%]                  -51.722972
Avg. Drawdown [%]                  -29.330324
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      108 days 00:00:00
# Trades                                   11
Win Rate [%]                        18.181818
Best Trade [%]                     242.085139
Worst Trade [%]                    -19.432537
Avg. Trade [%]                      12.851945
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                        5.435165
Expectancy [%]                      27.710496
SQN                                  0.749619
_strategy                            SmaCross
_equity_curve                             ...
_trades                            Size  E...
dtype: object"
8;1;12;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   53.571429
Equity Final [$]               400735592.8722
Equity Peak [$]                801308329.0578
Return [%]                         300.735593
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 3630.239477
Volatility (Ann.) [%]           292870.459407
Sharpe Ratio                         0.012395
Sortino Ratio                       29.017995
Calmar Ratio                        70.186212
Max. Drawdown [%]                  -51.722972
Avg. Drawdown [%]                  -31.717972
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      104 days 00:00:00
# Trades                                   10
Win Rate [%]                             20.0
Best Trade [%]                     242.085139
Worst Trade [%]                    -19.432537
Avg. Trade [%]                      14.890942
Max. Trade Duration         126 days 00:00:00
Avg. Trade Duration          46 days 00:00:00
Profit Factor                        6.072277
Expectancy [%]                      30.536595
SQN                                  0.766349
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
9;1;13;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   52.857143
Equity Final [$]               388390481.1993
Equity Peak [$]                776623122.6075
Return [%]                         288.390481
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                 3338.011799
Volatility (Ann.) [%]           270765.472873
Sharpe Ratio                         0.012328
Sortino Ratio                       26.672011
Calmar Ratio                        65.658059
Max. Drawdown [%]                  -50.839331
Avg. Drawdown [%]                  -31.591738
Max. Drawdown Duration      203 days 00:00:00
Avg. Drawdown Duration      104 days 00:00:00
# Trades                                   10
Win Rate [%]                             30.0
Best Trade [%]                     242.085139
Worst Trade [%]                    -16.012862
Avg. Trade [%]                      14.532003
Max. Trade Duration         140 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                        5.824205
Expectancy [%]                      28.567694
SQN                                  0.775763
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
10;1;14;"Start                     2019-03-03 20:59...
End                       2021-10-31 20:59...
Duration                    973 days 00:00:00
Exposure Time [%]                   52.142857
Equity Final [$]               185172263.7766
Equity Peak [$]                405015246.1503
Return [%]                          85.172264
Buy & Hold Return [%]              329.808493
Return (Ann.) [%]                  398.435183
Volatility (Ann.) [%]             14095.14628
Sharpe Ratio                         0.028268
Sortino Ratio                        3.184089
Calmar Ratio                         7.099393
Max. Drawdown [%]                   -56.12243
Avg. Drawdown [%]                    -41.3948
Max. Drawdown Duration      308 days 00:00:00
Avg. Drawdown Duration      150 days 00:00:00
# Trades                                   10
Win Rate [%]                             20.0
Best Trade [%]                     242.085139
Worst Trade [%]                    -16.012862
Avg. Trade [%]                       5.960014
Max. Trade Duration         133 days 00:00:00
Avg. Trade Duration          45 days 00:00:00
Profit Factor                        3.583402
Expectancy [%]                      18.267453
SQN                                    0.3961
_strategy                            SmaCross
_equity_curve                             ...
_trades                           Size  En...
dtype: object"
